Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2017,Virginia Tech,Virginia Tech,Fri Nov 11,39,337,Maine,"W, 80-67",77,Home,1-0,,
2017,Virginia Tech,Virginia Tech,Tue Nov 15,47,270,High Point,"W, 99-73",76,Home,2-0,,
2017,Virginia Tech,Virginia Tech,Sat Nov 19,45,328,VMI,"W, 88-72",71,Home,3-0,,
2017,Virginia Tech,Virginia Tech,Thu Nov 24,44,119,New Mexico,"W, 92-72",69,Neutral,4-0,,
2017,Virginia Tech,Virginia Tech,Fri Nov 25,38,64,Texas A&M,"L, 68-65",67,Neutral,4-1,,
2017,Virginia Tech,Virginia Tech,Sun Nov 27,39,107,Nebraska,"W, 66-53",66,Neutral,5-1,,
2017,Virginia Tech,Virginia Tech,Wed Nov 30,35,20,Michigan,"W, 73-70",64,Away,6-1,,
2017,Virginia Tech,Virginia Tech,Wed Dec 7,31,321,Maryland Eastern Shore,"W, 75-59",65,Home,7-1,,
2017,Virginia Tech,Virginia Tech,Sun Dec 11,36,74,Mississippi,"W, 80-75",74,Home,8-1,,
2017,Virginia Tech,Virginia Tech,Sat Dec 17,37,288,The Citadel,"W, 113-71",89,Home,9-1,,
2017,Virginia Tech,Virginia Tech,Tue Dec 20,36,309,Charleston Southern,"W, 87-59",79,Home,10-1,,
2017,Virginia Tech,Virginia Tech,Wed Dec 28,35,201,UMBC,"W, 87-70",80,Home,11-1,,
2017,Virginia Tech,Virginia Tech,Sat Dec 31,38,14,Duke,"W, 89-75",71,Home,12-1,1-0,
2017,Virginia Tech,Virginia Tech,Wed Jan 4,32,109,N.C. State,"L, 104-78",84,Away,12-2,1-1,
2017,Virginia Tech,Virginia Tech,Sat Jan 7,40,26,Florida St.,"L, 93-78",77,Away,12-3,1-2,
2017,Virginia Tech,Virginia Tech,Tue Jan 10,42,55,Syracuse,"W, 83-73",70,Home,13-3,2-2,
2017,Virginia Tech,Virginia Tech,Sat Jan 14,40,27,Notre Dame,"L, 76-71",70,Home,13-4,2-3,
2017,Virginia Tech,Virginia Tech,Wed Jan 18,45,77,Georgia Tech,"W, 62-61",65,Home,14-4,3-3,
2017,Virginia Tech,Virginia Tech,Sun Jan 22,52,45,Clemson,"W, 82-81",69,Away,15-4,4-3,
2017,Virginia Tech,Virginia Tech,Thu Jan 26,48,3,North Carolina,"L, 91-72",65,Away,15-5,4-4,
2017,Virginia Tech,Virginia Tech,Sun Jan 29,48,173,Boston College,"W, 85-79",70,Home,16-5,5-4,
2017,Virginia Tech,Virginia Tech,Wed Feb 1,51,12,Virginia,"L, 71-48",62,Away,16-6,5-5,
2017,Virginia Tech,Virginia Tech,Wed Feb 8,54,42,Miami FL,"L, 74-68",70,Away,16-7,5-6,
2017,Virginia Tech,Virginia Tech,Sun Feb 12,54,12,Virginia,"W, 80-78",80,Home,17-7,6-6,
2017,Virginia Tech,Virginia Tech,Tue Feb 14,51,79,Pittsburgh,"W, 66-63",61,Away,18-7,7-6,
2017,Virginia Tech,Virginia Tech,Sat Feb 18,49,9,Louisville,"L, 94-90",62,Away,18-8,7-7,
2017,Virginia Tech,Virginia Tech,Tue Feb 21,46,45,Clemson,"W, 71-70",61,Home,19-8,8-7,
2017,Virginia Tech,Virginia Tech,Sat Feb 25,50,173,Boston College,"W, 91-75",70,Away,20-8,9-7,
2017,Virginia Tech,Virginia Tech,Mon Feb 27,42,42,Miami FL,"W, 66-61",60,Home,21-8,10-7,
2017,Virginia Tech,Virginia Tech,Sat Mar 4,40,36,Wake Forest,"L, 89-84",70,Home,21-9,10-8,
2017,Virginia Tech,Virginia Tech,Wed Mar 8,47,36,Wake Forest,"W, 99-90",73,Neutral,22-9,,Atlantic Coast
2017,Virginia Tech,Virginia Tech,Thu Mar 9,41,26,Florida St.,"L, 74-68",69,Neutral,22-10,,Atlantic Coast
2017,Virginia Tech,Virginia Tech,Thu Mar 16,44,21,Wisconsin,"L, 84-74",64,Neutral,22-11,,NCAA
