Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Arizona,Arizona,Fri Nov 10,3,327,Northern Arizona,"W, 101-67",72,Home,1-0,,
2018,Arizona,Arizona,Sun Nov 12,3,166,UMBC,"W, 103-78",74,Home,2-0,,
2018,Arizona,Arizona,Thu Nov 16,3,242,Cal St. Bakersfield,"W, 91-59",73,Home,3-0,,
2018,Arizona,Arizona,Wed Nov 22,3,46,N.C. State,"L, 90-84",73,Neutral,3-1,,
2018,Arizona,Arizona,Thu Nov 23,6,84,SMU,"L, 66-60",66,Neutral,3-2,,
2018,Arizona,Arizona,Fri Nov 24,9,5,Purdue,"L, 89-64",69,Neutral,3-3,,
2018,Arizona,Arizona,Wed Nov 29,17,191,Long Beach St.,"W, 91-56",70,Home,4-3,,
2018,Arizona,Arizona,Sat Dec 2,16,107,UNLV,"W, 91-88",84,Away,5-3,,
2018,Arizona,Arizona,Tue Dec 5,19,29,Texas A&M,"W, 67-64",66,Semi-Home,6-3,,
2018,Arizona,Arizona,Sat Dec 9,16,57,Alabama,"W, 88-82",73,Home,7-3,,
2018,Arizona,Arizona,Sat Dec 16,19,106,New Mexico,"W, 89-73",66,Away,8-3,,
2018,Arizona,Arizona,Mon Dec 18,17,176,North Dakota St.,"W, 83-53",64,Home,9-3,,
2018,Arizona,Arizona,Thu Dec 21,15,179,Connecticut,"W, 73-58",67,Home,10-3,,
2018,Arizona,Arizona,Sat Dec 30,14,49,Arizona St.,"W, 84-78",75,Home,11-3,1-0,
2018,Arizona,Arizona,Thu Jan 4,14,58,Utah,"W, 94-82",76,Away,12-3,2-0,
2018,Arizona,Arizona,Sat Jan 6,14,114,Colorado,"L, 80-77",72,Away,12-4,2-1,
2018,Arizona,Arizona,Thu Jan 11,18,100,Oregon St.,"W, 62-53",65,Home,13-4,3-1,
2018,Arizona,Arizona,Sat Jan 13,21,75,Oregon,"W, 90-83",75,Home,14-4,4-1,
2018,Arizona,Arizona,Wed Jan 17,24,244,California,"W, 79-58",68,Away,15-4,5-1,
2018,Arizona,Arizona,Sat Jan 20,22,87,Stanford,"W, 73-71",70,Away,16-4,6-1,
2018,Arizona,Arizona,Thu Jan 25,22,114,Colorado,"W, 80-71",62,Home,17-4,7-1,
2018,Arizona,Arizona,Sat Jan 27,23,58,Utah,"W, 74-73",64,Home,18-4,8-1,
2018,Arizona,Arizona,Wed Jan 31,25,186,Washington St.,"W, 100-72",71,Away,19-4,9-1,
2018,Arizona,Arizona,Sat Feb 3,20,98,Washington,"L, 78-75",67,Away,19-5,9-2,
2018,Arizona,Arizona,Thu Feb 8,22,56,UCLA,"L, 82-74",70,Home,19-6,9-3,
2018,Arizona,Arizona,Sat Feb 10,27,51,USC,"W, 81-67",63,Home,20-6,10-3,
2018,Arizona,Arizona,Thu Feb 15,22,49,Arizona St.,"W, 77-70",72,Away,21-6,11-3,
2018,Arizona,Arizona,Thu Feb 22,24,100,Oregon St.,"W, 75-65",69,Away,22-6,12-3,
2018,Arizona,Arizona,Sat Feb 24,23,75,Oregon,"L, 98-93",75,Away,22-7,12-4,
2018,Arizona,Arizona,Thu Mar 1,26,87,Stanford,"W, 75-67",67,Home,23-7,13-4,
2018,Arizona,Arizona,Sat Mar 3,26,244,California,"W, 66-54",65,Home,24-7,14-4,
2018,Arizona,Arizona,Thu Mar 8,25,114,Colorado,"W, 83-67",73,Neutral,25-7,,Pac 12
2018,Arizona,Arizona,Fri Mar 9,25,56,UCLA,"W, 78-67",71,Neutral,26-7,,Pac 12
2018,Arizona,Arizona,Sat Mar 10,23,51,USC,"W, 75-61",64,Neutral,27-7,,Pac 12
2018,Arizona,Arizona,Thu Mar 15,21,67,Buffalo,"L, 89-68",67,Neutral,27-8,,NCAA
