Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Arkansas,Arkansas,Fri Nov 10,56,298,Samford,"W, 95-56",75,Home,1-0,,
2018,Arkansas,Arkansas,Sun Nov 12,43,97,Bucknell,"W, 101-73",77,Home,2-0,,
2018,Arkansas,Arkansas,Fri Nov 17,37,79,Fresno St.,"W, 83-75",76,Home,3-0,,
2018,Arkansas,Arkansas,Thu Nov 23,38,48,Oklahoma,"W, 92-83",87,Neutral,4-0,,
2018,Arkansas,Arkansas,Fri Nov 24,34,8,North Carolina,"L, 87-68",76,Neutral,4-1,,
2018,Arkansas,Arkansas,Sun Nov 26,39,179,Connecticut,"W, 102-67",77,Neutral,5-1,,
2018,Arkansas,Arkansas,Sat Dec 2,30,18,Houston,"L, 91-65",74,Away,5-2,,
2018,Arkansas,Arkansas,Tue Dec 5,39,224,Colorado St.,"W, 92-66",72,Home,6-2,,
2018,Arkansas,Arkansas,Sat Dec 9,35,117,Minnesota,"W, 95-79",75,Home,7-2,,
2018,Arkansas,Arkansas,Sat Dec 16,31,177,Troy,"W, 88-63",71,Semi-Home,8-2,,
2018,Arkansas,Arkansas,Tue Dec 19,26,236,Oral Roberts,"W, 104-69",75,Home,9-2,,
2018,Arkansas,Arkansas,Wed Dec 27,25,242,Cal St. Bakersfield,"W, 95-68",77,Home,10-2,,
2018,Arkansas,Arkansas,Sat Dec 30,22,13,Tennessee,"W, 95-93",85,Home,11-2,1-0,
2018,Arkansas,Arkansas,Tue Jan 2,22,54,Mississippi St.,"L, 78-75",68,Away,11-3,1-1,
2018,Arkansas,Arkansas,Sat Jan 6,24,23,Auburn,"L, 88-77",73,Away,11-4,1-2,
2018,Arkansas,Arkansas,Wed Jan 10,27,66,LSU,"L, 75-54",66,Home,11-5,1-3,
2018,Arkansas,Arkansas,Sat Jan 13,35,40,Missouri,"W, 65-63",63,Home,12-5,2-3,
2018,Arkansas,Arkansas,Wed Jan 17,37,22,Florida,"L, 88-73",67,Away,12-6,2-4,
2018,Arkansas,Arkansas,Sat Jan 20,43,108,Mississippi,"W, 97-93",75,Home,13-6,3-4,
2018,Arkansas,Arkansas,Tue Jan 23,47,65,Georgia,"W, 80-77",72,Away,14-6,4-4,
2018,Arkansas,Arkansas,Sat Jan 27,44,59,Oklahoma St.,"W, 66-65",65,Home,15-6,,
2018,Arkansas,Arkansas,Tue Jan 30,47,29,Texas A&M,"L, 80-66",72,Away,15-7,4-5,
2018,Arkansas,Arkansas,Sat Feb 3,48,66,LSU,"L, 94-86",70,Away,15-8,4-6,
2018,Arkansas,Arkansas,Tue Feb 6,48,80,South Carolina,"W, 81-65",71,Home,16-8,5-6,
2018,Arkansas,Arkansas,Sat Feb 10,47,91,Vanderbilt,"W, 72-54",72,Home,17-8,6-6,
2018,Arkansas,Arkansas,Tue Feb 13,45,108,Mississippi,"W, 75-64",71,Away,18-8,7-6,
2018,Arkansas,Arkansas,Sat Feb 17,43,29,Texas A&M,"W, 94-75",72,Home,19-8,8-6,
2018,Arkansas,Arkansas,Tue Feb 20,39,17,Kentucky,"L, 87-72",70,Home,19-9,8-7,
2018,Arkansas,Arkansas,Sat Feb 24,42,57,Alabama,"W, 76-73",70,Away,20-9,9-7,
2018,Arkansas,Arkansas,Tue Feb 27,38,23,Auburn,"W, 91-82",79,Home,21-9,10-7,
2018,Arkansas,Arkansas,Sat Mar 3,38,40,Missouri,"L, 77-67",65,Away,21-10,10-8,
2018,Arkansas,Arkansas,Thu Mar 8,36,80,South Carolina,"W, 69-64",69,Neutral,22-10,,Southeastern
2018,Arkansas,Arkansas,Fri Mar 9,35,22,Florida,"W, 80-72",66,Neutral,23-10,,Southeastern
2018,Arkansas,Arkansas,Sat Mar 10,34,13,Tennessee,"L, 84-66",60,Neutral,23-11,,Southeastern
2018,Arkansas,Arkansas,Fri Mar 16,35,20,Butler,"L, 79-62",68,Neutral,23-12,,NCAA
