Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Bucknell,Bucknell,Fri Nov 10,75,183,Monmouth,"L, 79-78",73,Away,0-1,,
2018,Bucknell,Bucknell,Sun Nov 12,79,44,Arkansas,"L, 101-73",77,Away,0-2,,
2018,Bucknell,Bucknell,Wed Nov 15,88,8,North Carolina,"L, 93-81",78,Away,0-3,,
2018,Bucknell,Bucknell,Sat Nov 18,88,39,Maryland,"L, 80-78",72,Away,0-4,,
2018,Bucknell,Bucknell,Mon Nov 20,82,303,Siena,"W, 115-92",82,Home,1-4,,
2018,Bucknell,Bucknell,Wed Nov 22,79,173,Ball St.,"W, 87-83",78,Home,2-4,,
2018,Bucknell,Bucknell,Sun Nov 26,81,223,Stony Brook,"W, 85-76",73,Away,3-4,,
2018,Bucknell,Bucknell,Wed Nov 29,75,116,Saint Joseph's,"L, 83-70",78,Away,3-5,,
2018,Bucknell,Bucknell,Sat Dec 2,83,76,Vermont,"W, 81-77",69,Home,4-5,,
2018,Bucknell,Bucknell,Tue Dec 5,86,96,Northeastern,"L, 82-64",67,Away,4-6,,
2018,Bucknell,Bucknell,Sat Dec 16,98,144,VCU,"L, 85-79",74,Away,4-7,,
2018,Bucknell,Bucknell,Tue Dec 19,100,181,Richmond,"W, 86-78",73,Away,5-7,,
2018,Bucknell,Bucknell,Fri Dec 22,97,156,La Salle,"W, 88-81",80,Home,6-7,,
2018,Bucknell,Bucknell,Fri Dec 29,100,328,American,"W, 84-55",69,Home,7-7,1-0,
2018,Bucknell,Bucknell,Tue Jan 2,93,258,Boston University,"L, 84-79",77,Home,7-8,1-1,
2018,Bucknell,Bucknell,Fri Jan 5,110,264,Army,"W, 83-66",77,Away,8-8,2-1,
2018,Bucknell,Bucknell,Mon Jan 8,107,275,Lafayette,"W, 80-75",76,Away,9-8,3-1,
2018,Bucknell,Bucknell,Thu Jan 11,108,235,Lehigh,"W, 78-65",78,Home,10-8,4-1,
2018,Bucknell,Bucknell,Mon Jan 15,115,202,Colgate,"W, 63-51",68,Away,11-8,5-1,
2018,Bucknell,Bucknell,Wed Jan 17,113,323,Loyola MD,"W, 78-70",76,Away,12-8,6-1,
2018,Bucknell,Bucknell,Sat Jan 20,114,290,Holy Cross,"W, 77-56",70,Home,13-8,7-1,
2018,Bucknell,Bucknell,Wed Jan 24,118,225,Navy,"W, 87-67",69,Away,14-8,8-1,
2018,Bucknell,Bucknell,Sun Jan 28,106,258,Boston University,"W, 91-79",71,Away,15-8,9-1,
2018,Bucknell,Bucknell,Wed Jan 31,103,264,Army,"W, 83-71",82,Home,16-8,10-1,
2018,Bucknell,Bucknell,Sat Feb 3,107,275,Lafayette,"W, 74-59",65,Home,17-8,11-1,
2018,Bucknell,Bucknell,Mon Feb 5,110,235,Lehigh,"L, 92-89",86,Away,17-9,11-2,
2018,Bucknell,Bucknell,Mon Feb 12,113,202,Colgate,"W, 65-64",64,Home,18-9,12-2,
2018,Bucknell,Bucknell,Wed Feb 14,116,323,Loyola MD,"W, 94-53",78,Home,19-9,13-2,
2018,Bucknell,Bucknell,Sat Feb 17,112,290,Holy Cross,"W, 68-67",73,Away,20-9,14-2,
2018,Bucknell,Bucknell,Wed Feb 21,113,225,Navy,"W, 85-61",72,Home,21-9,15-2,
2018,Bucknell,Bucknell,Sat Feb 24,106,328,American,"W, 80-61",69,Away,22-9,16-2,
2018,Bucknell,Bucknell,Thu Mar 1,106,323,Loyola MD,"W, 83-78",70,Home,23-9,,Patriot League
2018,Bucknell,Bucknell,Sun Mar 4,110,258,Boston University,"W, 90-59",73,Home,24-9,,Patriot League
2018,Bucknell,Bucknell,Wed Mar 7,107,202,Colgate,"W, 83-54",64,Home,25-9,,Patriot League
2018,Bucknell,Bucknell,Fri Mar 16,102,6,Michigan St.,"L, 82-78",68,Neutral,25-10,,NCAA
