Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Marshall,Marshall,Fri Nov 10,191,294,Tennessee Martin,"W, 102-91",79,Home,1-0,,
2018,Marshall,Marshall,Mon Nov 13,188,326,Southern,"W, 83-74",75,Home,2-0,,
2018,Marshall,Marshall,Thu Nov 16,193,273,Morehead St.,"L, 86-83",78,Away,2-1,,
2018,Marshall,Marshall,Sun Nov 19,194,102,Illinois,"L, 91-74",80,Away,2-2,,
2018,Marshall,Marshall,Wed Nov 22,198,316,North Carolina Central,"W, 92-84",73,Home,3-2,,
2018,Marshall,Marshall,Sun Nov 26,206,NR,Concord,"W, 106-70",90,Home,4-2,,
2018,Marshall,Marshall,Wed Nov 29,205,169,William & Mary,"L, 114-104",83,Away,4-3,,
2018,Marshall,Marshall,Sat Dec 2,217,255,Akron,"W, 86-64",77,Home,5-3,,
2018,Marshall,Marshall,Tue Dec 5,191,304,Chattanooga,"W, 70-66",76,Home,6-3,,
2018,Marshall,Marshall,Sat Dec 9,190,113,Toledo,"W, 93-87",80,Away,7-3,,
2018,Marshall,Marshall,Sat Dec 16,180,193,Ohio,"W, 99-96",90,Home,8-3,,
2018,Marshall,Marshall,Tue Dec 19,182,15,Xavier,"L, 81-77",81,Away,8-4,,
2018,Marshall,Marshall,Fri Dec 22,166,286,Eastern Kentucky,"W, 91-71",75,Home,9-4,,
2018,Marshall,Marshall,Thu Dec 28,160,206,Southern Miss,"W, 85-66",76,Home,10-4,1-0,
2018,Marshall,Marshall,Sat Dec 30,159,149,Louisiana Tech,"W, 78-65",76,Home,11-4,2-0,
2018,Marshall,Marshall,Sat Jan 6,146,47,Western Kentucky,"L, 112-87",80,Home,11-5,2-1,
2018,Marshall,Marshall,Thu Jan 11,162,308,Charlotte,"W, 91-83",82,Away,12-5,3-1,
2018,Marshall,Marshall,Sat Jan 13,158,64,Old Dominion,"L, 82-76",73,Away,12-6,3-2,
2018,Marshall,Marshall,Thu Jan 18,156,45,Middle Tennessee,"W, 73-63",73,Home,13-6,4-2,
2018,Marshall,Marshall,Sat Jan 20,141,109,UAB,"W, 86-78",86,Home,14-6,5-2,
2018,Marshall,Marshall,Sat Jan 27,129,47,Western Kentucky,"L, 85-74",78,Away,14-7,5-3,
2018,Marshall,Marshall,Thu Feb 1,131,174,UTSA,"L, 81-77",80,Away,14-8,5-4,
2018,Marshall,Marshall,Sat Feb 3,132,240,UTEP,"W, 74-65",76,Away,15-8,6-4,
2018,Marshall,Marshall,Thu Feb 8,131,222,FIU,"W, 76-66",74,Home,16-8,7-4,
2018,Marshall,Marshall,Sat Feb 10,132,233,Florida Atlantic,"W, 79-68",75,Home,17-8,8-4,
2018,Marshall,Marshall,Thu Feb 15,135,289,Rice,"W, 93-80",73,Away,18-8,9-4,
2018,Marshall,Marshall,Sat Feb 17,128,146,North Texas,"W, 74-72",67,Away,19-8,10-4,
2018,Marshall,Marshall,Thu Feb 22,129,64,Old Dominion,"L, 84-79",76,Home,19-9,10-5,
2018,Marshall,Marshall,Sat Feb 24,128,308,Charlotte,"W, 103-75",79,Home,20-9,11-5,
2018,Marshall,Marshall,Thu Mar 1,128,109,UAB,"L, 91-77",77,Away,20-10,11-6,
2018,Marshall,Marshall,Sat Mar 3,131,45,Middle Tennessee,"W, 76-67",75,Away,21-10,12-6,
2018,Marshall,Marshall,Thu Mar 8,122,174,UTSA,"W, 95-81",79,Neutral,22-10,,Conference USA
2018,Marshall,Marshall,Fri Mar 9,119,206,Southern Miss,"W, 85-75",66,Neutral,23-10,,Conference USA
2018,Marshall,Marshall,Sat Mar 10,116,47,Western Kentucky,"W, 67-66",65,Neutral,24-10,,Conference USA
2018,Marshall,Marshall,Fri Mar 16,109,21,Wichita St.,"W, 81-75",72,Neutral,25-10,,NCAA
2018,Marshall,Marshall,Sun Mar 18,100,12,West Virginia,"L, 94-71",75,Neutral,25-11,,NCAA
