Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Penn,Penn,Sat Nov 11,145,212,Fairfield,"L, 80-72",77,Away,0-1,,
2018,Penn,Penn,Mon Nov 13,150,156,La Salle,"L, 75-71",79,Home,0-2,,
2018,Penn,Penn,Wed Nov 15,160,225,Navy,"W, 66-45",69,Home,1-2,,
2018,Penn,Penn,Sat Nov 18,141,NR,Penn State Brandywine,"W, 99-40",76,Home,2-2,,
2018,Penn,Penn,Mon Nov 20,143,249,Northern Illinois,"W, 93-80",72,Neutral,3-2,,
2018,Penn,Penn,Tue Nov 21,134,153,Towson,"L, 79-71",70,Neutral,3-3,,
2018,Penn,Penn,Wed Nov 22,143,276,UMKC,"W, 68-65",75,Neutral,4-3,,
2018,Penn,Penn,Sat Nov 25,149,183,Monmouth,"W, 101-96",102,Away,5-3,,
2018,Penn,Penn,Wed Nov 29,139,1,Villanova,"L, 90-62",73,Away,5-4,,
2018,Penn,Penn,Mon Dec 4,141,335,Howard,"W, 81-68",78,Away,6-4,,
2018,Penn,Penn,Wed Dec 6,141,275,Lafayette,"W, 73-68",72,Away,7-4,,
2018,Penn,Penn,Sat Dec 9,144,172,Dayton,"W, 78-70",67,Away,8-4,,
2018,Penn,Penn,Wed Dec 27,138,350,Delaware St.,"W, 105-52",69,Home,9-4,,
2018,Penn,Penn,Fri Dec 29,124,113,Toledo,"L, 85-72",69,Home,9-5,,
2018,Penn,Penn,Sat Jan 6,144,190,Princeton,"W, 76-70",67,Home,10-5,1-0,
2018,Penn,Penn,Fri Jan 12,151,265,Cornell,"W, 69-61",73,Home,11-5,2-0,
2018,Penn,Penn,Sat Jan 13,151,231,Columbia,"W, 77-71",78,Home,12-5,3-0,
2018,Penn,Penn,Sat Jan 20,154,86,Temple,"L, 60-51",63,Home,12-6,,
2018,Penn,Penn,Sat Jan 27,162,116,Saint Joseph's,"W, 67-56",73,Neutral,13-6,,
2018,Penn,Penn,Fri Feb 2,152,267,Brown,"W, 95-90",82,Home,14-6,4-0,
2018,Penn,Penn,Sat Feb 3,157,197,Yale,"W, 59-50",66,Home,15-6,5-0,
2018,Penn,Penn,Tue Feb 6,162,190,Princeton,"W, 82-65",68,Away,16-6,6-0,
2018,Penn,Penn,Fri Feb 9,134,299,Dartmouth,"W, 64-61",71,Away,17-6,7-0,
2018,Penn,Penn,Sat Feb 10,142,141,Harvard,"L, 76-67",65,Away,17-7,7-1,
2018,Penn,Penn,Fri Feb 16,152,231,Columbia,"W, 74-62",71,Away,18-7,8-1,
2018,Penn,Penn,Sat Feb 17,144,265,Cornell,"W, 79-71",68,Away,19-7,9-1,
2018,Penn,Penn,Fri Feb 23,138,299,Dartmouth,"W, 74-46",69,Home,20-7,10-1,
2018,Penn,Penn,Sat Feb 24,129,141,Harvard,"W, 74-71",64,Home,21-7,11-1,
2018,Penn,Penn,Fri Mar 2,132,197,Yale,"L, 80-79",70,Away,21-8,11-2,
2018,Penn,Penn,Sat Mar 3,133,267,Brown,"W, 99-93",78,Away,22-8,12-2,
2018,Penn,Penn,Sat Mar 10,133,197,Yale,"W, 80-57",72,Home,23-8,,Ivy League
2018,Penn,Penn,Sun Mar 11,127,141,Harvard,"W, 68-65",64,Home,24-8,,Ivy League
2018,Penn,Penn,Thu Mar 15,126,9,Kansas,"L, 76-60",69,Neutral,24-9,,NCAA
