Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Radford,Radford,Fri Nov 10,196,NR,Georgia Southwestern,"W, 72-63",61,Home,1-0,,
2018,Radford,Radford,Sun Nov 12,193,16,Ohio St.,"L, 82-72",75,Away,1-1,,
2018,Radford,Radford,Wed Nov 15,194,307,East Carolina,"W, 73-66",69,Away,2-1,,
2018,Radford,Radford,Wed Nov 22,178,248,Elon,"L, 77-74",64,Away,2-2,,
2018,Radford,Radford,Sat Nov 25,177,229,James Madison,"W, 69-68",61,Home,3-2,,
2018,Radford,Radford,Tue Nov 28,182,91,Vanderbilt,"L, 74-62",65,Away,3-3,,
2018,Radford,Radford,Sat Dec 2,185,331,VMI,"W, 63-50",63,Away,4-3,,
2018,Radford,Radford,Wed Dec 6,174,33,Virginia Tech,"L, 95-68",67,Away,4-4,,
2018,Radford,Radford,Sat Dec 9,182,NR,Erskine,"W, 76-49",61,Home,5-4,,
2018,Radford,Radford,Sun Dec 17,178,25,Nevada,"L, 77-62",71,Away,5-5,,
2018,Radford,Radford,Tue Dec 19,180,158,San Francisco,"L, 52-41",62,Away,5-6,,
2018,Radford,Radford,Fri Dec 22,190,306,North Carolina A&T,"W, 66-60",64,Neutral,6-6,,
2018,Radford,Radford,Sat Dec 23,192,129,UC Davis,"W, 72-62",72,Neutral,7-6,,
2018,Radford,Radford,Sat Dec 30,181,334,Presbyterian,"W, 78-62",63,Away,8-6,1-0,
2018,Radford,Radford,Wed Jan 3,171,160,Winthrop,"W, 85-79",70,Home,9-6,2-0,
2018,Radford,Radford,Sat Jan 6,169,187,UNC Asheville,"W, 90-70",70,Home,10-6,3-0,
2018,Radford,Radford,Tue Jan 9,152,246,Charleston Southern,"W, 64-61",64,Away,11-6,4-0,
2018,Radford,Radford,Fri Jan 12,156,261,Gardner Webb,"L, 59-54",68,Away,11-7,4-1,
2018,Radford,Radford,Mon Jan 15,159,184,Liberty,"W, 59-57",64,Home,12-7,5-1,
2018,Radford,Radford,Thu Jan 18,163,340,Longwood,"W, 70-63",65,Home,13-7,6-1,
2018,Radford,Radford,Sun Jan 21,169,218,Campbell,"L, 59-56",62,Away,13-8,6-2,
2018,Radford,Radford,Wed Jan 24,170,241,High Point,"W, 78-76",59,Away,14-8,7-2,
2018,Radford,Radford,Sat Jan 27,170,246,Charleston Southern,"L, 84-81",73,Home,14-9,7-3,
2018,Radford,Radford,Thu Feb 1,176,261,Gardner Webb,"W, 70-66",67,Home,15-9,8-3,
2018,Radford,Radford,Sat Feb 3,182,160,Winthrop,"L, 75-57",68,Away,15-10,8-4,
2018,Radford,Radford,Wed Feb 7,185,241,High Point,"L, 61-60",59,Home,15-11,8-5,
2018,Radford,Radford,Sat Feb 10,191,187,UNC Asheville,"L, 66-64",58,Away,15-12,8-6,
2018,Radford,Radford,Thu Feb 15,186,218,Campbell,"W, 72-53",66,Home,16-12,9-6,
2018,Radford,Radford,Sun Feb 18,179,334,Presbyterian,"W, 74-68",60,Home,17-12,10-6,
2018,Radford,Radford,Thu Feb 22,181,184,Liberty,"W, 63-50",57,Away,18-12,11-6,
2018,Radford,Radford,Sat Feb 24,173,340,Longwood,"W, 70-47",63,Away,19-12,12-6,
2018,Radford,Radford,Thu Mar 1,170,340,Longwood,"W, 59-53",59,Neutral,20-12,,Big South
2018,Radford,Radford,Fri Mar 2,175,160,Winthrop,"W, 61-52",57,Neutral,21-12,,Big South
2018,Radford,Radford,Sun Mar 4,169,184,Liberty,"W, 55-52",56,Home,22-12,,Big South
2018,Radford,Radford,Tue Mar 13,170,259,LIU Brooklyn,"W, 71-61",71,Neutral,23-12,,NCAA
2018,Radford,Radford,Thu Mar 15,165,1,Villanova,"L, 87-61",65,Neutral,23-13,,NCAA
