Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Seton Hall,Seton Hall,Fri Nov 10,28,274,Fairleigh Dickinson,"W, 90-68",72,Home,1-0,,
2018,Seton Hall,Seton Hall,Sun Nov 12,26,183,Monmouth,"W, 75-65",71,Home,2-0,,
2018,Seton Hall,Seton Hall,Wed Nov 15,29,71,Indiana,"W, 84-68",69,Home,3-0,,
2018,Seton Hall,Seton Hall,Sat Nov 18,29,254,NJIT,"W, 82-53",69,Home,4-0,,
2018,Seton Hall,Seton Hall,Thu Nov 23,27,52,Rhode Island,"L, 75-74",72,Neutral,4-1,,
2018,Seton Hall,Seton Hall,Fri Nov 24,30,91,Vanderbilt,"W, 72-59",70,Neutral,5-1,,
2018,Seton Hall,Seton Hall,Thu Nov 30,24,11,Texas Tech,"W, 89-79",72,Semi-Home,6-1,,
2018,Seton Hall,Seton Hall,Sun Dec 3,20,38,Louisville,"W, 79-77",75,Away,7-1,,
2018,Seton Hall,Seton Hall,Sat Dec 9,18,144,VCU,"W, 90-67",74,Home,8-1,,
2018,Seton Hall,Seton Hall,Tue Dec 12,16,217,Saint Peter's,"W, 84-61",69,Home,9-1,,
2018,Seton Hall,Seton Hall,Sat Dec 16,17,130,Rutgers,"L, 71-65",73,Away,9-2,,
2018,Seton Hall,Seton Hall,Wed Dec 20,18,180,Wagner,"W, 89-68",80,Home,10-2,,
2018,Seton Hall,Seton Hall,Sat Dec 23,19,216,Manhattan,"W, 74-62",70,Home,11-2,,
2018,Seton Hall,Seton Hall,Thu Dec 28,21,30,Creighton,"W, 90-84",79,Home,12-2,1-0,
2018,Seton Hall,Seton Hall,Sun Dec 31,22,74,St. John's,"W, 75-70",69,Home,13-2,2-0,
2018,Seton Hall,Seton Hall,Sat Jan 6,20,20,Butler,"W, 90-87",70,Away,14-2,3-0,
2018,Seton Hall,Seton Hall,Tue Jan 9,19,53,Marquette,"L, 84-64",68,Away,14-3,3-1,
2018,Seton Hall,Seton Hall,Sat Jan 13,32,94,Georgetown,"W, 74-61",71,Home,15-3,4-1,
2018,Seton Hall,Seton Hall,Wed Jan 17,27,30,Creighton,"L, 80-63",75,Away,15-4,4-2,
2018,Seton Hall,Seton Hall,Sat Jan 20,33,15,Xavier,"L, 73-64",70,Home,15-5,4-3,
2018,Seton Hall,Seton Hall,Sun Jan 28,36,99,DePaul,"W, 86-70",72,Away,16-5,5-3,
2018,Seton Hall,Seton Hall,Wed Jan 31,33,63,Providence,"W, 73-57",67,Home,17-5,6-3,
2018,Seton Hall,Seton Hall,Sun Feb 4,29,1,Villanova,"L, 92-76",69,Away,17-6,6-4,
2018,Seton Hall,Seton Hall,Wed Feb 7,28,53,Marquette,"L, 88-85",72,Home,17-7,6-5,
2018,Seton Hall,Seton Hall,Sat Feb 10,31,94,Georgetown,"L, 83-80",73,Away,17-8,6-6,
2018,Seton Hall,Seton Hall,Wed Feb 14,35,15,Xavier,"L, 102-90",77,Away,17-9,6-7,
2018,Seton Hall,Seton Hall,Sun Feb 18,40,99,DePaul,"W, 82-77",72,Home,18-9,7-7,
2018,Seton Hall,Seton Hall,Wed Feb 21,38,63,Providence,"W, 89-77",70,Away,19-9,8-7,
2018,Seton Hall,Seton Hall,Sat Feb 24,33,74,St. John's,"W, 81-74",72,Away,20-9,9-7,
2018,Seton Hall,Seton Hall,Wed Feb 28,32,1,Villanova,"L, 69-68",76,Home,20-10,9-8,
2018,Seton Hall,Seton Hall,Sat Mar 3,29,20,Butler,"W, 77-70",66,Home,21-10,10-8,
2018,Seton Hall,Seton Hall,Thu Mar 8,27,20,Butler,"L, 75-74",65,Neutral,21-11,,Big East
2018,Seton Hall,Seton Hall,Thu Mar 15,27,46,N.C. State,"W, 94-83",73,Neutral,22-11,,NCAA
2018,Seton Hall,Seton Hall,Sat Mar 17,26,9,Kansas,"L, 83-79",71,Neutral,22-12,,NCAA
