Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,South Dakota St.,South Dakota St.,Fri Nov 10,122,147,UC Irvine,"W, 65-54",65,Home,1-0,,
2018,South Dakota St.,South Dakota St.,Sun Nov 12,115,NR,Mary,"W, 78-54",71,Home,2-0,,
2018,South Dakota St.,South Dakota St.,Tue Nov 14,120,339,Alabama St.,"W, 94-63",71,Home,3-0,,
2018,South Dakota St.,South Dakota St.,Fri Nov 17,107,9,Kansas,"L, 98-64",73,Away,3-1,,
2018,South Dakota St.,South Dakota St.,Mon Nov 20,119,118,Wyoming,"L, 77-65",79,Neutral,3-2,,
2018,South Dakota St.,South Dakota St.,Tue Nov 21,125,88,Iowa,"W, 80-72",70,Neutral,4-2,,
2018,South Dakota St.,South Dakota St.,Wed Nov 22,118,67,Buffalo,"W, 94-80",77,Neutral,5-2,,
2018,South Dakota St.,South Dakota St.,Sun Nov 26,111,NR,Dakota St.,"W, 92-60",71,Home,6-2,,
2018,South Dakota St.,South Dakota St.,Tue Nov 28,112,108,Mississippi,"W, 99-97",84,Away,7-2,,
2018,South Dakota St.,South Dakota St.,Sat Dec 2,102,120,Missouri St.,"L, 73-53",62,Semi-Home,7-3,,
2018,South Dakota St.,South Dakota St.,Tue Dec 5,119,21,Wichita St.,"L, 95-85",74,Away,7-4,,
2018,South Dakota St.,South Dakota St.,Fri Dec 8,112,NR,Concordia NE,"W, 103-67",77,Home,8-4,,
2018,South Dakota St.,South Dakota St.,Tue Dec 12,120,239,North Dakota,"W, 99-63",77,Home,9-4,,
2018,South Dakota St.,South Dakota St.,Fri Dec 15,102,114,Colorado,"L, 112-103",92,Away,9-5,,
2018,South Dakota St.,South Dakota St.,Tue Dec 19,111,155,Drake,"W, 87-74",69,Home,10-5,,
2018,South Dakota St.,South Dakota St.,Fri Dec 22,102,276,UMKC,"W, 85-60",76,Away,11-5,,
2018,South Dakota St.,South Dakota St.,Sat Dec 30,92,NR,Presentation,"W, 111-68",72,Home,12-5,,
2018,South Dakota St.,South Dakota St.,Wed Jan 3,91,176,North Dakota St.,"W, 87-80",70,Away,13-5,1-0,
2018,South Dakota St.,South Dakota St.,Sat Jan 6,86,283,Nebraska Omaha,"W, 101-88",75,Away,14-5,2-0,
2018,South Dakota St.,South Dakota St.,Thu Jan 11,81,236,Oral Roberts,"W, 78-75",66,Home,15-5,3-0,
2018,South Dakota St.,South Dakota St.,Sat Jan 13,86,210,Denver,"W, 94-72",73,Home,16-5,4-0,
2018,South Dakota St.,South Dakota St.,Sat Jan 20,81,293,Western Illinois,"W, 98-70",76,Away,17-5,5-0,
2018,South Dakota St.,South Dakota St.,Wed Jan 24,72,81,South Dakota,"L, 87-68",74,Away,17-6,5-1,
2018,South Dakota St.,South Dakota St.,Sat Jan 27,81,165,Fort Wayne,"W, 78-76",75,Home,18-6,6-1,
2018,South Dakota St.,South Dakota St.,Tue Jan 30,86,283,Nebraska Omaha,"W, 80-60",68,Home,19-6,7-1,
2018,South Dakota St.,South Dakota St.,Thu Feb 1,84,176,North Dakota St.,"W, 82-63",68,Home,20-6,8-1,
2018,South Dakota St.,South Dakota St.,Thu Feb 8,83,210,Denver,"W, 81-77",73,Away,21-6,9-1,
2018,South Dakota St.,South Dakota St.,Sat Feb 10,84,236,Oral Roberts,"W, 85-75",70,Away,22-6,10-1,
2018,South Dakota St.,South Dakota St.,Sat Feb 17,83,293,Western Illinois,"W, 82-62",72,Home,23-6,11-1,
2018,South Dakota St.,South Dakota St.,Thu Feb 22,80,81,South Dakota,"W, 76-72",68,Home,24-6,12-1,
2018,South Dakota St.,South Dakota St.,Sat Feb 24,77,165,Fort Wayne,"W, 97-90",73,Away,25-6,13-1,
2018,South Dakota St.,South Dakota St.,Sat Mar 3,81,293,Western Illinois,"W, 66-60",67,Semi-Home,26-6,,Summit League
2018,South Dakota St.,South Dakota St.,Mon Mar 5,81,176,North Dakota St.,"W, 78-57",72,Semi-Home,27-6,,Summit League
2018,South Dakota St.,South Dakota St.,Tue Mar 6,80,81,South Dakota,"W, 97-87",79,Neutral,28-6,,Summit League
2018,South Dakota St.,South Dakota St.,Thu Mar 15,75,16,Ohio St.,"L, 81-73",75,Neutral,28-7,,NCAA
