Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,St. Bonaventure,St. Bonaventure,Fri Nov 10,77,205,Niagara,"L, 77-75",72,Home,0-1,,
2018,St. Bonaventure,St. Bonaventure,Sat Nov 18,89,337,Jackson St.,"W, 72-58",69,Home,1-1,,
2018,St. Bonaventure,St. Bonaventure,Mon Nov 20,,349,Maryland Eastern Shore,"W, 96-48",66,Home,2-1,,
2018,St. Bonaventure,St. Bonaventure,Fri Nov 24,82,39,Maryland,"W, 63-61",65,Neutral,3-1,,
2018,St. Bonaventure,St. Bonaventure,Sat Nov 25,74,24,TCU,"L, 89-79",71,Neutral,3-2,,
2018,St. Bonaventure,St. Bonaventure,Wed Nov 29,79,303,Siena,"W, 75-55",65,Away,4-2,,
2018,St. Bonaventure,St. Bonaventure,Sat Dec 2,70,67,Buffalo,"W, 73-62",77,Away,5-2,,
2018,St. Bonaventure,St. Bonaventure,Wed Dec 6,66,131,Canisius,"W, 73-65",68,Away,6-2,,
2018,St. Bonaventure,St. Bonaventure,Sat Dec 9,68,197,Yale,"W, 75-67",74,Home,7-2,,
2018,St. Bonaventure,St. Bonaventure,Sat Dec 16,68,76,Vermont,"W, 81-79",63,Semi-Home,8-2,,
2018,St. Bonaventure,St. Bonaventure,Wed Dec 20,68,96,Northeastern,"W, 84-65",76,Home,9-2,,
2018,St. Bonaventure,St. Bonaventure,Fri Dec 22,60,41,Syracuse,"W, 60-57",74,Away,10-2,,
2018,St. Bonaventure,St. Bonaventure,Sat Dec 30,57,207,Massachusetts,"W, 98-78",70,Home,11-2,1-0,
2018,St. Bonaventure,St. Bonaventure,Wed Jan 3,53,172,Dayton,"L, 82-72",74,Away,11-3,1-1,
2018,St. Bonaventure,St. Bonaventure,Sat Jan 6,57,116,Saint Joseph's,"L, 85-78",77,Away,11-4,1-2,
2018,St. Bonaventure,St. Bonaventure,Wed Jan 10,58,292,Fordham,"W, 77-61",68,Home,12-4,2-2,
2018,St. Bonaventure,St. Bonaventure,Sat Jan 13,62,52,Rhode Island,"L, 87-73",73,Away,12-5,2-3,
2018,St. Bonaventure,St. Bonaventure,Fri Jan 19,62,43,Davidson,"L, 83-73",65,Away,12-6,2-4,
2018,St. Bonaventure,St. Bonaventure,Wed Jan 24,71,116,Saint Joseph's,"W, 70-67",73,Home,13-6,3-4,
2018,St. Bonaventure,St. Bonaventure,Sun Jan 28,78,192,George Washington,"W, 70-52",68,Home,14-6,4-4,
2018,St. Bonaventure,St. Bonaventure,Wed Jan 31,77,220,George Mason,"W, 85-69",69,Away,15-6,5-4,
2018,St. Bonaventure,St. Bonaventure,Sat Feb 3,75,201,Duquesne,"W, 84-81",67,Away,16-6,6-4,
2018,St. Bonaventure,St. Bonaventure,Wed Feb 7,75,148,Saint Louis,"W, 79-56",65,Home,17-6,7-4,
2018,St. Bonaventure,St. Bonaventure,Sat Feb 10,66,181,Richmond,"W, 97-88",81,Home,18-6,8-4,
2018,St. Bonaventure,St. Bonaventure,Tue Feb 13,68,156,La Salle,"W, 79-68",68,Away,19-6,9-4,
2018,St. Bonaventure,St. Bonaventure,Fri Feb 16,66,52,Rhode Island,"W, 77-74",68,Home,20-6,10-4,
2018,St. Bonaventure,St. Bonaventure,Wed Feb 21,63,201,Duquesne,"W, 73-67",69,Home,21-6,11-4,
2018,St. Bonaventure,St. Bonaventure,Sat Feb 24,68,144,VCU,"W, 68-63",72,Away,22-6,12-4,
2018,St. Bonaventure,St. Bonaventure,Tue Feb 27,66,43,Davidson,"W, 117-113",96,Home,23-6,13-4,
2018,St. Bonaventure,St. Bonaventure,Sat Mar 3,66,148,Saint Louis,"W, 64-56",63,Away,24-6,14-4,
2018,St. Bonaventure,St. Bonaventure,Fri Mar 9,64,181,Richmond,"W, 83-77",68,Neutral,25-6,,Atlantic 10
2018,St. Bonaventure,St. Bonaventure,Sat Mar 10,65,43,Davidson,"L, 82-70",58,Neutral,25-7,,Atlantic 10
2018,St. Bonaventure,St. Bonaventure,Tue Mar 13,69,56,UCLA,"W, 65-58",68,Neutral,26-7,,NCAA
2018,St. Bonaventure,St. Bonaventure,Thu Mar 15,67,22,Florida,"L, 77-62",75,Neutral,26-8,,NCAA
