Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,UMBC,UMBC,Fri Nov 10,207,84,SMU,"L, 78-67",65,Away,0-1,,
2018,UMBC,UMBC,Sun Nov 12,198,28,Arizona,"L, 103-78",74,Away,0-2,,
2018,UMBC,UMBC,Thu Nov 16,200,NR,Central Pennsylvania,"W, 93-62",78,Home,1-2,,
2018,UMBC,UMBC,Sun Nov 19,196,202,Colgate,"L, 93-88",74,Away,1-3,,
2018,UMBC,UMBC,Thu Nov 23,192,346,Chicago St.,"W, 84-73",72,Home,2-3,,
2018,UMBC,UMBC,Fri Nov 24,199,185,Nicholls St.,"W, 89-88",77,Home,3-3,,
2018,UMBC,UMBC,Mon Nov 27,216,NR,Shenandoah,"W, 88-59",76,Home,4-3,,
2018,UMBC,UMBC,Fri Dec 1,216,264,Army,"L, 81-70",73,Neutral,4-4,,
2018,UMBC,UMBC,Sat Dec 2,224,315,The Citadel,"W, 98-72",78,Away,5-4,,
2018,UMBC,UMBC,Wed Dec 6,205,350,Delaware St.,"W, 81-60",62,Away,6-4,,
2018,UMBC,UMBC,Sat Dec 9,192,153,Towson,"L, 78-65",72,Away,6-5,,
2018,UMBC,UMBC,Tue Dec 12,193,347,Coppin St.,"W, 81-74",74,Home,7-5,,
2018,UMBC,UMBC,Sun Dec 17,201,90,Northern Kentucky,"W, 76-75",66,Home,8-5,,
2018,UMBC,UMBC,Fri Dec 29,196,39,Maryland,"L, 66-45",70,Away,8-6,,
2018,UMBC,UMBC,Sun Dec 31,199,NR,Centenary NJ,"W, 85-41",66,Home,9-6,,
2018,UMBC,UMBC,Wed Jan 3,200,278,New Hampshire,"W, 71-67",70,Home,10-6,1-0,
2018,UMBC,UMBC,Sat Jan 6,204,76,Vermont,"L, 71-56",62,Away,10-7,1-1,
2018,UMBC,UMBC,Wed Jan 10,214,332,Maine,"W, 72-67",74,Away,11-7,2-1,
2018,UMBC,UMBC,Sat Jan 13,216,287,UMass Lowell,"W, 89-62",68,Away,12-7,3-1,
2018,UMBC,UMBC,Mon Jan 15,196,215,Hartford,"W, 78-56",63,Home,13-7,4-1,
2018,UMBC,UMBC,Sun Jan 21,178,151,Albany,"L, 83-39",66,Away,13-8,4-2,
2018,UMBC,UMBC,Wed Jan 24,208,297,Binghamton,"W, 69-57",64,Home,14-8,5-2,
2018,UMBC,UMBC,Sat Jan 27,205,332,Maine,"W, 86-74",76,Home,15-8,6-2,
2018,UMBC,UMBC,Wed Jan 31,201,223,Stony Brook,"W, 67-63",73,Away,16-8,7-2,
2018,UMBC,UMBC,Sat Feb 3,196,76,Vermont,"L, 81-53",62,Home,16-9,7-3,
2018,UMBC,UMBC,Thu Feb 8,212,297,Binghamton,"W, 78-68",66,Away,17-9,8-3,
2018,UMBC,UMBC,Sun Feb 11,207,278,New Hampshire,"W, 68-59",64,Away,18-9,9-3,
2018,UMBC,UMBC,Sun Feb 18,201,151,Albany,"W, 68-60",62,Home,19-9,10-3,
2018,UMBC,UMBC,Wed Feb 21,193,223,Stony Brook,"L, 64-57",67,Home,19-10,10-4,
2018,UMBC,UMBC,Sat Feb 24,201,287,UMass Lowell,"W, 83-75",77,Home,20-10,11-4,
2018,UMBC,UMBC,Tue Feb 27,207,215,Hartford,"W, 62-53",65,Away,21-10,12-4,
2018,UMBC,UMBC,Sat Mar 3,199,287,UMass Lowell,"W, 89-77",76,Home,22-10,,America East
2018,UMBC,UMBC,Tue Mar 6,197,215,Hartford,"W, 75-60",70,Home,23-10,,America East
2018,UMBC,UMBC,Sat Mar 10,194,76,Vermont,"W, 65-62",60,Away,24-10,,America East
2018,UMBC,UMBC,Fri Mar 16,188,2,Virginia,"W, 74-54",62,Neutral,25-10,,NCAA
2018,UMBC,UMBC,Sun Mar 18,168,42,Kansas St.,"L, 50-43",66,Neutral,25-11,,NCAA
