Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,UNC Greensboro,UNC Greensboro,Fri Nov 10,161,2,Virginia,"L, 60-48",60,Away,0-1,,
2018,UNC Greensboro,UNC Greensboro,Wed Nov 15,155,NR,NC Wesleyan,"W, 82-48",70,Home,1-1,,
2018,UNC Greensboro,UNC Greensboro,Fri Nov 17,158,NR,Ferrum,"W, 95-43",77,Home,2-1,,
2018,UNC Greensboro,UNC Greensboro,Mon Nov 20,158,247,Delaware,"W, 79-66",64,Home,3-1,,
2018,UNC Greensboro,UNC Greensboro,Tue Nov 21,148,340,Longwood,"W, 71-40",74,Home,4-1,,
2018,UNC Greensboro,UNC Greensboro,Fri Nov 24,134,89,Wake Forest,"L, 81-75",64,Away,4-2,,
2018,UNC Greensboro,UNC Greensboro,Tue Nov 28,131,334,Presbyterian,"L, 74-72",63,Away,4-3,,
2018,UNC Greensboro,UNC Greensboro,Sat Dec 2,149,184,Liberty,"W, 76-75",91,Away,5-3,,
2018,UNC Greensboro,UNC Greensboro,Thu Dec 7,145,248,Elon,"W, 75-44",64,Home,6-3,,
2018,UNC Greensboro,UNC Greensboro,Wed Dec 13,119,245,UNC Wilmington,"W, 71-58",73,Home,7-3,,
2018,UNC Greensboro,UNC Greensboro,Sat Dec 16,115,46,N.C. State,"W, 81-76",68,Away,8-3,,
2018,UNC Greensboro,UNC Greensboro,Tue Dec 19,99,187,UNC Asheville,"L, 67-60",68,Home,8-4,,
2018,UNC Greensboro,UNC Greensboro,Thu Dec 21,109,NR,Southeastern,"W, 85-67",75,Home,9-4,,
2018,UNC Greensboro,UNC Greensboro,Sat Dec 30,107,163,Wofford,"W, 71-67",61,Home,10-4,1-0,
2018,UNC Greensboro,UNC Greensboro,Sat Jan 6,110,331,VMI,"W, 63-61",67,Away,11-4,2-0,
2018,UNC Greensboro,UNC Greensboro,Thu Jan 11,119,93,East Tennessee St.,"L, 68-58",64,Away,11-5,2-1,
2018,UNC Greensboro,UNC Greensboro,Sat Jan 13,124,302,Western Carolina,"W, 66-55",63,Away,12-5,3-1,
2018,UNC Greensboro,UNC Greensboro,Thu Jan 18,117,315,The Citadel,"W, 72-58",68,Home,13-5,4-1,
2018,UNC Greensboro,UNC Greensboro,Sat Jan 20,121,154,Mercer,"W, 70-66",68,Home,14-5,5-1,
2018,UNC Greensboro,UNC Greensboro,Wed Jan 24,127,95,Furman,"W, 71-61",67,Home,15-5,6-1,
2018,UNC Greensboro,UNC Greensboro,Sat Jan 27,119,298,Samford,"W, 98-82",71,Away,16-5,7-1,
2018,UNC Greensboro,UNC Greensboro,Mon Jan 29,107,304,Chattanooga,"L, 87-85",80,Away,16-6,7-2,
2018,UNC Greensboro,UNC Greensboro,Thu Feb 1,115,331,VMI,"W, 73-51",71,Home,17-6,8-2,
2018,UNC Greensboro,UNC Greensboro,Wed Feb 7,112,95,Furman,"W, 80-67",66,Away,18-6,9-2,
2018,UNC Greensboro,UNC Greensboro,Sat Feb 10,102,302,Western Carolina,"W, 65-48",67,Home,19-6,10-2,
2018,UNC Greensboro,UNC Greensboro,Mon Feb 12,99,93,East Tennessee St.,"W, 74-56",66,Home,20-6,11-2,
2018,UNC Greensboro,UNC Greensboro,Thu Feb 15,91,315,The Citadel,"W, 82-66",77,Away,21-6,12-2,
2018,UNC Greensboro,UNC Greensboro,Sat Feb 17,90,154,Mercer,"L, 77-74",64,Away,21-7,12-3,
2018,UNC Greensboro,UNC Greensboro,Tue Feb 20,92,163,Wofford,"W, 76-66",65,Away,22-7,13-3,
2018,UNC Greensboro,UNC Greensboro,Fri Feb 23,86,304,Chattanooga,"W, 72-51",67,Home,23-7,14-3,
2018,UNC Greensboro,UNC Greensboro,Sun Feb 25,86,298,Samford,"W, 88-75",69,Home,24-7,15-3,
2018,UNC Greensboro,UNC Greensboro,Sat Mar 3,89,315,The Citadel,"W, 72-58",64,Neutral,25-7,,Southern
2018,UNC Greensboro,UNC Greensboro,Sun Mar 4,88,163,Wofford,"W, 56-55",60,Neutral,26-7,,Southern
2018,UNC Greensboro,UNC Greensboro,Mon Mar 5,91,93,East Tennessee St.,"W, 62-47",63,Neutral,27-7,,Southern
2018,UNC Greensboro,UNC Greensboro,Thu Mar 15,82,10,Gonzaga,"L, 68-64",71,Neutral,27-8,,NCAA
