Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Wright St.,Wright St.,Fri Nov 10,201,31,Loyola Chicago,"L, 84-80",77,Away,0-1,,
2018,Wright St.,Wright St.,Tue Nov 14,195,194,Miami OH,"L, 73-67",76,Away,0-2,,
2018,Wright St.,Wright St.,Sat Nov 18,204,62,Murray St.,"L, 80-61",68,Home,0-3,,
2018,Wright St.,Wright St.,Mon Nov 20,229,NR,Tiffin,"W, 73-49",73,Home,1-3,,
2018,Wright St.,Wright St.,Fri Nov 24,229,261,Gardner Webb,"W, 67-47",74,Home,2-3,,
2018,Wright St.,Wright St.,Sat Nov 25,207,320,Jacksonville,"W, 68-44",61,Home,3-3,,
2018,Wright St.,Wright St.,Sun Nov 26,190,212,Fairfield,"W, 57-56",63,Home,4-3,,
2018,Wright St.,Wright St.,Sat Dec 2,201,47,Western Kentucky,"L, 78-60",69,Away,4-4,,
2018,Wright St.,Wright St.,Tue Dec 5,210,NR,Ohio Valley,"W, 98-68",77,Home,5-4,,
2018,Wright St.,Wright St.,Sat Dec 9,204,211,Kent St.,"W, 63-54",74,Home,6-4,,
2018,Wright St.,Wright St.,Sat Dec 16,195,113,Toledo,"W, 77-69",72,Away,7-4,,
2018,Wright St.,Wright St.,Tue Dec 19,184,120,Missouri St.,"L, 66-50",67,Away,7-5,,
2018,Wright St.,Wright St.,Fri Dec 22,192,119,Georgia Tech,"W, 85-81",76,Away,8-5,,
2018,Wright St.,Wright St.,Thu Dec 28,181,182,Illinois Chicago,"W, 65-61",68,Home,9-5,1-0,
2018,Wright St.,Wright St.,Sat Dec 30,180,284,IUPUI,"W, 60-52",68,Home,10-5,2-0,
2018,Wright St.,Wright St.,Fri Jan 5,177,319,Detroit,"W, 80-73",79,Away,11-5,3-0,
2018,Wright St.,Wright St.,Sun Jan 7,173,175,Oakland,"W, 86-81",82,Away,12-5,4-0,
2018,Wright St.,Wright St.,Thu Jan 11,160,90,Northern Kentucky,"W, 84-81",76,Away,13-5,5-0,
2018,Wright St.,Wright St.,Mon Jan 15,143,322,Youngstown St.,"W, 77-67",69,Home,14-5,6-0,
2018,Wright St.,Wright St.,Thu Jan 18,144,263,Green Bay,"W, 80-67",71,Away,15-5,7-0,
2018,Wright St.,Wright St.,Sat Jan 20,139,196,Milwaukee,"L, 66-61",65,Away,15-6,7-1,
2018,Wright St.,Wright St.,Fri Jan 26,142,319,Detroit,"W, 87-55",70,Home,16-6,8-1,
2018,Wright St.,Wright St.,Sun Jan 28,133,175,Oakland,"W, 64-51",68,Home,17-6,9-1,
2018,Wright St.,Wright St.,Thu Feb 1,121,300,Cleveland St.,"L, 77-74",72,Away,17-7,9-2,
2018,Wright St.,Wright St.,Sat Feb 3,133,322,Youngstown St.,"W, 83-57",75,Away,18-7,10-2,
2018,Wright St.,Wright St.,Thu Feb 8,125,263,Green Bay,"W, 68-64",74,Home,19-7,11-2,
2018,Wright St.,Wright St.,Sat Feb 10,127,196,Milwaukee,"L, 74-73",67,Home,19-8,11-3,
2018,Wright St.,Wright St.,Fri Feb 16,137,90,Northern Kentucky,"W, 69-67",63,Home,20-8,12-3,
2018,Wright St.,Wright St.,Mon Feb 19,134,300,Cleveland St.,"W, 72-63",67,Home,21-8,13-3,
2018,Wright St.,Wright St.,Fri Feb 23,141,284,IUPUI,"L, 66-56",65,Away,21-9,13-4,
2018,Wright St.,Wright St.,Sun Feb 25,154,182,Illinois Chicago,"W, 88-81",78,Away,22-9,14-4,
2018,Wright St.,Wright St.,Sat Mar 3,146,263,Green Bay,"W, 87-72",71,Neutral,23-9,,Horizon League
2018,Wright St.,Wright St.,Mon Mar 5,142,196,Milwaukee,"W, 59-53",64,Neutral,24-9,,Horizon League
2018,Wright St.,Wright St.,Tue Mar 6,140,300,Cleveland St.,"W, 74-57",64,Neutral,25-9,,Horizon League
2018,Wright St.,Wright St.,Thu Mar 15,131,13,Tennessee,"L, 73-47",66,Neutral,25-10,,NCAA
