Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2018,Xavier,Xavier,Fri Nov 10,26,273,Morehead St.,"W, 101-49",73,Home,1-0,,
2018,Xavier,Xavier,Mon Nov 13,21,145,Rider,"W, 101-75",77,Home,2-0,,
2018,Xavier,Xavier,Thu Nov 16,20,70,Wisconsin,"W, 80-70",69,Away,3-0,,
2018,Xavier,Xavier,Mon Nov 20,16,250,Hampton,"W, 96-60",77,Home,4-0,,
2018,Xavier,Xavier,Thu Nov 23,17,192,George Washington,"W, 83-64",70,Neutral,5-0,,
2018,Xavier,Xavier,Fri Nov 24,15,49,Arizona St.,"L, 102-86",73,Neutral,5-1,,
2018,Xavier,Xavier,Tue Nov 28,21,34,Baylor,"W, 76-63",65,Home,6-1,,
2018,Xavier,Xavier,Sat Dec 2,18,4,Cincinnati,"W, 89-76",75,Home,7-1,,
2018,Xavier,Xavier,Wed Dec 6,14,211,Kent St.,"W, 96-70",71,Home,8-1,,
2018,Xavier,Xavier,Sat Dec 9,12,114,Colorado,"W, 96-69",72,Home,9-1,,
2018,Xavier,Xavier,Sat Dec 16,11,93,East Tennessee St.,"W, 68-66",66,Home,10-1,,
2018,Xavier,Xavier,Tue Dec 19,13,105,Marshall,"W, 81-77",81,Home,11-1,,
2018,Xavier,Xavier,Fri Dec 22,17,122,Northern Iowa,"W, 77-67",69,Away,12-1,,
2018,Xavier,Xavier,Wed Dec 27,16,53,Marquette,"W, 91-87",74,Away,13-1,1-0,
2018,Xavier,Xavier,Sat Dec 30,16,99,DePaul,"W, 77-72",82,Home,14-1,2-0,
2018,Xavier,Xavier,Tue Jan 2,16,20,Butler,"W, 86-79",76,Home,15-1,3-0,
2018,Xavier,Xavier,Sat Jan 6,15,63,Providence,"L, 81-72",71,Away,15-2,3-1,
2018,Xavier,Xavier,Wed Jan 10,20,1,Villanova,"L, 89-65",71,Away,15-3,3-2,
2018,Xavier,Xavier,Sat Jan 13,22,30,Creighton,"W, 92-70",78,Home,16-3,4-2,
2018,Xavier,Xavier,Wed Jan 17,16,74,St. John's,"W, 88-82",69,Home,17-3,5-2,
2018,Xavier,Xavier,Sat Jan 20,16,26,Seton Hall,"W, 73-64",70,Away,18-3,6-2,
2018,Xavier,Xavier,Wed Jan 24,13,53,Marquette,"W, 89-70",74,Home,19-3,7-2,
2018,Xavier,Xavier,Tue Jan 30,12,74,St. John's,"W, 73-68",73,Away,20-3,8-2,
2018,Xavier,Xavier,Sat Feb 3,13,94,Georgetown,"W, 96-91",81,Home,21-3,9-2,
2018,Xavier,Xavier,Tue Feb 6,16,20,Butler,"W, 98-93",76,Away,22-3,10-2,
2018,Xavier,Xavier,Sat Feb 10,16,30,Creighton,"W, 72-71",71,Away,23-3,11-2,
2018,Xavier,Xavier,Wed Feb 14,12,26,Seton Hall,"W, 102-90",77,Home,24-3,12-2,
2018,Xavier,Xavier,Sat Feb 17,11,1,Villanova,"L, 95-79",70,Home,24-4,12-3,
2018,Xavier,Xavier,Wed Feb 21,13,94,Georgetown,"W, 89-77",73,Away,25-4,13-3,
2018,Xavier,Xavier,Wed Feb 28,14,63,Providence,"W, 84-74",67,Home,26-4,14-3,
2018,Xavier,Xavier,Sat Mar 3,14,99,DePaul,"W, 65-62",70,Away,27-4,15-3,
2018,Xavier,Xavier,Thu Mar 8,15,74,St. John's,"W, 88-60",71,Semi-Away,28-4,,Big East
2018,Xavier,Xavier,Fri Mar 9,10,63,Providence,"L, 75-72",75,Neutral,28-5,,Big East
2018,Xavier,Xavier,Fri Mar 16,14,243,Texas Southern,"W, 102-83",81,Neutral,29-5,,NCAA
2018,Xavier,Xavier,Sun Mar 18,14,27,Florida St.,"L, 75-70",69,Neutral,29-6,,NCAA
