Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Abilene Christian,Abilene Christian,Tue Nov 6,252,NR,Arlington Baptist,"W, 107-54",73,Home,1-0,,
2019,Abilene Christian,Abilene Christian,Fri Nov 9,253,254,Arkansas St.,"W, 94-73",76,Home,2-0,,
2019,Abilene Christian,Abilene Christian,Thu Nov 15,232,312,Denver,"W, 67-61",61,Away,3-0,,
2019,Abilene Christian,Abilene Christian,Thu Nov 22,207,309,Elon,"W, 72-56",55,Neutral,4-0,,
2019,Abilene Christian,Abilene Christian,Fri Nov 23,184,216,Pacific,"W, 73-71",65,Away,5-0,,
2019,Abilene Christian,Abilene Christian,Sat Nov 24,178,322,UC Riverside,"W, 60-48",58,Neutral,6-0,,
2019,Abilene Christian,Abilene Christian,Tue Nov 27,171,NR,Howard Payne,"W, 90-53",73,Home,7-0,,
2019,Abilene Christian,Abilene Christian,Sat Dec 1,168,151,Pepperdine,"L, 77-62",69,Away,7-1,,
2019,Abilene Christian,Abilene Christian,Tue Dec 4,180,181,Campbell,"W, 83-68",69,Home,8-1,,
2019,Abilene Christian,Abilene Christian,Sat Dec 8,172,NR,Schreiner,"W, 93-53",70,Home,9-1,,
2019,Abilene Christian,Abilene Christian,Sat Dec 15,168,5,Texas Tech,"L, 82-48",65,Away,9-2,,
2019,Abilene Christian,Abilene Christian,Fri Dec 21,177,308,Southeast Missouri St.,"W, 70-68",73,Away,10-2,,
2019,Abilene Christian,Abilene Christian,Sat Dec 29,177,NR,McMurry,"W, 88-40",72,Home,11-2,,
2019,Abilene Christian,Abilene Christian,Wed Jan 2,179,262,New Orleans,"W, 68-58",70,Home,12-2,1-0,
2019,Abilene Christian,Abilene Christian,Sat Jan 5,177,176,Sam Houston St.,"L, 71-68",66,Away,12-3,1-1,
2019,Abilene Christian,Abilene Christian,Wed Jan 9,180,331,McNeese St.,"W, 73-72",61,Away,13-3,2-1,
2019,Abilene Christian,Abilene Christian,Sat Jan 12,183,232,Southeastern Louisiana,"W, 75-72",67,Away,14-3,3-1,
2019,Abilene Christian,Abilene Christian,Wed Jan 16,175,281,Houston Baptist,"W, 75-68",69,Home,15-3,4-1,
2019,Abilene Christian,Abilene Christian,Sat Jan 19,169,341,Northwestern St.,"W, 78-69",70,Home,16-3,5-1,
2019,Abilene Christian,Abilene Christian,Wed Jan 23,173,311,Stephen F. Austin,"L, 61-60",73,Away,16-4,5-2,
2019,Abilene Christian,Abilene Christian,Sat Jan 26,176,302,Central Arkansas,"W, 79-56",73,Home,17-4,6-2,
2019,Abilene Christian,Abilene Christian,Wed Jan 30,161,287,Texas A&M Corpus Chris,"W, 78-71",70,Home,18-4,7-2,
2019,Abilene Christian,Abilene Christian,Wed Feb 6,163,217,Lamar,"W, 75-64",70,Away,19-4,8-2,
2019,Abilene Christian,Abilene Christian,Sat Feb 9,156,176,Sam Houston St.,"L, 90-85",81,Home,19-5,8-3,
2019,Abilene Christian,Abilene Christian,Wed Feb 13,164,310,Nicholls St.,"W, 64-48",65,Away,20-5,9-3,
2019,Abilene Christian,Abilene Christian,Sat Feb 16,156,346,Incarnate Word,"W, 68-48",63,Away,21-5,10-3,
2019,Abilene Christian,Abilene Christian,Sat Feb 23,152,232,Southeastern Louisiana,"L, 75-66",62,Home,21-6,10-4,
2019,Abilene Christian,Abilene Christian,Wed Feb 27,165,287,Texas A&M Corpus Chris,"W, 73-64",66,Away,22-6,11-4,
2019,Abilene Christian,Abilene Christian,Sat Mar 2,157,302,Central Arkansas,"W, 67-55",66,Away,23-6,12-4,
2019,Abilene Christian,Abilene Christian,Tue Mar 5,156,311,Stephen F. Austin,"W, 72-58",63,Home,24-6,13-4,
2019,Abilene Christian,Abilene Christian,Sat Mar 9,154,346,Incarnate Word,"W, 81-52",62,Home,25-6,14-4,
2019,Abilene Christian,Abilene Christian,Fri Mar 15,149,232,Southeastern Louisiana,"W, 69-66",68,Neutral,26-6,,Southland
2019,Abilene Christian,Abilene Christian,Sat Mar 16,151,262,New Orleans,"W, 77-60",70,Neutral,27-6,,Southland
2019,Abilene Christian,Abilene Christian,Thu Mar 21,146,8,Kentucky,"L, 79-44",64,Neutral,27-7,,NCAA
