Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Bradley,Bradley,Wed Nov 7,114,NR,Wisconsin Parkside,"W, 74-58",71,Home,1-0,,
2019,Bradley,Bradley,Sat Nov 10,115,308,Southeast Missouri St.,"W, 68-57",69,Home,2-0,,
2019,Bradley,Bradley,Wed Nov 14,115,110,Jacksonville St.,"W, 74-65",67,Home,3-0,,
2019,Bradley,Bradley,Sat Nov 17,118,196,Illinois Chicago,"L, 71-70",70,Away,3-1,,
2019,Bradley,Bradley,Tue Nov 20,121,107,SMU,"W, 75-62",66,Neutral,4-1,,
2019,Bradley,Bradley,Wed Nov 21,104,43,Penn St.,"W, 59-56",63,Neutral,5-1,,
2019,Bradley,Bradley,Sat Nov 24,97,351,Chicago St.,"W, 86-70",66,Home,6-1,,
2019,Bradley,Bradley,Wed Nov 28,102,191,IUPUI,"L, 85-73",71,Away,6-2,,
2019,Bradley,Bradley,Sat Dec 1,114,188,New Mexico,"L, 85-75",76,Home,6-3,,
2019,Bradley,Bradley,Tue Dec 4,124,222,Little Rock,"W, 68-62",68,Away,7-3,,
2019,Bradley,Bradley,Sat Dec 15,126,307,Eastern Illinois,"L, 73-66",65,Home,7-4,,
2019,Bradley,Bradley,Tue Dec 18,139,103,Georgia Southern,"L, 79-74",91,Away,7-5,,
2019,Bradley,Bradley,Sat Dec 22,146,232,Southeastern Louisiana,"W, 63-60",62,Home,8-5,,
2019,Bradley,Bradley,Wed Jan 2,156,177,Northern Iowa,"L, 65-47",58,Home,8-6,0-1,
2019,Bradley,Bradley,Sat Jan 5,187,208,Indiana St.,"L, 65-60",75,Away,8-7,0-2,
2019,Bradley,Bradley,Tue Jan 8,187,220,Valparaiso,"L, 61-50",65,Away,8-8,0-3,
2019,Bradley,Bradley,Sat Jan 12,198,171,Missouri St.,"L, 69-64",63,Home,8-9,0-4,
2019,Bradley,Bradley,Wed Jan 16,209,135,Drake,"L, 69-52",66,Home,8-10,0-5,
2019,Bradley,Bradley,Sun Jan 20,227,146,Southern Illinois,"W, 57-54",59,Away,9-10,1-5,
2019,Bradley,Bradley,Wed Jan 23,221,205,Illinois St.,"W, 85-68",70,Home,10-10,2-5,
2019,Bradley,Bradley,Sat Jan 26,210,171,Missouri St.,"L, 55-37",57,Away,10-11,2-6,
2019,Bradley,Bradley,Wed Jan 30,228,227,Evansville,"W, 81-73",69,Away,11-11,3-6,
2019,Bradley,Bradley,Sat Feb 2,214,146,Southern Illinois,"L, 72-68",64,Home,11-12,3-7,
2019,Bradley,Bradley,Wed Feb 6,218,177,Northern Iowa,"W, 79-71",65,Away,12-12,4-7,
2019,Bradley,Bradley,Sat Feb 9,210,208,Indiana St.,"W, 96-67",75,Home,13-12,5-7,
2019,Bradley,Bradley,Wed Feb 13,188,131,Loyola Chicago,"W, 61-54",62,Home,14-12,6-7,
2019,Bradley,Bradley,Sat Feb 16,178,205,Illinois St.,"W, 65-59",62,Away,15-12,7-7,
2019,Bradley,Bradley,Tue Feb 19,174,135,Drake,"L, 77-68",66,Away,15-13,7-8,
2019,Bradley,Bradley,Sat Feb 23,177,227,Evansville,"W, 63-61",66,Home,16-13,8-8,
2019,Bradley,Bradley,Wed Feb 27,181,220,Valparaiso,"W, 67-42",62,Home,17-13,9-8,
2019,Bradley,Bradley,Sat Mar 2,172,131,Loyola Chicago,"L, 81-68",61,Away,17-14,9-9,
2019,Bradley,Bradley,Fri Mar 8,176,171,Missouri St.,"W, 61-58",59,Neutral,18-14,,Missouri Valley
2019,Bradley,Bradley,Sat Mar 9,171,131,Loyola Chicago,"W, 53-51",62,Neutral,19-14,,Missouri Valley
2019,Bradley,Bradley,Sun Mar 10,169,177,Northern Iowa,"W, 57-54",63,Neutral,20-14,,Missouri Valley
2019,Bradley,Bradley,Thu Mar 21,161,3,Michigan St.,"L, 76-65",67,Neutral,20-15,,NCAA
