Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Gardner Webb,Gardner Webb,Tue Nov 6,258,42,VCU,"L, 69-57",70,Away,0-1,,
2019,Gardner Webb,Gardner Webb,Fri Nov 9,257,13,Virginia Tech,"L, 87-59",80,Away,0-2,,
2019,Gardner Webb,Gardner Webb,Tue Nov 13,263,59,Furman,"L, 88-86",77,Away,0-3,,
2019,Gardner Webb,Gardner Webb,Fri Nov 16,250,340,Savannah St.,"W, 97-77",78,Away,1-3,,
2019,Gardner Webb,Gardner Webb,Fri Nov 23,225,307,Eastern Illinois,"L, 79-78",65,Neutral,1-4,,
2019,Gardner Webb,Gardner Webb,Sat Nov 24,228,272,UNC Wilmington,"W, 81-72",72,Neutral,2-4,,
2019,Gardner Webb,Gardner Webb,Sun Nov 25,214,254,Arkansas St.,"L, 77-69",66,Neutral,2-5,,
2019,Gardner Webb,Gardner Webb,Wed Nov 28,230,336,USC Upstate,"W, 74-61",63,Away,3-5,,
2019,Gardner Webb,Gardner Webb,Sat Dec 1,223,340,Savannah St.,"W, 97-60",76,Home,4-5,,
2019,Gardner Webb,Gardner Webb,Thu Dec 6,202,NR,Bob Jones,"W, 105-37",71,Home,5-5,,
2019,Gardner Webb,Gardner Webb,Sat Dec 8,200,NR,Johnson & Wales NC,"W, 102-55",75,Home,6-5,,
2019,Gardner Webb,Gardner Webb,Thu Dec 13,194,339,Kennesaw St.,"W, 81-77",72,Home,7-5,,
2019,Gardner Webb,Gardner Webb,Mon Dec 17,208,115,Georgia Tech,"W, 79-69",69,Away,8-5,,
2019,Gardner Webb,Gardner Webb,Wed Dec 19,182,NR,Brevard,"W, 106-29",70,Home,9-5,,
2019,Gardner Webb,Gardner Webb,Sat Dec 29,179,174,Wake Forest,"W, 73-69",77,Away,10-5,,
2019,Gardner Webb,Gardner Webb,Sat Jan 5,166,181,Campbell,"L, 72-61",66,Away,10-6,0-1,
2019,Gardner Webb,Gardner Webb,Sat Jan 12,170,336,USC Upstate,"W, 64-59",65,Home,11-6,1-1,
2019,Gardner Webb,Gardner Webb,Thu Jan 17,175,122,Radford,"L, 75-58",58,Away,11-7,1-2,
2019,Gardner Webb,Gardner Webb,Sat Jan 19,187,170,Hampton,"W, 87-74",80,Home,12-7,2-2,
2019,Gardner Webb,Gardner Webb,Thu Jan 24,178,168,Winthrop,"L, 97-88",78,Away,12-8,2-3,
2019,Gardner Webb,Gardner Webb,Sat Jan 26,180,160,Charleston Southern,"L, 74-60",70,Away,12-9,2-4,
2019,Gardner Webb,Gardner Webb,Wed Jan 30,188,223,High Point,"W, 69-67",66,Home,13-9,3-4,
2019,Gardner Webb,Gardner Webb,Sat Feb 2,189,347,UNC Asheville,"W, 82-81",65,Home,14-9,4-4,
2019,Gardner Webb,Gardner Webb,Thu Feb 7,208,256,Longwood,"W, 89-88",79,Away,15-9,5-4,
2019,Gardner Webb,Gardner Webb,Sat Feb 9,211,179,Presbyterian,"L, 103-101",84,Away,15-10,5-5,
2019,Gardner Webb,Gardner Webb,Wed Feb 13,205,160,Charleston Southern,"W, 77-74",70,Home,16-10,6-5,
2019,Gardner Webb,Gardner Webb,Sat Feb 16,203,168,Winthrop,"W, 64-60",70,Home,17-10,7-5,
2019,Gardner Webb,Gardner Webb,Thu Feb 21,196,347,UNC Asheville,"W, 65-55",63,Away,18-10,8-5,
2019,Gardner Webb,Gardner Webb,Sat Feb 23,196,223,High Point,"L, 87-79",63,Away,18-11,8-6,
2019,Gardner Webb,Gardner Webb,Wed Feb 27,202,179,Presbyterian,"W, 78-70",69,Home,19-11,9-6,
2019,Gardner Webb,Gardner Webb,Sat Mar 2,201,256,Longwood,"W, 66-47",70,Home,20-11,10-6,
2019,Gardner Webb,Gardner Webb,Thu Mar 7,193,223,High Point,"W, 75-69",66,Neutral,21-11,,Big South
2019,Gardner Webb,Gardner Webb,Fri Mar 8,190,181,Campbell,"W, 79-74",59,Away,22-11,,Big South
2019,Gardner Webb,Gardner Webb,Sun Mar 10,183,122,Radford,"W, 76-65",60,Away,23-11,,Big South
2019,Gardner Webb,Gardner Webb,Fri Mar 22,165,1,Virginia,"L, 71-56",63,Neutral,23-12,,NCAA
