Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Kansas St.,Kansas St.,Fri Nov 9,15,339,Kennesaw St.,"W, 56-41",67,Home,1-0,,
2019,Kansas St.,Kansas St.,Mon Nov 12,17,312,Denver,"W, 64-56",71,Home,2-0,,
2019,Kansas St.,Kansas St.,Fri Nov 16,22,235,Eastern Kentucky,"W, 95-68",82,Neutral,3-0,,
2019,Kansas St.,Kansas St.,Sun Nov 18,22,130,Penn,"W, 64-48",67,Neutral,4-0,,
2019,Kansas St.,Kansas St.,Mon Nov 19,19,68,Missouri,"W, 82-67",64,Neutral,5-0,,
2019,Kansas St.,Kansas St.,Sat Nov 24,18,169,Lehigh,"W, 77-58",72,Home,6-0,,
2019,Kansas St.,Kansas St.,Sat Dec 1,20,33,Marquette,"L, 83-71",76,Away,6-1,,
2019,Kansas St.,Kansas St.,Sat Dec 8,22,119,Tulsa,"L, 47-46",65,Away,6-2,,
2019,Kansas St.,Kansas St.,Sat Dec 15,24,124,Georgia St.,"W, 71-59",69,Home,7-2,,
2019,Kansas St.,Kansas St.,Wed Dec 19,22,120,Southern Miss,"W, 55-51",64,Home,8-2,,
2019,Kansas St.,Kansas St.,Sat Dec 22,31,155,Vanderbilt,"W, 69-58",70,Semi-Home,9-2,,
2019,Kansas St.,Kansas St.,Sat Dec 29,28,156,George Mason,"W, 59-58",61,Home,10-2,,
2019,Kansas St.,Kansas St.,Wed Jan 2,34,25,Texas,"L, 67-47",58,Home,10-3,0-1,
2019,Kansas St.,Kansas St.,Sat Jan 5,47,5,Texas Tech,"L, 63-57",68,Away,10-4,0-2,
2019,Kansas St.,Kansas St.,Wed Jan 9,48,95,West Virginia,"W, 71-69",64,Home,11-4,1-2,
2019,Kansas St.,Kansas St.,Sat Jan 12,50,15,Iowa St.,"W, 58-57",61,Away,12-4,2-2,
2019,Kansas St.,Kansas St.,Wed Jan 16,52,32,Oklahoma,"W, 74-61",63,Away,13-4,3-2,
2019,Kansas St.,Kansas St.,Sat Jan 19,44,40,TCU,"W, 65-55",60,Home,14-4,4-2,
2019,Kansas St.,Kansas St.,Tue Jan 22,41,5,Texas Tech,"W, 58-45",61,Home,15-4,5-2,
2019,Kansas St.,Kansas St.,Sat Jan 26,36,91,Texas A&M,"L, 65-53",67,Away,15-5,,
2019,Kansas St.,Kansas St.,Sat Feb 2,44,83,Oklahoma St.,"W, 75-57",58,Away,16-5,6-2,
2019,Kansas St.,Kansas St.,Tue Feb 5,40,17,Kansas,"W, 74-67",71,Home,17-5,7-2,
2019,Kansas St.,Kansas St.,Sat Feb 9,36,35,Baylor,"W, 70-63",60,Away,18-5,8-2,
2019,Kansas St.,Kansas St.,Tue Feb 12,31,25,Texas,"W, 71-64",60,Away,19-5,9-2,
2019,Kansas St.,Kansas St.,Sat Feb 16,25,15,Iowa St.,"L, 78-64",61,Home,19-6,9-3,
2019,Kansas St.,Kansas St.,Mon Feb 18,32,95,West Virginia,"W, 65-51",60,Away,20-6,10-3,
2019,Kansas St.,Kansas St.,Sat Feb 23,30,83,Oklahoma St.,"W, 85-46",63,Home,21-6,11-3,
2019,Kansas St.,Kansas St.,Mon Feb 25,25,17,Kansas,"L, 64-49",61,Away,21-7,11-4,
2019,Kansas St.,Kansas St.,Sat Mar 2,27,35,Baylor,"W, 66-60",66,Home,22-7,12-4,
2019,Kansas St.,Kansas St.,Mon Mar 4,27,40,TCU,"W, 64-52",60,Away,23-7,13-4,
2019,Kansas St.,Kansas St.,Sat Mar 9,25,32,Oklahoma,"W, 68-53",61,Home,24-7,14-4,
2019,Kansas St.,Kansas St.,Thu Mar 14,23,40,TCU,"W, 70-61",67,Neutral,25-7,,Big 12
2019,Kansas St.,Kansas St.,Fri Mar 15,23,15,Iowa St.,"L, 63-59",66,Neutral,25-8,,Big 12
2019,Kansas St.,Kansas St.,Fri Mar 22,21,73,UC Irvine,"L, 70-64",66,Neutral,25-9,,NCAA
