Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Liberty,Liberty,Thu Nov 8,143,NR,Maine Fort Kent,"W, 89-40",66,Home,1-0,,
2019,Liberty,Liberty,Tue Nov 13,147,NR,Trevecca Nazarene,"W, 93-40",74,Home,2-0,,
2019,Liberty,Liberty,Fri Nov 16,146,143,Kent St.,"W, 77-70",67,Away,3-0,,
2019,Liberty,Liberty,Mon Nov 19,137,155,Vanderbilt,"L, 79-70",72,Away,3-1,,
2019,Liberty,Liberty,Fri Nov 23,135,349,Alcorn St.,"W, 76-54",59,Home,4-1,,
2019,Liberty,Liberty,Sun Nov 25,126,340,Savannah St.,"W, 82-56",79,Home,5-1,,
2019,Liberty,Liberty,Wed Nov 28,124,280,Navy,"W, 76-58",62,Away,6-1,,
2019,Liberty,Liberty,Sat Dec 1,117,124,Georgia St.,"W, 78-52",63,Home,7-1,,
2019,Liberty,Liberty,Mon Dec 3,90,100,Georgetown,"L, 88-78",77,Away,7-2,,
2019,Liberty,Liberty,Tue Dec 11,91,337,South Carolina St.,"W, 79-55",64,Home,8-2,,
2019,Liberty,Liberty,Sat Dec 15,89,NR,Kentucky Christian,"W, 96-55",66,Home,9-2,,
2019,Liberty,Liberty,Tue Dec 18,85,64,Alabama,"L, 84-75",72,Semi-Away,9-3,,
2019,Liberty,Liberty,Fri Dec 21,94,328,Alabama St.,"W, 73-55",62,Neutral,10-3,,
2019,Liberty,Liberty,Sat Dec 22,91,128,Austin Peay,"L, 75-66",59,Neutral,10-4,,
2019,Liberty,Liberty,Sat Dec 29,104,102,UCLA,"W, 73-58",69,Away,11-4,,
2019,Liberty,Liberty,Sat Jan 5,74,213,Florida Gulf Coast,"W, 81-63",61,Away,12-4,1-0,
2019,Liberty,Liberty,Wed Jan 9,64,325,Stetson,"W, 71-53",62,Away,13-4,2-0,
2019,Liberty,Liberty,Sat Jan 12,63,247,Jacksonville,"W, 69-53",61,Home,14-4,3-0,
2019,Liberty,Liberty,Wed Jan 16,58,339,Kennesaw St.,"W, 62-41",58,Away,15-4,4-0,
2019,Liberty,Liberty,Sat Jan 19,55,167,North Florida,"W, 70-64",69,Home,16-4,5-0,
2019,Liberty,Liberty,Mon Jan 21,58,284,North Alabama,"W, 72-47",66,Home,17-4,6-0,
2019,Liberty,Liberty,Sun Jan 27,53,247,Jacksonville,"W, 69-59",62,Away,18-4,7-0,
2019,Liberty,Liberty,Tue Jan 29,49,45,Lipscomb,"L, 79-59",65,Home,18-5,7-1,
2019,Liberty,Liberty,Sat Feb 2,58,183,NJIT,"W, 77-57",61,Home,19-5,8-1,
2019,Liberty,Liberty,Tue Feb 5,55,325,Stetson,"W, 57-54",67,Home,20-5,9-1,
2019,Liberty,Liberty,Sat Feb 9,60,213,Florida Gulf Coast,"W, 74-67",62,Home,21-5,10-1,
2019,Liberty,Liberty,Wed Feb 13,69,45,Lipscomb,"W, 74-66",69,Away,22-5,11-1,
2019,Liberty,Liberty,Sat Feb 16,60,284,North Alabama,"W, 80-70",67,Away,23-5,12-1,
2019,Liberty,Liberty,Sat Feb 23,63,167,North Florida,"L, 75-70",69,Away,23-6,12-2,
2019,Liberty,Liberty,Tue Feb 26,65,339,Kennesaw St.,"W, 76-59",63,Home,24-6,13-2,
2019,Liberty,Liberty,Fri Mar 1,67,183,NJIT,"W, 57-51",58,Away,25-6,14-2,
2019,Liberty,Liberty,Mon Mar 4,65,247,Jacksonville,"W, 72-58",62,Home,26-6,,ASUN
2019,Liberty,Liberty,Thu Mar 7,68,167,North Florida,"W, 71-63",62,Home,27-6,,ASUN
2019,Liberty,Liberty,Sun Mar 10,64,45,Lipscomb,"W, 74-68",64,Away,28-6,,ASUN
2019,Liberty,Liberty,Fri Mar 22,62,21,Mississippi St.,"W, 80-76",67,Neutral,29-6,,NCAA
2019,Liberty,Liberty,Sun Mar 24,57,13,Virginia Tech,"L, 67-58",63,Neutral,29-7,,NCAA
