Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Mississippi St.,Mississippi St.,Fri Nov 9,22,128,Austin Peay,"W, 95-67",75,Home,1-0,,
2019,Mississippi St.,Mississippi St.,Sun Nov 11,19,194,Hartford,"W, 77-59",67,Home,2-0,,
2019,Mississippi St.,Mississippi St.,Fri Nov 16,21,225,Long Beach St.,"W, 79-51",74,Home,3-0,,
2019,Mississippi St.,Mississippi St.,Mon Nov 19,21,57,Arizona St.,"L, 72-67",68,Neutral,3-1,,
2019,Mississippi St.,Mississippi St.,Wed Nov 21,25,31,Saint Mary's,"W, 61-57",59,Neutral,4-1,,
2019,Mississippi St.,Mississippi St.,Mon Nov 26,25,349,Alcorn St.,"W, 88-65",71,Home,5-1,,
2019,Mississippi St.,Mississippi St.,Fri Nov 30,28,62,Dayton,"W, 65-58",69,Away,6-1,,
2019,Mississippi St.,Mississippi St.,Tue Dec 4,23,331,McNeese St.,"W, 90-77",68,Home,7-1,,
2019,Mississippi St.,Mississippi St.,Sat Dec 8,26,36,Clemson,"W, 82-71",67,Neutral,8-1,,
2019,Mississippi St.,Mississippi St.,Sat Dec 15,22,29,Cincinnati,"W, 70-59",63,Home,9-1,,
2019,Mississippi St.,Mississippi St.,Wed Dec 19,19,18,Wofford,"W, 98-87",71,Home,10-1,,
2019,Mississippi St.,Mississippi St.,Sat Dec 22,19,117,Wright St.,"W, 67-63",60,Semi-Home,11-1,,
2019,Mississippi St.,Mississippi St.,Sat Dec 29,22,86,BYU,"W, 103-81",85,Home,12-1,,
2019,Mississippi St.,Mississippi St.,Tue Jan 8,19,70,South Carolina,"L, 87-82",83,Away,12-2,0-1,
2019,Mississippi St.,Mississippi St.,Sat Jan 12,24,50,Mississippi,"L, 81-77",71,Home,12-3,0-2,
2019,Mississippi St.,Mississippi St.,Tue Jan 15,27,26,Florida,"W, 71-68",62,Home,13-3,1-2,
2019,Mississippi St.,Mississippi St.,Sat Jan 19,25,155,Vanderbilt,"W, 71-55",66,Away,14-3,2-2,
2019,Mississippi St.,Mississippi St.,Tue Jan 22,21,8,Kentucky,"L, 76-55",70,Away,14-4,2-3,
2019,Mississippi St.,Mississippi St.,Sat Jan 26,28,11,Auburn,"W, 92-84",74,Home,15-4,3-3,
2019,Mississippi St.,Mississippi St.,Tue Jan 29,26,64,Alabama,"L, 83-79",76,Away,15-5,3-4,
2019,Mississippi St.,Mississippi St.,Sat Feb 2,29,50,Mississippi,"W, 81-75",71,Away,16-5,4-4,
2019,Mississippi St.,Mississippi St.,Wed Feb 6,25,19,LSU,"L, 92-88",79,Home,16-6,4-5,
2019,Mississippi St.,Mississippi St.,Sat Feb 9,25,8,Kentucky,"L, 71-67",63,Home,16-7,4-6,
2019,Mississippi St.,Mississippi St.,Tue Feb 12,26,64,Alabama,"W, 81-62",67,Home,17-7,5-6,
2019,Mississippi St.,Mississippi St.,Sat Feb 16,24,54,Arkansas,"W, 77-67",71,Away,18-7,6-6,
2019,Mississippi St.,Mississippi St.,Wed Feb 20,24,132,Georgia,"W, 68-67",62,Away,19-7,7-6,
2019,Mississippi St.,Mississippi St.,Sat Feb 23,23,70,South Carolina,"W, 76-61",67,Home,20-7,8-6,
2019,Mississippi St.,Mississippi St.,Tue Feb 26,23,68,Missouri,"W, 68-49",58,Home,21-7,9-6,
2019,Mississippi St.,Mississippi St.,Sat Mar 2,20,11,Auburn,"L, 80-75",71,Away,21-8,9-7,
2019,Mississippi St.,Mississippi St.,Tue Mar 5,21,10,Tennessee,"L, 71-54",69,Away,21-9,9-8,
2019,Mississippi St.,Mississippi St.,Sat Mar 9,22,91,Texas A&M,"W, 92-81",71,Home,22-9,10-8,
2019,Mississippi St.,Mississippi St.,Thu Mar 14,24,91,Texas A&M,"W, 80-54",65,Neutral,23-9,,Southeastern
2019,Mississippi St.,Mississippi St.,Fri Mar 15,20,10,Tennessee,"L, 83-76",67,Neutral,23-10,,Southeastern
2019,Mississippi St.,Mississippi St.,Fri Mar 22,20,58,Liberty,"L, 80-76",67,Neutral,23-11,,NCAA
