Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Montana,Montana,Fri Nov 9,74,124,Georgia St.,"W, 81-74",74,Home,1-0,,
2019,Montana,Montana,Mon Nov 12,71,NR,Montana Tech,"W, 79-55",71,Home,2-0,,
2019,Montana,Montana,Fri Nov 16,72,346,Incarnate Word,"W, 93-66",66,Neutral,3-0,,
2019,Montana,Montana,Sat Nov 17,68,148,Miami OH,"W, 73-71",66,Neutral,4-0,,
2019,Montana,Montana,Sun Nov 18,71,103,Georgia Southern,"L, 80-77",75,Neutral,4-1,,
2019,Montana,Montana,Wed Nov 28,72,55,Creighton,"L, 98-72",67,Away,4-2,,
2019,Montana,Montana,Mon Dec 3,99,NR,College of Idaho,"W, 80-52",68,Home,5-2,,
2019,Montana,Montana,Sat Dec 8,103,73,UC Irvine,"L, 60-51",61,Away,5-3,,
2019,Montana,Montana,Mon Dec 17,114,202,North Dakota St.,"W, 60-53",58,Home,6-3,,
2019,Montana,Montana,Wed Dec 19,116,94,Arizona,"L, 61-42",68,Away,6-4,,
2019,Montana,Montana,Sat Dec 22,121,92,South Dakota St.,"W, 85-74",69,Away,7-4,,
2019,Montana,Montana,Sat Dec 29,105,304,Northern Arizona,"W, 86-73",72,Away,8-4,1-0,
2019,Montana,Montana,Mon Dec 31,104,273,Southern Utah,"W, 89-76",78,Away,9-4,2-0,
2019,Montana,Montana,Thu Jan 3,102,274,Sacramento St.,"W, 87-56",74,Home,10-4,3-0,
2019,Montana,Montana,Sat Jan 5,93,286,Portland St.,"L, 77-74",71,Home,10-5,3-1,
2019,Montana,Montana,Thu Jan 10,114,237,Eastern Washington,"L, 78-71",68,Away,10-6,3-2,
2019,Montana,Montana,Sat Jan 12,121,193,Northern Colorado,"W, 88-64",72,Away,11-6,4-2,
2019,Montana,Montana,Sat Jan 19,114,348,Idaho,"W, 69-51",60,Away,12-6,5-2,
2019,Montana,Montana,Thu Jan 24,106,329,Idaho St.,"W, 80-69",70,Home,13-6,6-2,
2019,Montana,Montana,Sat Jan 26,118,224,Weber St.,"W, 75-68",72,Home,14-6,7-2,
2019,Montana,Montana,Sat Feb 2,122,250,Montana St.,"W, 83-78",71,Away,15-6,8-2,
2019,Montana,Montana,Thu Feb 7,121,348,Idaho,"W, 100-59",68,Home,16-6,9-2,
2019,Montana,Montana,Sat Feb 9,112,237,Eastern Washington,"W, 75-74",68,Home,17-6,10-2,
2019,Montana,Montana,Thu Feb 14,126,224,Weber St.,"W, 83-80",75,Away,18-6,11-2,
2019,Montana,Montana,Sat Feb 16,125,329,Idaho St.,"W, 80-68",72,Away,19-6,12-2,
2019,Montana,Montana,Sat Feb 23,124,250,Montana St.,"W, 89-83",66,Home,20-6,13-2,
2019,Montana,Montana,Mon Feb 25,130,193,Northern Colorado,"L, 74-72",64,Home,20-7,13-3,
2019,Montana,Montana,Sat Mar 2,135,273,Southern Utah,"W, 70-54",67,Home,21-7,14-3,
2019,Montana,Montana,Mon Mar 4,136,304,Northern Arizona,"W, 66-64",63,Home,22-7,15-3,
2019,Montana,Montana,Thu Mar 7,140,286,Portland St.,"L, 81-69",68,Away,22-8,15-4,
2019,Montana,Montana,Sat Mar 9,145,274,Sacramento St.,"W, 86-68",70,Away,23-8,16-4,
2019,Montana,Montana,Thu Mar 14,141,274,Sacramento St.,"W, 79-73",69,Neutral,24-8,,Big Sky
2019,Montana,Montana,Fri Mar 15,143,224,Weber St.,"W, 78-49",65,Neutral,25-8,,Big Sky
2019,Montana,Montana,Sat Mar 16,138,237,Eastern Washington,"W, 68-62",68,Neutral,26-8,,Big Sky
2019,Montana,Montana,Thu Mar 21,137,6,Michigan,"L, 74-55",68,Neutral,26-9,,NCAA
