Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Northeastern,Northeastern,Tue Nov 6,78,231,Boston University,"L, 77-74",68,Home,0-1,,
2019,Northeastern,Northeastern,Fri Nov 9,91,114,Harvard,"W, 81-71",68,Away,1-1,,
2019,Northeastern,Northeastern,Thu Nov 15,75,64,Alabama,"W, 68-52",60,Neutral,2-1,,
2019,Northeastern,Northeastern,Fri Nov 16,66,13,Virginia Tech,"L, 88-60",62,Neutral,2-2,,
2019,Northeastern,Northeastern,Sun Nov 18,76,85,Davidson,"L, 71-59",67,Neutral,2-3,,
2019,Northeastern,Northeastern,Sat Nov 24,99,85,Davidson,"L, 78-69",70,Away,2-4,,
2019,Northeastern,Northeastern,Wed Nov 28,101,145,Bucknell,"W, 96-78",70,Away,3-4,,
2019,Northeastern,Northeastern,Sat Dec 1,83,159,Eastern Michigan,"W, 81-67",59,Home,4-4,,
2019,Northeastern,Northeastern,Tue Dec 4,78,39,Syracuse,"L, 72-49",60,Away,4-5,,
2019,Northeastern,Northeastern,Sat Dec 8,90,187,Oakland,"W, 92-83",73,Home,5-5,,
2019,Northeastern,Northeastern,Sun Dec 16,97,76,Vermont,"L, 75-70",75,Away,5-6,,
2019,Northeastern,Northeastern,Fri Dec 21,105,121,St. Bonaventure,"W, 64-59",63,Home,6-6,,
2019,Northeastern,Northeastern,Fri Dec 28,103,251,Drexel,"W, 93-83",72,Home,7-6,1-0,
2019,Northeastern,Northeastern,Sun Dec 30,106,265,Delaware,"L, 82-80",76,Home,7-7,1-1,
2019,Northeastern,Northeastern,Sat Jan 5,116,93,Hofstra,"L, 75-72",64,Away,7-8,1-2,
2019,Northeastern,Northeastern,Thu Jan 10,116,309,Elon,"W, 81-70",80,Away,8-8,2-2,
2019,Northeastern,Northeastern,Sat Jan 12,116,219,William & Mary,"W, 90-70",69,Away,9-8,3-2,
2019,Northeastern,Northeastern,Thu Jan 17,101,123,Charleston,"W, 69-60",69,Home,10-8,4-2,
2019,Northeastern,Northeastern,Sat Jan 19,98,272,UNC Wilmington,"W, 88-71",68,Home,11-8,5-2,
2019,Northeastern,Northeastern,Thu Jan 24,95,291,Towson,"L, 75-72",66,Away,11-9,5-3,
2019,Northeastern,Northeastern,Sat Jan 26,106,285,James Madison,"W, 78-68",67,Away,12-9,6-3,
2019,Northeastern,Northeastern,Sat Feb 2,99,93,Hofstra,"W, 75-61",70,Home,13-9,7-3,
2019,Northeastern,Northeastern,Thu Feb 7,89,219,William & Mary,"W, 72-60",69,Home,14-9,8-3,
2019,Northeastern,Northeastern,Sat Feb 9,93,309,Elon,"W, 72-60",76,Home,15-9,9-3,
2019,Northeastern,Northeastern,Thu Feb 14,96,272,UNC Wilmington,"W, 81-77",69,Away,16-9,10-3,
2019,Northeastern,Northeastern,Sat Feb 16,97,123,Charleston,"L, 88-79",70,Away,16-10,10-4,
2019,Northeastern,Northeastern,Thu Feb 21,105,285,James Madison,"W, 76-60",64,Home,17-10,11-4,
2019,Northeastern,Northeastern,Sat Feb 23,105,291,Towson,"W, 73-58",63,Home,18-10,12-4,
2019,Northeastern,Northeastern,Thu Feb 28,103,265,Delaware,"W, 75-64",62,Away,19-10,13-4,
2019,Northeastern,Northeastern,Sat Mar 2,100,251,Drexel,"W, 90-66",66,Away,20-10,14-4,
2019,Northeastern,Northeastern,Sun Mar 10,88,272,UNC Wilmington,"W, 80-59",66,Neutral,21-10,,Colonial Athletic Association
2019,Northeastern,Northeastern,Mon Mar 11,85,123,Charleston,"W, 70-67",62,Semi-Away,22-10,,Colonial Athletic Association
2019,Northeastern,Northeastern,Tue Mar 12,82,93,Hofstra,"W, 82-74",67,Neutral,23-10,,Colonial Athletic Association
2019,Northeastern,Northeastern,Thu Mar 21,78,17,Kansas,"L, 87-53",68,Neutral,23-11,,NCAA
