Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Old Dominion,Old Dominion,Tue Nov 6,85,280,Navy,"W, 67-44",65,Home,1-0,,
2019,Old Dominion,Old Dominion,Fri Nov 9,79,189,Saint Joseph's,"L, 79-64",68,Away,1-1,,
2019,Old Dominion,Old Dominion,Fri Nov 16,94,81,Oregon St.,"L, 61-56",63,Neutral,1-2,,
2019,Old Dominion,Old Dominion,Sat Nov 17,97,339,Kennesaw St.,"W, 65-47",69,Neutral,2-2,,
2019,Old Dominion,Old Dominion,Mon Nov 19,96,177,Northern Iowa,"L, 54-53",61,Neutral,2-3,,
2019,Old Dominion,Old Dominion,Fri Nov 23,103,177,Northern Iowa,"W, 72-65",65,Home,3-3,,
2019,Old Dominion,Old Dominion,Wed Nov 28,108,42,VCU,"W, 62-52",65,Home,4-3,,
2019,Old Dominion,Old Dominion,Sat Dec 1,106,285,James Madison,"W, 67-42",63,Home,5-3,,
2019,Old Dominion,Old Dominion,Wed Dec 5,95,219,William & Mary,"W, 71-53",66,Home,6-3,,
2019,Old Dominion,Old Dominion,Sun Dec 9,86,301,Fairfield,"W, 79-69",67,Home,7-3,,
2019,Old Dominion,Old Dominion,Sat Dec 15,88,39,Syracuse,"W, 68-62",67,Away,8-3,,
2019,Old Dominion,Old Dominion,Wed Dec 19,75,203,Richmond,"W, 63-54",61,Away,9-3,,
2019,Old Dominion,Old Dominion,Sat Dec 22,75,333,Morgan St.,"W, 76-53",71,Home,10-3,,
2019,Old Dominion,Old Dominion,Thu Jan 3,72,157,Marshall,"L, 70-67",59,Home,10-4,0-1,
2019,Old Dominion,Old Dominion,Sat Jan 5,78,116,Western Kentucky,"W, 69-66",68,Home,11-4,1-1,
2019,Old Dominion,Old Dominion,Thu Jan 10,81,162,Florida Atlantic,"L, 80-73",64,Away,11-5,1-2,
2019,Old Dominion,Old Dominion,Sat Jan 12,93,204,FIU,"W, 75-74",76,Away,12-5,2-2,
2019,Old Dominion,Old Dominion,Thu Jan 17,96,141,Louisiana Tech,"W, 64-63",68,Home,13-5,3-2,
2019,Old Dominion,Old Dominion,Sat Jan 19,104,120,Southern Miss,"W, 76-62",63,Home,14-5,4-2,
2019,Old Dominion,Old Dominion,Mon Jan 21,96,297,Charlotte,"W, 76-70",67,Away,15-5,5-2,
2019,Old Dominion,Old Dominion,Thu Jan 24,100,299,UTEP,"W, 50-48",67,Away,16-5,6-2,
2019,Old Dominion,Old Dominion,Sat Jan 26,104,149,UTSA,"L, 74-73",74,Away,16-6,6-3,
2019,Old Dominion,Old Dominion,Thu Jan 31,107,158,North Texas,"W, 72-61",67,Home,17-6,7-3,
2019,Old Dominion,Old Dominion,Sat Feb 2,108,248,Rice,"W, 80-76",68,Home,18-6,8-3,
2019,Old Dominion,Old Dominion,Thu Feb 7,112,147,UAB,"W, 70-59",59,Away,19-6,9-3,
2019,Old Dominion,Old Dominion,Sat Feb 9,102,246,Middle Tennessee,"W, 55-50",59,Away,20-6,10-3,
2019,Old Dominion,Old Dominion,Sat Feb 16,104,297,Charlotte,"W, 73-60",67,Home,21-6,11-3,
2019,Old Dominion,Old Dominion,Sat Feb 23,99,116,Western Kentucky,"W, 67-63",63,Home,22-6,12-3,
2019,Old Dominion,Old Dominion,Thu Feb 28,101,149,UTSA,"W, 65-64",70,Away,23-6,13-3,
2019,Old Dominion,Old Dominion,Wed Mar 6,101,120,Southern Miss,"L, 59-52",61,Home,23-7,13-4,
2019,Old Dominion,Old Dominion,Sat Mar 9,107,147,UAB,"L, 64-50",65,Away,23-8,13-5,
2019,Old Dominion,Old Dominion,Thu Mar 14,114,141,Louisiana Tech,"W, 57-56",63,Neutral,24-8,,Conference USA
2019,Old Dominion,Old Dominion,Fri Mar 15,113,147,UAB,"W, 61-59",57,Neutral,25-8,,Conference USA
2019,Old Dominion,Old Dominion,Sat Mar 16,114,116,Western Kentucky,"W, 62-56",65,Neutral,26-8,,Conference USA
2019,Old Dominion,Old Dominion,Thu Mar 21,113,9,Purdue,"L, 61-48",65,Neutral,26-9,,NCAA
