Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Purdue,Purdue,Tue Nov 6,18,301,Fairfield,"W, 90-57",68,Home,1-0,,
2019,Purdue,Purdue,Sat Nov 10,14,133,Ball St.,"W, 84-75",72,Home,2-0,,
2019,Purdue,Purdue,Thu Nov 15,17,206,Appalachian St.,"W, 92-70",72,Neutral,3-0,,
2019,Purdue,Purdue,Fri Nov 16,15,85,Davidson,"W, 79-58",65,Neutral,4-0,,
2019,Purdue,Purdue,Sun Nov 18,12,13,Virginia Tech,"L, 89-83",69,Neutral,4-1,,
2019,Purdue,Purdue,Fri Nov 23,14,269,Robert Morris,"W, 84-46",68,Home,5-1,,
2019,Purdue,Purdue,Wed Nov 28,12,14,Florida St.,"L, 73-72",73,Away,5-2,,
2019,Purdue,Purdue,Sat Dec 1,13,6,Michigan,"L, 76-57",62,Away,5-3,0-1,
2019,Purdue,Purdue,Thu Dec 6,14,24,Maryland,"W, 62-60",65,Home,6-3,1-1,
2019,Purdue,Purdue,Sun Dec 9,14,25,Texas,"L, 72-68",65,Away,6-4,,
2019,Purdue,Purdue,Sat Dec 15,14,97,Notre Dame,"L, 88-80",71,Neutral,6-5,,
2019,Purdue,Purdue,Thu Dec 20,19,184,Ohio,"W, 95-67",71,Home,7-5,,
2019,Purdue,Purdue,Sat Dec 29,19,49,Belmont,"W, 73-62",68,Home,8-5,,
2019,Purdue,Purdue,Thu Jan 3,19,37,Iowa,"W, 86-70",66,Home,9-5,2-1,
2019,Purdue,Purdue,Tue Jan 8,17,3,Michigan St.,"L, 77-59",64,Away,9-6,2-2,
2019,Purdue,Purdue,Fri Jan 11,17,16,Wisconsin,"W, 84-80",73,Away,10-6,3-2,
2019,Purdue,Purdue,Tue Jan 15,16,78,Rutgers,"W, 89-54",67,Home,11-6,4-2,
2019,Purdue,Purdue,Sat Jan 19,14,52,Indiana,"W, 70-55",64,Home,12-6,5-2,
2019,Purdue,Purdue,Wed Jan 23,10,44,Ohio St.,"W, 79-67",67,Away,13-6,6-2,
2019,Purdue,Purdue,Sun Jan 27,8,3,Michigan St.,"W, 73-63",65,Home,14-6,7-2,
2019,Purdue,Purdue,Thu Jan 31,9,43,Penn St.,"W, 99-90",72,Away,15-6,8-2,
2019,Purdue,Purdue,Sun Feb 3,10,46,Minnesota,"W, 73-63",65,Home,16-6,9-2,
2019,Purdue,Purdue,Sat Feb 9,10,47,Nebraska,"W, 81-62",60,Home,17-6,10-2,
2019,Purdue,Purdue,Tue Feb 12,8,24,Maryland,"L, 70-56",65,Away,17-7,10-3,
2019,Purdue,Purdue,Sat Feb 16,9,43,Penn St.,"W, 76-64",72,Home,18-7,11-3,
2019,Purdue,Purdue,Tue Feb 19,10,52,Indiana,"W, 48-46",63,Away,19-7,12-3,
2019,Purdue,Purdue,Sat Feb 23,10,47,Nebraska,"W, 75-72",64,Away,20-7,13-3,
2019,Purdue,Purdue,Wed Feb 27,10,84,Illinois,"W, 73-56",62,Home,21-7,14-3,
2019,Purdue,Purdue,Sat Mar 2,10,44,Ohio St.,"W, 86-51",63,Home,22-7,15-3,
2019,Purdue,Purdue,Tue Mar 5,10,46,Minnesota,"L, 73-69",71,Away,22-8,15-4,
2019,Purdue,Purdue,Sat Mar 9,10,74,Northwestern,"W, 70-57",63,Away,23-8,16-4,
2019,Purdue,Purdue,Fri Mar 15,10,46,Minnesota,"L, 75-73",66,Neutral,23-9,,Big Ten
2019,Purdue,Purdue,Thu Mar 21,10,113,Old Dominion,"W, 61-48",65,Neutral,24-9,,NCAA
2019,Purdue,Purdue,Sat Mar 23,10,30,Villanova,"W, 87-61",63,Neutral,25-9,,NCAA
2019,Purdue,Purdue,Thu Mar 28,9,10,Tennessee,"W, 99-94",76,Neutral,26-9,,NCAA
2019,Purdue,Purdue,Sat Mar 30,9,1,Virginia,"L, 80-75",62,Neutral,26-10,,NCAA
