Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Saint Louis,Saint Louis,Tue Nov 6,69,308,Southeast Missouri St.,"W, 75-65",73,Home,1-0,,
2019,Saint Louis,Saint Louis,Sat Nov 10,73,249,Troy,"W, 62-58",66,Home,2-0,,
2019,Saint Louis,Saint Louis,Tue Nov 13,75,284,North Alabama,"W, 69-58",70,Home,3-0,,
2019,Saint Louis,Saint Louis,Sat Nov 17,81,60,Seton Hall,"W, 66-64",70,Away,4-0,,
2019,Saint Louis,Saint Louis,Wed Nov 21,72,101,Pittsburgh,"L, 75-73",70,Neutral,4-1,,
2019,Saint Louis,Saint Louis,Sat Nov 24,79,302,Central Arkansas,"W, 73-61",72,Home,5-1,,
2019,Saint Louis,Saint Louis,Sat Dec 1,86,72,Butler,"W, 64-52",69,Home,6-1,,
2019,Saint Louis,Saint Louis,Wed Dec 5,74,146,Southern Illinois,"L, 61-56",72,Away,6-2,,
2019,Saint Louis,Saint Louis,Sun Dec 9,72,81,Oregon St.,"W, 65-61",67,Home,7-2,,
2019,Saint Louis,Saint Louis,Sun Dec 16,77,12,Houston,"L, 68-64",66,Away,7-3,,
2019,Saint Louis,Saint Louis,Wed Dec 19,74,303,North Carolina Central,"W, 74-65",71,Home,8-3,,
2019,Saint Louis,Saint Louis,Sat Dec 22,79,14,Florida St.,"L, 81-59",73,Neutral,8-4,,
2019,Saint Louis,Saint Louis,Sun Dec 30,98,206,Appalachian St.,"W, 83-55",67,Home,9-4,,
2019,Saint Louis,Saint Louis,Sun Jan 6,83,142,Rhode Island,"W, 60-53",67,Home,10-4,1-0,
2019,Saint Louis,Saint Louis,Wed Jan 9,81,236,Massachusetts,"W, 65-62",64,Home,11-4,2-0,
2019,Saint Louis,Saint Louis,Sat Jan 12,91,228,La Salle,"W, 71-64",70,Away,12-4,3-0,
2019,Saint Louis,Saint Louis,Tue Jan 15,88,260,Fordham,"W, 63-60",61,Away,13-4,4-0,
2019,Saint Louis,Saint Louis,Fri Jan 18,87,189,Saint Joseph's,"W, 68-57",69,Home,14-4,5-0,
2019,Saint Louis,Saint Louis,Wed Jan 23,90,173,Duquesne,"L, 77-73",78,Away,14-5,5-1,
2019,Saint Louis,Saint Louis,Sat Jan 26,101,85,Davidson,"L, 54-53",57,Home,14-6,5-2,
2019,Saint Louis,Saint Louis,Wed Jan 30,109,203,Richmond,"L, 84-81",71,Home,14-7,5-3,
2019,Saint Louis,Saint Louis,Sat Feb 2,119,142,Rhode Island,"L, 65-54",61,Away,14-8,5-4,
2019,Saint Louis,Saint Louis,Tue Feb 5,132,62,Dayton,"W, 73-60",62,Home,15-8,6-4,
2019,Saint Louis,Saint Louis,Fri Feb 8,124,189,Saint Joseph's,"L, 91-61",63,Away,15-9,6-5,
2019,Saint Louis,Saint Louis,Wed Feb 13,145,293,George Washington,"W, 73-58",66,Away,16-9,7-5,
2019,Saint Louis,Saint Louis,Sat Feb 16,140,228,La Salle,"W, 62-49",68,Home,17-9,8-5,
2019,Saint Louis,Saint Louis,Sat Feb 23,135,62,Dayton,"L, 70-62",65,Away,17-10,8-6,
2019,Saint Louis,Saint Louis,Tue Feb 26,136,42,VCU,"L, 71-65",66,Away,17-11,8-7,
2019,Saint Louis,Saint Louis,Sat Mar 2,136,156,George Mason,"W, 81-71",72,Home,18-11,9-7,
2019,Saint Louis,Saint Louis,Wed Mar 6,132,173,Duquesne,"W, 85-75",75,Home,19-11,10-7,
2019,Saint Louis,Saint Louis,Sat Mar 9,128,121,St. Bonaventure,"L, 66-57",64,Away,19-12,10-8,
2019,Saint Louis,Saint Louis,Thu Mar 14,133,203,Richmond,"W, 71-68",59,Neutral,20-12,,Atlantic 10
2019,Saint Louis,Saint Louis,Fri Mar 15,136,62,Dayton,"W, 64-55",62,Neutral,21-12,,Atlantic 10
2019,Saint Louis,Saint Louis,Sat Mar 16,123,85,Davidson,"W, 67-44",57,Neutral,22-12,,Atlantic 10
2019,Saint Louis,Saint Louis,Sun Mar 17,105,121,St. Bonaventure,"W, 55-53",58,Neutral,23-12,,Atlantic 10
2019,Saint Louis,Saint Louis,Fri Mar 22,103,13,Virginia Tech,"L, 66-52",67,Neutral,23-13,,NCAA
