Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Syracuse,Syracuse,Tue Nov 6,8,237,Eastern Washington,"W, 66-34",68,Home,1-0,,
2019,Syracuse,Syracuse,Sat Nov 10,7,245,Morehead St.,"W, 84-70",77,Home,2-0,,
2019,Syracuse,Syracuse,Thu Nov 15,7,98,Connecticut,"L, 83-76",76,Neutral,2-1,,
2019,Syracuse,Syracuse,Fri Nov 16,10,28,Oregon,"L, 80-65",70,Neutral,2-2,,
2019,Syracuse,Syracuse,Wed Nov 21,18,126,Colgate,"W, 77-56",66,Home,3-2,,
2019,Syracuse,Syracuse,Wed Nov 28,20,44,Ohio St.,"W, 72-62",62,Away,4-2,,
2019,Syracuse,Syracuse,Sat Dec 1,17,221,Cornell,"W, 63-55",57,Home,5-2,,
2019,Syracuse,Syracuse,Tue Dec 4,19,89,Northeastern,"W, 72-49",60,Home,6-2,,
2019,Syracuse,Syracuse,Sat Dec 8,15,100,Georgetown,"W, 72-71",71,Home,7-2,,
2019,Syracuse,Syracuse,Sat Dec 15,18,113,Old Dominion,"L, 68-62",67,Home,7-3,,
2019,Syracuse,Syracuse,Tue Dec 18,27,22,Buffalo,"L, 71-59",69,Home,7-4,,
2019,Syracuse,Syracuse,Sat Dec 22,36,254,Arkansas St.,"W, 82-52",63,Home,8-4,,
2019,Syracuse,Syracuse,Sat Dec 29,34,121,St. Bonaventure,"W, 81-48",68,Home,9-4,,
2019,Syracuse,Syracuse,Sat Jan 5,33,97,Notre Dame,"W, 72-62",66,Away,10-4,1-0,
2019,Syracuse,Syracuse,Wed Jan 9,32,36,Clemson,"W, 61-53",67,Home,11-4,2-0,
2019,Syracuse,Syracuse,Sat Jan 12,31,115,Georgia Tech,"L, 73-59",70,Home,11-5,2-1,
2019,Syracuse,Syracuse,Mon Jan 14,40,4,Duke,"W, 95-91",91,Away,12-5,3-1,
2019,Syracuse,Syracuse,Sat Jan 19,37,101,Pittsburgh,"W, 74-63",70,Home,13-5,4-1,
2019,Syracuse,Syracuse,Thu Jan 24,38,75,Miami FL,"W, 73-53",59,Home,14-5,5-1,
2019,Syracuse,Syracuse,Sat Jan 26,34,13,Virginia Tech,"L, 78-56",65,Away,14-6,5-2,
2019,Syracuse,Syracuse,Wed Jan 30,42,127,Boston College,"W, 77-71",62,Away,15-6,6-2,
2019,Syracuse,Syracuse,Sat Feb 2,39,101,Pittsburgh,"W, 65-56",60,Away,16-6,7-2,
2019,Syracuse,Syracuse,Tue Feb 5,35,14,Florida St.,"L, 80-62",72,Home,16-7,7-3,
2019,Syracuse,Syracuse,Sat Feb 9,43,127,Boston College,"W, 67-56",66,Home,17-7,8-3,
2019,Syracuse,Syracuse,Wed Feb 13,41,41,N.C. State,"L, 73-58",72,Away,17-8,8-4,
2019,Syracuse,Syracuse,Wed Feb 20,44,23,Louisville,"W, 69-49",67,Home,18-8,9-4,
2019,Syracuse,Syracuse,Sat Feb 23,38,4,Duke,"L, 75-65",66,Home,18-9,9-5,
2019,Syracuse,Syracuse,Tue Feb 26,38,7,North Carolina,"L, 93-85",72,Away,18-10,9-6,
2019,Syracuse,Syracuse,Sat Mar 2,37,174,Wake Forest,"W, 79-54",68,Away,19-10,10-6,
2019,Syracuse,Syracuse,Mon Mar 4,32,1,Virginia,"L, 79-53",59,Home,19-11,10-7,
2019,Syracuse,Syracuse,Sat Mar 9,36,36,Clemson,"L, 67-55",68,Away,19-12,10-8,
2019,Syracuse,Syracuse,Wed Mar 13,39,101,Pittsburgh,"W, 73-59",62,Neutral,20-12,,Atlantic Coast
2019,Syracuse,Syracuse,Thu Mar 14,34,4,Duke,"L, 84-72",71,Neutral,20-13,,Atlantic Coast
2019,Syracuse,Syracuse,Thu Mar 21,35,35,Baylor,"L, 78-69",60,Neutral,20-14,,NCAA
