Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Texas Tech,Texas Tech,Tue Nov 6,25,346,Incarnate Word,"W, 87-37",68,Home,1-0,,
2019,Texas Tech,Texas Tech,Fri Nov 9,21,350,Mississippi Valley St.,"W, 84-52",63,Home,2-0,,
2019,Texas Tech,Texas Tech,Tue Nov 13,22,232,Southeastern Louisiana,"W, 59-40",67,Home,3-0,,
2019,Texas Tech,Texas Tech,Mon Nov 19,25,82,USC,"W, 78-63",71,Neutral,4-0,,
2019,Texas Tech,Texas Tech,Tue Nov 20,20,47,Nebraska,"W, 70-52",66,Neutral,5-0,,
2019,Texas Tech,Texas Tech,Sat Nov 24,14,193,Northern Colorado,"W, 93-62",69,Home,6-0,,
2019,Texas Tech,Texas Tech,Sat Dec 1,10,56,Memphis,"W, 78-67",75,Neutral,7-0,,
2019,Texas Tech,Texas Tech,Wed Dec 5,10,313,Arkansas Pine Bluff,"W, 65-47",67,Home,8-0,,
2019,Texas Tech,Texas Tech,Wed Dec 12,12,341,Northwestern St.,"W, 79-44",70,Home,9-0,,
2019,Texas Tech,Texas Tech,Sat Dec 15,12,152,Abilene Christian,"W, 82-48",65,Home,10-0,,
2019,Texas Tech,Texas Tech,Thu Dec 20,9,4,Duke,"L, 69-58",82,Neutral,10-1,,
2019,Texas Tech,Texas Tech,Fri Dec 28,10,182,UT Rio Grande Valley,"W, 71-46",66,Home,11-1,,
2019,Texas Tech,Texas Tech,Wed Jan 2,10,95,West Virginia,"W, 62-59",70,Away,12-1,1-0,
2019,Texas Tech,Texas Tech,Sat Jan 5,10,20,Kansas St.,"W, 63-57",68,Home,13-1,2-0,
2019,Texas Tech,Texas Tech,Tue Jan 8,9,32,Oklahoma,"W, 66-59",67,Home,14-1,3-0,
2019,Texas Tech,Texas Tech,Sat Jan 12,9,25,Texas,"W, 68-62",64,Away,15-1,4-0,
2019,Texas Tech,Texas Tech,Wed Jan 16,7,15,Iowa St.,"L, 68-64",70,Home,15-2,4-1,
2019,Texas Tech,Texas Tech,Sat Jan 19,8,35,Baylor,"L, 73-62",65,Away,15-3,4-2,
2019,Texas Tech,Texas Tech,Tue Jan 22,10,20,Kansas St.,"L, 58-45",61,Away,15-4,4-3,
2019,Texas Tech,Texas Tech,Sat Jan 26,15,54,Arkansas,"W, 67-64",68,Home,16-4,,
2019,Texas Tech,Texas Tech,Mon Jan 28,15,40,TCU,"W, 84-65",63,Home,17-4,5-3,
2019,Texas Tech,Texas Tech,Sat Feb 2,14,17,Kansas,"L, 79-63",73,Away,17-5,5-4,
2019,Texas Tech,Texas Tech,Mon Feb 4,16,95,West Virginia,"W, 81-50",75,Home,18-5,6-4,
2019,Texas Tech,Texas Tech,Sat Feb 9,15,32,Oklahoma,"W, 66-54",66,Away,19-5,7-4,
2019,Texas Tech,Texas Tech,Wed Feb 13,13,83,Oklahoma St.,"W, 78-50",61,Away,20-5,8-4,
2019,Texas Tech,Texas Tech,Sat Feb 16,10,35,Baylor,"W, 86-61",66,Home,21-5,9-4,
2019,Texas Tech,Texas Tech,Sat Feb 23,9,17,Kansas,"W, 91-62",61,Home,22-5,10-4,
2019,Texas Tech,Texas Tech,Wed Feb 27,8,83,Oklahoma St.,"W, 84-80",76,Home,23-5,11-4,
2019,Texas Tech,Texas Tech,Sat Mar 2,9,40,TCU,"W, 81-66",65,Away,24-5,12-4,
2019,Texas Tech,Texas Tech,Mon Mar 4,10,25,Texas,"W, 70-51",61,Home,25-5,13-4,
2019,Texas Tech,Texas Tech,Sat Mar 9,8,15,Iowa St.,"W, 80-73",71,Away,26-5,14-4,
2019,Texas Tech,Texas Tech,Thu Mar 14,8,95,West Virginia,"L, 79-74",74,Neutral,26-6,,Big 12
2019,Texas Tech,Texas Tech,Fri Mar 22,9,96,Northern Kentucky,"W, 72-57",70,Neutral,27-6,,NCAA
2019,Texas Tech,Texas Tech,Sun Mar 24,9,22,Buffalo,"W, 78-58",66,Neutral,28-6,,NCAA
2019,Texas Tech,Texas Tech,Thu Mar 28,8,6,Michigan,"W, 63-44",62,Neutral,29-6,,NCAA
2019,Texas Tech,Texas Tech,Sat Mar 30,5,2,Gonzaga,"W, 75-69",71,Neutral,30-6,,NCAA
2019,Texas Tech,Texas Tech,Sat Apr 6,5,3,Michigan St.,"W, 61-51",60,Neutral,31-6,,NCAA
2019,Texas Tech,Texas Tech,Mon Apr 8,5,1,Virginia,"L, 85-77",70,Neutral,31-7,,NCAA
