Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,UCF,UCF,Tue Nov 6,70,212,Rider,"W, 84-70",80,Home,1-0,,
2019,UCF,UCF,Sun Nov 11,61,162,Florida Atlantic,"L, 80-79",70,Home,1-1,,
2019,UCF,UCF,Thu Nov 15,73,210,Cal St. Fullerton,"W, 68-52",67,Neutral,2-1,,
2019,UCF,UCF,Fri Nov 16,69,189,Saint Joseph's,"W, 77-57",62,Neutral,3-1,,
2019,UCF,UCF,Sun Nov 18,53,116,Western Kentucky,"W, 78-62",68,Neutral,4-1,,
2019,UCF,UCF,Sat Nov 24,44,96,Northern Kentucky,"W, 66-53",66,Home,5-1,,
2019,UCF,UCF,Thu Nov 29,43,64,Alabama,"W, 70-64",67,Home,6-1,,
2019,UCF,UCF,Sun Dec 2,42,68,Missouri,"L, 64-62",60,Away,6-2,,
2019,UCF,UCF,Sat Dec 8,46,268,Grambling St.,"W, 70-45",66,Home,7-2,,
2019,UCF,UCF,Tue Dec 11,44,103,Georgia Southern,"W, 95-88",76,Home,8-2,,
2019,UCF,UCF,Sun Dec 16,43,325,Stetson,"W, 90-65",73,Home,9-2,,
2019,UCF,UCF,Fri Dec 21,44,205,Illinois St.,"W, 77-56",64,Home,10-2,,
2019,UCF,UCF,Wed Jan 2,38,69,Temple,"W, 78-73",67,Home,11-2,1-0,
2019,UCF,UCF,Sat Jan 5,36,98,Connecticut,"W, 65-53",65,Away,12-2,2-0,
2019,UCF,UCF,Sun Jan 13,36,264,East Carolina,"W, 76-65",73,Home,13-2,3-0,
2019,UCF,UCF,Wed Jan 16,39,66,Wichita St.,"L, 75-67",64,Away,13-3,3-1,
2019,UCF,UCF,Sat Jan 19,47,119,Tulsa,"W, 64-62",68,Home,14-3,4-1,
2019,UCF,UCF,Wed Jan 23,50,283,Tulane,"W, 75-50",71,Away,15-3,5-1,
2019,UCF,UCF,Sun Jan 27,44,56,Memphis,"L, 77-57",68,Away,15-4,5-2,
2019,UCF,UCF,Thu Jan 31,51,98,Connecticut,"W, 73-67",66,Home,16-4,6-2,
2019,UCF,UCF,Thu Feb 7,51,12,Houston,"L, 77-68",70,Home,16-5,6-3,
2019,UCF,UCF,Sun Feb 10,54,107,SMU,"W, 71-65",64,Away,17-5,7-3,
2019,UCF,UCF,Wed Feb 13,50,99,South Florida,"W, 78-65",64,Home,18-5,8-3,
2019,UCF,UCF,Sat Feb 16,49,56,Memphis,"W, 79-72",74,Home,19-5,9-3,
2019,UCF,UCF,Thu Feb 21,50,29,Cincinnati,"L, 60-55",60,Away,19-6,9-4,
2019,UCF,UCF,Sun Feb 24,50,107,SMU,"W, 95-48",71,Home,20-6,10-4,
2019,UCF,UCF,Wed Feb 27,45,99,South Florida,"W, 75-63",63,Away,21-6,11-4,
2019,UCF,UCF,Sat Mar 2,42,12,Houston,"W, 69-64",63,Away,22-6,12-4,
2019,UCF,UCF,Thu Mar 7,35,29,Cincinnati,"W, 58-55",59,Home,23-6,13-4,
2019,UCF,UCF,Sat Mar 9,35,69,Temple,"L, 67-62",69,Away,23-7,13-5,
2019,UCF,UCF,Fri Mar 15,37,56,Memphis,"L, 79-55",70,Away,23-8,,American Athletic
2019,UCF,UCF,Fri Mar 22,48,42,VCU,"W, 73-58",68,Neutral,24-8,,NCAA
2019,UCF,UCF,Sun Mar 24,41,4,Duke,"L, 77-76",68,Neutral,24-9,,NCAA
