Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,UC Irvine,UC Irvine,Tue Nov 6,98,348,Idaho,"W, 86-68",64,Home,1-0,,
2019,UC Irvine,UC Irvine,Fri Nov 9,95,91,Texas A&M,"W, 74-73",68,Away,2-0,,
2019,UC Irvine,UC Irvine,Mon Nov 12,86,NR,Life Pacific,"W, 87-53",74,Home,3-0,,
2019,UC Irvine,UC Irvine,Thu Nov 15,89,186,Santa Clara,"W, 61-49",68,Away,4-0,,
2019,UC Irvine,UC Irvine,Mon Nov 19,82,149,UTSA,"W, 65-56",69,Neutral,5-0,,
2019,UC Irvine,UC Irvine,Tue Nov 20,78,283,Tulane,"W, 67-55",65,Neutral,6-0,,
2019,UC Irvine,UC Irvine,Wed Nov 21,73,61,Toledo,"L, 67-60",67,Neutral,6-1,,
2019,UC Irvine,UC Irvine,Wed Nov 28,82,31,Saint Mary's,"W, 80-75",66,Away,7-1,,
2019,UC Irvine,UC Irvine,Sat Dec 1,70,38,Utah St.,"L, 89-65",71,Home,7-2,,
2019,UC Irvine,UC Irvine,Wed Dec 5,106,197,Cal Baptist,"W, 69-66",68,Away,8-2,,
2019,UC Irvine,UC Irvine,Sat Dec 8,108,137,Montana,"W, 60-51",61,Home,9-2,,
2019,UC Irvine,UC Irvine,Sat Dec 15,97,312,Denver,"W, 86-52",69,Home,10-2,,
2019,UC Irvine,UC Irvine,Wed Dec 19,83,159,Eastern Michigan,"W, 52-48",60,Away,11-2,,
2019,UC Irvine,UC Irvine,Fri Dec 21,79,72,Butler,"L, 71-54",66,Away,11-3,,
2019,UC Irvine,UC Irvine,Sat Dec 29,84,216,Pacific,"L, 84-75",79,Away,11-4,,
2019,UC Irvine,UC Irvine,Thu Jan 3,99,182,UT Rio Grande Valley,"W, 85-74",76,Home,12-4,,
2019,UC Irvine,UC Irvine,Thu Jan 10,101,252,UC Davis,"W, 71-69",75,Home,13-4,1-0,
2019,UC Irvine,UC Irvine,Sat Jan 12,112,210,Cal St. Fullerton,"W, 63-46",67,Away,14-4,2-0,
2019,UC Irvine,UC Irvine,Wed Jan 16,91,225,Long Beach St.,"L, 80-70",68,Home,14-5,2-1,
2019,UC Irvine,UC Irvine,Sat Jan 19,111,253,Cal St. Northridge,"W, 74-68",63,Away,15-5,3-1,
2019,UC Irvine,UC Irvine,Wed Jan 23,114,201,Hawaii,"W, 75-74",74,Away,16-5,4-1,
2019,UC Irvine,UC Irvine,Sat Jan 26,116,322,UC Riverside,"W, 82-64",60,Home,17-5,5-1,
2019,UC Irvine,UC Irvine,Thu Jan 31,111,172,UC Santa Barbara,"W, 66-62",67,Away,18-5,6-1,
2019,UC Irvine,UC Irvine,Sat Feb 2,110,225,Long Beach St.,"W, 82-80",71,Away,19-5,7-1,
2019,UC Irvine,UC Irvine,Wed Feb 6,109,210,Cal St. Fullerton,"W, 60-53",68,Home,20-5,8-1,
2019,UC Irvine,UC Irvine,Sat Feb 9,108,201,Hawaii,"W, 67-56",60,Home,21-5,9-1,
2019,UC Irvine,UC Irvine,Sat Feb 16,106,172,UC Santa Barbara,"W, 83-70",67,Home,22-5,10-1,
2019,UC Irvine,UC Irvine,Thu Feb 21,107,334,Cal Poly,"W, 74-47",64,Home,23-5,11-1,
2019,UC Irvine,UC Irvine,Thu Feb 28,102,252,UC Davis,"W, 64-48",61,Away,24-5,12-1,
2019,UC Irvine,UC Irvine,Sat Mar 2,91,322,UC Riverside,"W, 68-47",61,Away,25-5,13-1,
2019,UC Irvine,UC Irvine,Thu Mar 7,89,334,Cal Poly,"W, 110-72",70,Away,26-5,14-1,
2019,UC Irvine,UC Irvine,Sat Mar 9,80,253,Cal St. Northridge,"W, 86-74",74,Home,27-5,15-1,
2019,UC Irvine,UC Irvine,Thu Mar 14,85,322,UC Riverside,"W, 63-44",60,Neutral,28-5,,Big West
2019,UC Irvine,UC Irvine,Fri Mar 15,81,225,Long Beach St.,"W, 75-67",69,Neutral,29-5,,Big West
2019,UC Irvine,UC Irvine,Sat Mar 16,81,210,Cal St. Fullerton,"W, 92-64",63,Neutral,30-5,,Big West
2019,UC Irvine,UC Irvine,Fri Mar 22,73,20,Kansas St.,"W, 70-64",66,Neutral,31-5,,NCAA
2019,UC Irvine,UC Irvine,Sun Mar 24,66,28,Oregon,"L, 73-54",58,Neutral,31-6,,NCAA
