Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2019,Washington,Washington,Tue Nov 6,45,116,Western Kentucky,"W, 73-55",70,Home,1-0,,
2019,Washington,Washington,Fri Nov 9,40,11,Auburn,"L, 88-66",70,Away,1-1,,
2019,Washington,Washington,Mon Nov 12,43,90,San Diego,"W, 66-63",65,Home,2-1,,
2019,Washington,Washington,Sun Nov 18,46,186,Santa Clara,"W, 82-68",73,Neutral,3-1,,
2019,Washington,Washington,Tue Nov 20,49,91,Texas A&M,"W, 71-67",66,Neutral,4-1,,
2019,Washington,Washington,Wed Nov 21,48,46,Minnesota,"L, 68-66",68,Neutral,4-2,,
2019,Washington,Washington,Tue Nov 27,48,237,Eastern Washington,"W, 83-59",73,Home,5-2,,
2019,Washington,Washington,Sun Dec 2,47,172,UC Santa Barbara,"W, 67-63",70,Home,6-2,,
2019,Washington,Washington,Wed Dec 5,52,2,Gonzaga,"L, 81-79",67,Away,6-3,,
2019,Washington,Washington,Sun Dec 9,49,190,Seattle,"W, 70-62",69,Home,7-3,,
2019,Washington,Washington,Sat Dec 15,52,13,Virginia Tech,"L, 73-61",65,Neutral,7-4,,
2019,Washington,Washington,Fri Dec 21,54,274,Sacramento St.,"W, 57-41",65,Home,8-4,,
2019,Washington,Washington,Tue Jan 1,52,210,Cal St. Fullerton,"W, 84-76",74,Home,9-4,,
2019,Washington,Washington,Sat Jan 5,55,207,Washington St.,"W, 85-67",67,Home,10-4,1-0,
2019,Washington,Washington,Thu Jan 10,52,109,Utah,"W, 69-53",64,Away,11-4,2-0,
2019,Washington,Washington,Sat Jan 12,46,63,Colorado,"W, 77-70",68,Away,12-4,3-0,
2019,Washington,Washington,Thu Jan 17,48,112,Stanford,"W, 80-64",65,Home,13-4,4-0,
2019,Washington,Washington,Sat Jan 19,45,241,California,"W, 71-52",70,Home,14-4,5-0,
2019,Washington,Washington,Thu Jan 24,48,28,Oregon,"W, 61-56",62,Away,15-4,6-0,
2019,Washington,Washington,Sat Jan 26,42,81,Oregon St.,"W, 79-69",66,Away,16-4,7-0,
2019,Washington,Washington,Wed Jan 30,37,82,USC,"W, 75-62",70,Home,17-4,8-0,
2019,Washington,Washington,Sat Feb 2,37,102,UCLA,"W, 69-55",73,Home,18-4,9-0,
2019,Washington,Washington,Thu Feb 7,34,94,Arizona,"W, 67-60",66,Away,19-4,10-0,
2019,Washington,Washington,Sat Feb 9,31,57,Arizona St.,"L, 75-63",74,Away,19-5,10-1,
2019,Washington,Washington,Sat Feb 16,35,207,Washington St.,"W, 72-70",63,Away,20-5,11-1,
2019,Washington,Washington,Wed Feb 20,36,109,Utah,"W, 62-45",62,Home,21-5,12-1,
2019,Washington,Washington,Sat Feb 23,35,63,Colorado,"W, 64-55",62,Home,22-5,13-1,
2019,Washington,Washington,Thu Feb 28,36,241,California,"L, 76-73",63,Away,22-6,13-2,
2019,Washington,Washington,Sun Mar 3,41,112,Stanford,"W, 62-61",70,Away,23-6,14-2,
2019,Washington,Washington,Wed Mar 6,42,81,Oregon St.,"W, 81-76",67,Home,24-6,15-2,
2019,Washington,Washington,Sat Mar 9,42,28,Oregon,"L, 55-47",64,Home,24-7,15-3,
2019,Washington,Washington,Thu Mar 14,47,82,USC,"W, 78-75",72,Neutral,25-7,,Pac 12
2019,Washington,Washington,Fri Mar 15,47,63,Colorado,"W, 66-61",67,Neutral,26-7,,Pac 12
2019,Washington,Washington,Sat Mar 16,47,28,Oregon,"L, 68-48",60,Neutral,26-8,,Pac 12
2019,Washington,Washington,Fri Mar 22,53,38,Utah St.,"W, 78-61",69,Neutral,27-8,,NCAA
2019,Washington,Washington,Sun Mar 24,48,7,North Carolina,"L, 81-59",68,Neutral,27-9,,NCAA
