Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Cleveland St.,Cleveland St.,Tue Dec 1,215,74,Toledo,"L, 70-61",68,Away,0-1,,
2021,Cleveland St.,Cleveland St.,Sun Dec 6,214,81,Ohio,"L, 101-46",77,Away,0-2,,
2021,Cleveland St.,Cleveland St.,Sun Dec 13,248,11,Ohio St.,"L, 67-61",65,Away,0-3,,
2021,Cleveland St.,Cleveland St.,Sat Dec 19,229,280,Purdue Fort Wayne,"W, 63-61",71,Away,1-3,1-0,
2021,Cleveland St.,Cleveland St.,Sun Dec 20,226,280,Purdue Fort Wayne,"W, 89-80",68,Away,2-3,2-0,
2021,Cleveland St.,Cleveland St.,Sat Dec 26,210,246,Youngstown St.,"W, 87-69",65,Home,3-3,3-0,
2021,Cleveland St.,Cleveland St.,Sun Dec 27,197,246,Youngstown St.,"W, 81-74",67,Home,4-3,4-0,
2021,Cleveland St.,Cleveland St.,Fri Jan 1,192,263,IUPUI,"W, 65-62",72,Away,5-3,5-0,
2021,Cleveland St.,Cleveland St.,Sat Jan 2,192,263,IUPUI,"W, 59-49",70,Away,6-3,6-0,
2021,Cleveland St.,Cleveland St.,Fri Jan 8,182,206,Northern Kentucky,"W, 58-44",60,Home,7-3,7-0,
2021,Cleveland St.,Cleveland St.,Sat Jan 9,175,206,Northern Kentucky,"W, 74-71",72,Home,8-3,8-0,
2021,Cleveland St.,Cleveland St.,Fri Jan 15,173,73,Wright St.,"W, 66-64",62,Away,9-3,9-0,
2021,Cleveland St.,Cleveland St.,Sat Jan 16,165,73,Wright St.,"L, 85-49",78,Away,9-4,9-1,
2021,Cleveland St.,Cleveland St.,Fri Jan 22,172,216,Milwaukee,"W, 64-53",66,Home,10-4,10-1,
2021,Cleveland St.,Cleveland St.,Sat Jan 23,171,216,Milwaukee,"L, 81-80",77,Home,10-5,10-2,
2021,Cleveland St.,Cleveland St.,Fri Jan 29,169,257,Green Bay,"W, 74-68",65,Home,11-5,11-2,
2021,Cleveland St.,Cleveland St.,Sat Jan 30,170,257,Green Bay,"W, 73-65",65,Home,12-5,12-2,
2021,Cleveland St.,Cleveland St.,Fri Feb 5,172,221,Oakland,"W, 80-72",70,Away,13-5,13-2,
2021,Cleveland St.,Cleveland St.,Sat Feb 6,161,221,Oakland,"W, 80-78",69,Away,14-5,14-2,
2021,Cleveland St.,Cleveland St.,Fri Feb 12,157,161,Detroit,"L, 89-83",75,Home,14-6,14-3,
2021,Cleveland St.,Cleveland St.,Sat Feb 13,164,161,Detroit,"W, 71-64",65,Home,15-6,15-3,
2021,Cleveland St.,Cleveland St.,Fri Feb 19,153,280,Purdue Fort Wayne,"L, 75-68",65,Away,15-7,15-4,
2021,Cleveland St.,Cleveland St.,Sat Feb 20,165,280,Purdue Fort Wayne,"W, 67-55",61,Away,16-7,16-4,
2021,Cleveland St.,Cleveland St.,Tue Mar 2,153,280,Purdue Fort Wayne,"W, 108-104",88,Home,17-7,,Horizon League
2021,Cleveland St.,Cleveland St.,Mon Mar 8,157,216,Milwaukee,"W, 71-65",65,Home,18-7,,Horizon League
2021,Cleveland St.,Cleveland St.,Tue Mar 9,157,221,Oakland,"W, 80-69",74,Neutral,19-7,,Horizon League
2021,Cleveland St.,Cleveland St.,Fri Mar 19,153,5,Houston,"L, 87-56",65,Neutral,19-8,,NCAA
