Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Colgate,Colgate,Sat Jan 2,150,197,Army,"W, 101-57",75,Home,1-0,1-0,
2021,Colgate,Colgate,Sun Jan 3,119,197,Army,"L, 75-73",74,Home,1-1,1-1,
2021,Colgate,Colgate,Sat Jan 9,131,260,Boston University,"W, 86-79",73,Away,2-1,2-1,
2021,Colgate,Colgate,Sun Jan 10,127,260,Boston University,"W, 89-45",69,Away,3-1,3-1,
2021,Colgate,Colgate,Sat Jan 16,110,304,Holy Cross,"W, 95-55",68,Home,4-1,4-1,
2021,Colgate,Colgate,Sun Jan 17,101,304,Holy Cross,"W, 96-87",81,Home,5-1,5-1,
2021,Colgate,Colgate,Sat Jan 30,105,304,Holy Cross,"W, 74-63",76,Away,6-1,6-1,
2021,Colgate,Colgate,Sun Jan 31,106,304,Holy Cross,"W, 78-60",69,Away,7-1,7-1,
2021,Colgate,Colgate,Sat Feb 13,103,197,Army,"W, 84-74",74,Away,8-1,8-1,
2021,Colgate,Colgate,Sun Feb 14,99,197,Army,"W, 92-83",78,Away,9-1,9-1,
2021,Colgate,Colgate,Sat Feb 20,100,260,Boston University,"W, 82-72",75,Home,10-1,10-1,
2021,Colgate,Colgate,Sun Feb 21,100,260,Boston University,"W, 78-63",67,Home,11-1,11-1,
2021,Colgate,Colgate,Sat Mar 6,93,260,Boston University,"W, 77-69",70,Home,12-1,,Patriot League
2021,Colgate,Colgate,Wed Mar 10,89,276,Bucknell,"W, 105-75",75,Home,13-1,,Patriot League
2021,Colgate,Colgate,Sun Mar 14,86,214,Loyola MD,"W, 85-72",68,Home,14-1,,Patriot League
2021,Colgate,Colgate,Fri Mar 19,86,18,Arkansas,"L, 85-68",78,Neutral,14-2,,NCAA
