Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Colorado,Colorado,Wed Nov 25,62,159,South Dakota,"W, 84-61",71,Neutral,1-0,,
2021,Colorado,Colorado,Fri Nov 27,58,147,Kansas St.,"W, 76-58",66,Away,2-0,,
2021,Colorado,Colorado,Tue Dec 8,51,28,Tennessee,"L, 56-47",64,Away,2-1,,
2021,Colorado,Colorado,Mon Dec 14,54,228,Northern Colorado,"W, 81-45",71,Home,3-1,,
2021,Colorado,Colorado,Wed Dec 16,43,300,Nebraska Omaha,"W, 91-49",73,Home,4-1,,
2021,Colorado,Colorado,Sun Dec 20,34,129,Washington,"W, 92-69",69,Neutral,5-1,,
2021,Colorado,Colorado,Tue Dec 22,24,103,Grand Canyon,"W, 74-64",62,Neutral,6-1,,
2021,Colorado,Colorado,Mon Dec 28,24,29,Arizona,"L, 88-74",67,Away,6-2,0-1,
2021,Colorado,Colorado,Thu Dec 31,33,6,USC,"W, 72-62",68,Away,7-2,1-1,
2021,Colorado,Colorado,Sat Jan 2,22,13,UCLA,"L, 65-62",64,Away,7-3,1-2,
2021,Colorado,Colorado,Thu Jan 7,20,16,Oregon,"W, 79-72",71,Home,8-3,2-2,
2021,Colorado,Colorado,Mon Jan 11,20,44,Utah,"W, 65-58",67,Away,9-3,3-2,
2021,Colorado,Colorado,Thu Jan 14,17,114,California,"W, 89-60",68,Home,10-3,4-2,
2021,Colorado,Colorado,Sat Jan 16,14,57,Stanford,"W, 77-64",71,Home,11-3,5-2,
2021,Colorado,Colorado,Wed Jan 20,15,129,Washington,"L, 84-80",67,Away,11-4,5-3,
2021,Colorado,Colorado,Sat Jan 23,16,78,Washington St.,"W, 70-59",65,Away,12-4,6-3,
2021,Colorado,Colorado,Wed Jan 27,18,78,Washington St.,"W, 70-58",62,Home,13-4,7-3,
2021,Colorado,Colorado,Sat Jan 30,17,44,Utah,"L, 77-74",66,Home,13-5,7-4,
2021,Colorado,Colorado,Sat Feb 6,18,29,Arizona,"W, 82-79",65,Home,14-5,8-4,
2021,Colorado,Colorado,Mon Feb 8,18,43,Oregon St.,"W, 78-49",70,Home,15-5,9-4,
2021,Colorado,Colorado,Thu Feb 11,15,57,Stanford,"W, 69-51",63,Away,16-5,10-4,
2021,Colorado,Colorado,Sat Feb 13,11,114,California,"L, 71-62",65,Away,16-6,10-5,
2021,Colorado,Colorado,Thu Feb 18,16,16,Oregon,"L, 60-56",67,Away,16-7,10-6,
2021,Colorado,Colorado,Sat Feb 20,17,43,Oregon St.,"W, 61-57",63,Away,17-7,11-6,
2021,Colorado,Colorado,Thu Feb 25,21,6,USC,"W, 80-62",67,Home,18-7,12-6,
2021,Colorado,Colorado,Sat Feb 27,17,13,UCLA,"W, 70-61",61,Home,19-7,13-6,
2021,Colorado,Colorado,Thu Mar 4,17,86,Arizona St.,"W, 75-61",68,Home,20-7,14-6,
2021,Colorado,Colorado,Thu Mar 11,15,114,California,"W, 61-58",62,Neutral,21-7,,Pac 12
2021,Colorado,Colorado,Fri Mar 12,18,6,USC,"W, 72-70",62,Neutral,22-7,,Pac 12
2021,Colorado,Colorado,Sat Mar 13,17,43,Oregon St.,"L, 70-68",59,Neutral,22-8,,Pac 12
2021,Colorado,Colorado,Sat Mar 20,14,63,Georgetown,"W, 96-73",73,Neutral,23-8,,NCAA
2021,Colorado,Colorado,Mon Mar 22,10,15,Florida St.,"L, 71-53",65,Neutral,23-9,,NCAA
