Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Creighton,Creighton,Sun Nov 29,14,139,North Dakota St.,"W, 69-58",67,Home,1-0,,
2021,Creighton,Creighton,Tue Dec 1,17,300,Nebraska Omaha,"W, 94-67",75,Home,2-0,,
2021,Creighton,Creighton,Fri Dec 4,16,335,Kennesaw St.,"W, 93-58",71,Home,3-0,,
2021,Creighton,Creighton,Tue Dec 8,15,27,Kansas,"L, 73-72",74,Away,3-1,,
2021,Creighton,Creighton,Fri Dec 11,13,109,Nebraska,"W, 98-74",82,Home,4-1,,
2021,Creighton,Creighton,Mon Dec 14,11,83,Marquette,"L, 89-84",67,Home,4-2,0-1,
2021,Creighton,Creighton,Thu Dec 17,17,69,St. John's,"W, 94-76",76,Away,5-2,1-1,
2021,Creighton,Creighton,Sun Dec 20,14,21,Connecticut,"W, 76-74",77,Away,6-2,2-1,
2021,Creighton,Creighton,Wed Dec 23,13,66,Xavier,"W, 66-61",75,Home,7-2,3-1,
2021,Creighton,Creighton,Sat Jan 2,16,80,Providence,"W, 67-65",67,Away,8-2,4-1,
2021,Creighton,Creighton,Wed Jan 6,14,54,Seton Hall,"W, 89-53",68,Home,9-2,5-1,
2021,Creighton,Creighton,Sat Jan 9,10,69,St. John's,"W, 97-79",74,Home,10-2,6-1,
2021,Creighton,Creighton,Sat Jan 16,11,120,Butler,"L, 70-66",70,Away,10-3,6-2,
2021,Creighton,Creighton,Wed Jan 20,12,80,Providence,"L, 74-70",70,Home,10-4,6-3,
2021,Creighton,Creighton,Sat Jan 23,15,21,Connecticut,"W, 74-66",65,Home,11-4,7-3,
2021,Creighton,Creighton,Wed Jan 27,14,54,Seton Hall,"W, 85-81",69,Away,12-4,8-3,
2021,Creighton,Creighton,Sat Jan 30,15,141,DePaul,"W, 69-62",67,Away,13-4,9-3,
2021,Creighton,Creighton,Wed Feb 3,16,63,Georgetown,"L, 86-79",75,Home,13-5,9-4,
2021,Creighton,Creighton,Sat Feb 6,19,83,Marquette,"W, 71-68",66,Away,14-5,10-4,
2021,Creighton,Creighton,Tue Feb 9,20,63,Georgetown,"W, 63-48",73,Away,15-5,11-4,
2021,Creighton,Creighton,Sat Feb 13,20,12,Villanova,"W, 86-70",64,Home,16-5,12-4,
2021,Creighton,Creighton,Wed Feb 24,15,141,DePaul,"W, 77-53",68,Home,17-5,13-4,
2021,Creighton,Creighton,Sat Feb 27,14,66,Xavier,"L, 77-69",69,Away,17-6,13-5,
2021,Creighton,Creighton,Wed Mar 3,15,12,Villanova,"L, 72-60",66,Away,17-7,13-6,
2021,Creighton,Creighton,Sat Mar 6,18,120,Butler,"W, 93-73",72,Home,18-7,14-6,
2021,Creighton,Creighton,Thu Mar 11,17,120,Butler,"W, 87-56",66,Neutral,19-7,,Big East
2021,Creighton,Creighton,Fri Mar 12,10,21,Connecticut,"W, 59-56",65,Neutral,20-7,,Big East
2021,Creighton,Creighton,Sat Mar 13,10,63,Georgetown,"L, 73-48",65,Neutral,20-8,,Big East
2021,Creighton,Creighton,Sat Mar 20,20,58,UC Santa Barbara,"W, 63-62",63,Neutral,21-8,,NCAA
2021,Creighton,Creighton,Mon Mar 22,20,81,Ohio,"W, 72-58",71,Neutral,22-8,,NCAA
2021,Creighton,Creighton,Sun Mar 28,20,1,Gonzaga,"L, 83-65",73,Neutral,22-9,,NCAA
