Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Drexel,Drexel,Sat Nov 28,166,97,Pittsburgh,"L, 83-74",70,Away,0-1,,
2021,Drexel,Drexel,Wed Dec 2,166,285,Quinnipiac,"W, 66-48",68,Neutral,1-1,,
2021,Drexel,Drexel,Thu Dec 3,156,285,Quinnipiac,"W, 70-58",63,Neutral,2-1,,
2021,Drexel,Drexel,Sun Dec 6,149,291,Coppin St.,"W, 69-54",73,Home,3-1,,
2021,Drexel,Drexel,Sat Dec 12,145,200,La Salle,"L, 58-48",65,Home,3-2,,
2021,Drexel,Drexel,Thu Dec 17,157,202,Saint Joseph's,"W, 81-77",75,Home,4-2,,
2021,Drexel,Drexel,Sat Dec 19,156,299,Fairleigh Dickinson,"W, 85-68",73,Away,5-2,,
2021,Drexel,Drexel,Sat Jan 9,152,232,Charleston,"L, 61-60",63,Away,5-3,0-1,
2021,Drexel,Drexel,Sun Jan 10,152,232,Charleston,"L, 73-68",60,Away,5-4,0-2,
2021,Drexel,Drexel,Sat Jan 16,162,302,William & Mary,"W, 82-58",65,Home,6-4,1-2,
2021,Drexel,Drexel,Sun Jan 17,154,302,William & Mary,"L, 69-64",68,Home,6-5,1-3,
2021,Drexel,Drexel,Sat Jan 23,163,302,William & Mary,"W, 79-64",63,Away,7-5,2-3,
2021,Drexel,Drexel,Sun Jan 31,151,177,James Madison,"L, 73-64",67,Away,7-6,2-4,
2021,Drexel,Drexel,Sat Feb 6,155,190,Hofstra,"W, 73-71",64,Away,8-6,3-4,
2021,Drexel,Drexel,Sun Feb 7,154,190,Hofstra,"L, 79-74",67,Away,8-7,3-5,
2021,Drexel,Drexel,Fri Feb 26,167,177,James Madison,"W, 84-78",69,Away,9-7,4-5,
2021,Drexel,Drexel,Sun Mar 7,158,232,Charleston,"W, 80-75",59,Neutral,10-7,,Colonial Athletic Association
2021,Drexel,Drexel,Mon Mar 8,159,168,Northeastern,"W, 74-67",63,Neutral,11-7,,Colonial Athletic Association
2021,Drexel,Drexel,Tue Mar 9,149,205,Elon,"W, 63-56",60,Neutral,12-7,,Colonial Athletic Association
2021,Drexel,Drexel,Fri Mar 19,145,4,Illinois,"L, 78-49",66,Neutral,12-8,,NCAA
