Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Georgia Tech,Georgia Tech,Wed Nov 25,72,154,Georgia St.,"L, 123-120",113,Home,0-1,,
2021,Georgia Tech,Georgia Tech,Fri Nov 27,75,131,Mercer,"L, 83-73",73,Home,0-2,,
2021,Georgia Tech,Georgia Tech,Sun Dec 6,90,49,Kentucky,"W, 79-62",68,Home,1-2,,
2021,Georgia Tech,Georgia Tech,Wed Dec 9,75,109,Nebraska,"W, 75-64",69,Away,2-2,,
2021,Georgia Tech,Georgia Tech,Tue Dec 15,71,15,Florida St.,"L, 74-61",64,Away,2-3,0-1,
2021,Georgia Tech,Georgia Tech,Fri Dec 18,71,277,Florida A&M,"W, 74-64",63,Home,3-3,,
2021,Georgia Tech,Georgia Tech,Sun Dec 20,76,352,Delaware St.,"W, 97-69",77,Home,4-3,,
2021,Georgia Tech,Georgia Tech,Wed Dec 30,78,34,North Carolina,"W, 72-67",70,Home,5-3,1-1,
2021,Georgia Tech,Georgia Tech,Sun Jan 3,73,175,Wake Forest,"W, 70-54",70,Home,6-3,2-1,
2021,Georgia Tech,Georgia Tech,Wed Jan 20,72,45,Clemson,"W, 83-65",63,Home,7-3,3-1,
2021,Georgia Tech,Georgia Tech,Sat Jan 23,60,19,Virginia,"L, 64-62",59,Away,7-4,3-2,
2021,Georgia Tech,Georgia Tech,Tue Jan 26,58,36,Duke,"L, 75-68",72,Away,7-5,3-3,
2021,Georgia Tech,Georgia Tech,Sat Jan 30,59,15,Florida St.,"W, 76-65",73,Home,8-5,4-3,
2021,Georgia Tech,Georgia Tech,Mon Feb 1,50,59,Louisville,"L, 74-58",69,Away,8-6,4-4,
2021,Georgia Tech,Georgia Tech,Sat Feb 6,59,85,Notre Dame,"W, 82-80",67,Home,9-6,5-4,
2021,Georgia Tech,Georgia Tech,Wed Feb 10,58,19,Virginia,"L, 57-49",61,Home,9-7,5-5,
2021,Georgia Tech,Georgia Tech,Fri Feb 12,62,45,Clemson,"L, 74-72",68,Away,9-8,5-6,
2021,Georgia Tech,Georgia Tech,Sun Feb 14,59,97,Pittsburgh,"W, 71-65",66,Home,10-8,6-6,
2021,Georgia Tech,Georgia Tech,Sat Feb 20,56,138,Miami FL,"W, 87-60",68,Away,11-8,7-6,
2021,Georgia Tech,Georgia Tech,Tue Feb 23,39,52,Virginia Tech,"W, 69-53",57,Away,12-8,8-6,
2021,Georgia Tech,Georgia Tech,Sat Feb 27,34,42,Syracuse,"W, 84-77",73,Home,13-8,9-6,
2021,Georgia Tech,Georgia Tech,Tue Mar 2,30,36,Duke,"W, 81-77",79,Home,14-8,10-6,
2021,Georgia Tech,Georgia Tech,Fri Mar 5,30,175,Wake Forest,"W, 75-63",68,Away,15-8,11-6,
2021,Georgia Tech,Georgia Tech,Thu Mar 11,31,138,Miami FL,"W, 70-66",70,Neutral,16-8,,Atlantic Coast
2021,Georgia Tech,Georgia Tech,Sat Mar 13,35,15,Florida St.,"W, 80-75",69,Neutral,17-8,,Atlantic Coast
2021,Georgia Tech,Georgia Tech,Fri Mar 19,31,10,Loyola Chicago,"L, 71-60",59,Neutral,17-9,,NCAA
