Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Hartford,Hartford,Fri Nov 27,308,21,Connecticut,"L, 69-57",64,Away,0-1,,
2021,Hartford,Hartford,Tue Dec 1,302,12,Villanova,"L, 87-53",63,Neutral,0-2,,
2021,Hartford,Hartford,Wed Dec 2,308,309,Fairfield,"W, 66-61",72,Away,1-2,,
2021,Hartford,Hartford,Fri Dec 4,298,345,Central Connecticut,"W, 80-65",75,Home,2-2,,
2021,Hartford,Hartford,Mon Dec 7,284,309,Fairfield,"W, 67-54",65,Home,3-2,,
2021,Hartford,Hartford,Sat Dec 19,270,346,Maine,"W, 63-60",65,Home,4-2,1-0,
2021,Hartford,Hartford,Sun Dec 20,276,346,Maine,"W, 65-50",62,Home,5-2,2-0,
2021,Hartford,Hartford,Sun Dec 27,269,268,New Hampshire,"L, 77-69",72,Away,5-3,2-1,
2021,Hartford,Hartford,Mon Dec 28,272,268,New Hampshire,"L, 53-51",65,Away,5-4,2-2,
2021,Hartford,Hartford,Sat Jan 2,266,325,Binghamton,"W, 76-56",65,Home,6-4,3-2,
2021,Hartford,Hartford,Sun Jan 3,252,325,Binghamton,"W, 77-74",61,Home,7-4,4-2,
2021,Hartford,Hartford,Sat Jan 9,256,230,UMass Lowell,"L, 71-62",69,Away,7-5,4-3,
2021,Hartford,Hartford,Sun Jan 10,260,230,UMass Lowell,"W, 75-58",68,Away,8-5,5-3,
2021,Hartford,Hartford,Sat Jan 16,239,172,UMBC,"W, 70-63",71,Away,9-5,6-3,
2021,Hartford,Hartford,Sun Jan 17,220,172,UMBC,"L, 57-49",63,Away,9-6,6-4,
2021,Hartford,Hartford,Sat Jan 30,224,236,Stony Brook,"W, 59-57",64,Away,10-6,7-4,
2021,Hartford,Hartford,Sun Jan 31,218,236,Stony Brook,"L, 63-49",68,Away,10-7,7-5,
2021,Hartford,Hartford,Sat Feb 13,232,295,NJIT,"L, 67-57",67,Home,10-8,7-6,
2021,Hartford,Hartford,Sun Feb 14,244,295,NJIT,"W, 75-61",65,Home,11-8,8-6,
2021,Hartford,Hartford,Sat Feb 27,224,325,Binghamton,"W, 77-60",66,Home,12-8,,America East
2021,Hartford,Hartford,Sun Feb 28,214,240,Albany,"W, 83-77",70,Home,13-8,,America East
2021,Hartford,Hartford,Sat Mar 6,213,133,Vermont,"W, 71-65",60,Away,14-8,,America East
2021,Hartford,Hartford,Sat Mar 13,199,230,UMass Lowell,"W, 64-50",69,Home,15-8,,America East
2021,Hartford,Hartford,Fri Mar 19,192,2,Baylor,"L, 79-55",77,Neutral,15-9,,NCAA
