Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Houston,Houston,Wed Nov 25,21,307,Lamar,"W, 89-45",72,Home,1-0,,
2021,Houston,Houston,Fri Nov 27,17,61,Boise St.,"W, 68-58",70,Home,2-0,,
2021,Houston,Houston,Sun Nov 29,17,17,Texas Tech,"W, 64-53",66,Neutral,3-0,,
2021,Houston,Houston,Sat Dec 5,10,124,South Carolina,"W, 77-67",70,Home,4-0,,
2021,Houston,Houston,Sun Dec 20,13,342,Alcorn St.,"W, 88-55",67,Home,5-0,,
2021,Houston,Houston,Tue Dec 22,11,143,Temple,"W, 76-50",68,Home,6-0,1-0,
2021,Houston,Houston,Sat Dec 26,10,100,UCF,"W, 63-54",63,Away,7-0,2-0,
2021,Houston,Houston,Tue Dec 29,8,121,Tulsa,"L, 65-64",65,Away,7-1,2-1,
2021,Houston,Houston,Sun Jan 3,9,56,SMU,"W, 74-60",68,Away,8-1,3-1,
2021,Houston,Houston,Wed Jan 6,9,68,Wichita St.,"W, 70-63",66,Home,9-1,4-1,
2021,Houston,Houston,Sat Jan 9,11,144,Tulane,"W, 71-50",62,Home,10-1,5-1,
2021,Houston,Houston,Sun Jan 17,11,100,UCF,"W, 75-58",65,Home,11-1,6-1,
2021,Houston,Houston,Wed Jan 20,8,121,Tulsa,"W, 86-59",70,Home,12-1,7-1,
2021,Houston,Houston,Sat Jan 23,6,143,Temple,"W, 68-51",65,Away,13-1,8-1,
2021,Houston,Houston,Thu Jan 28,5,144,Tulane,"W, 83-60",64,Away,14-1,9-1,
2021,Houston,Houston,Sun Jan 31,5,56,SMU,"W, 70-48",66,Home,15-1,10-1,
2021,Houston,Houston,Wed Feb 3,4,155,East Carolina,"L, 82-73",68,Away,15-2,10-2,
2021,Houston,Houston,Sat Feb 6,6,NR,Our Lady of the Lake,"W, 112-46",83,Home,16-2,,
2021,Houston,Houston,Wed Feb 10,6,170,South Florida,"W, 82-65",65,Away,17-2,11-2,
2021,Houston,Houston,Thu Feb 18,5,68,Wichita St.,"L, 68-63",59,Away,17-3,11-3,
2021,Houston,Houston,Sun Feb 21,7,116,Cincinnati,"W, 90-52",71,Home,18-3,12-3,
2021,Houston,Houston,Thu Feb 25,5,99,Western Kentucky,"W, 81-57",65,Home,19-3,,
2021,Houston,Houston,Sun Feb 28,4,170,South Florida,"W, 98-52",62,Home,20-3,13-3,
2021,Houston,Houston,Sun Mar 7,6,31,Memphis,"W, 67-64",65,Home,21-3,14-3,
2021,Houston,Houston,Fri Mar 12,6,144,Tulane,"W, 77-52",59,Neutral,22-3,,American Athletic
2021,Houston,Houston,Sat Mar 13,6,31,Memphis,"W, 76-74",69,Neutral,23-3,,American Athletic
2021,Houston,Houston,Sun Mar 14,6,116,Cincinnati,"W, 91-54",65,Neutral,24-3,,American Athletic
2021,Houston,Houston,Fri Mar 19,5,169,Cleveland St.,"W, 87-56",65,Neutral,25-3,,NCAA
2021,Houston,Houston,Sun Mar 21,5,38,Rutgers,"W, 63-60",62,Neutral,26-3,,NCAA
2021,Houston,Houston,Sat Mar 27,4,42,Syracuse,"W, 62-46",64,Neutral,27-3,,NCAA
2021,Houston,Houston,Mon Mar 29,3,43,Oregon St.,"W, 67-61",61,Neutral,28-3,,NCAA
2021,Houston,Houston,Sat Apr 3,3,2,Baylor,"L, 78-59",58,Neutral,28-4,,NCAA
