Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Iona,Iona,Mon Nov 30,262,54,Seton Hall,"L, 86-64",70,Away,0-1,,
2021,Iona,Iona,Sat Dec 5,267,190,Hofstra,"W, 82-74",75,Away,1-1,,
2021,Iona,Iona,Tue Dec 8,242,223,Morgan St.,"L, 83-72",70,Home,1-2,,
2021,Iona,Iona,Fri Dec 11,266,309,Fairfield,"W, 70-42",67,Away,2-2,1-0,
2021,Iona,Iona,Sat Dec 12,237,309,Fairfield,"L, 67-52",67,Away,2-3,1-1,
2021,Iona,Iona,Fri Dec 18,249,316,Rider,"W, 70-56",66,Away,3-3,2-1,
2021,Iona,Iona,Sat Dec 19,234,316,Rider,"W, 72-64",66,Away,4-3,3-1,
2021,Iona,Iona,Wed Dec 23,225,291,Coppin St.,"W, 85-65",72,Home,5-3,,
2021,Iona,Iona,Fri Feb 12,213,315,Manhattan,"W, 85-67",74,Home,6-3,4-1,
2021,Iona,Iona,Sat Feb 13,206,315,Manhattan,"L, 77-70",67,Home,6-4,4-2,
2021,Iona,Iona,Wed Feb 17,218,285,Quinnipiac,"L, 74-70",72,Away,6-5,4-3,
2021,Iona,Iona,Fri Feb 19,222,226,Monmouth,"W, 91-86",88,Home,7-5,5-3,
2021,Iona,Iona,Sat Feb 20,217,226,Monmouth,"W, 88-65",73,Home,8-5,6-3,
2021,Iona,Iona,Tue Mar 9,202,285,Quinnipiac,"W, 72-48",70,Neutral,9-5,,Metro Atlantic Athletic
2021,Iona,Iona,Wed Mar 10,189,186,Siena,"W, 55-52",62,Neutral,10-5,,Metro Atlantic Athletic
2021,Iona,Iona,Fri Mar 12,187,250,Niagara,"W, 70-64",65,Neutral,11-5,,Metro Atlantic Athletic
2021,Iona,Iona,Sat Mar 13,185,309,Fairfield,"W, 60-51",63,Neutral,12-5,,Metro Atlantic Athletic
2021,Iona,Iona,Sat Mar 20,183,9,Alabama,"L, 68-55",68,Neutral,12-6,,NCAA
