Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,LSU,LSU,Thu Nov 26,38,323,SIU Edwardsville,"W, 94-81",69,Neutral,1-0,,
2021,LSU,LSU,Sat Nov 28,41,53,Saint Louis,"L, 85-81",66,Away,1-1,,
2021,LSU,LSU,Mon Nov 30,43,336,Southeastern Louisiana,"W, 96-43",73,Home,2-1,,
2021,LSU,LSU,Sun Dec 6,39,82,Louisiana Tech,"W, 86-55",76,Home,3-1,,
2021,LSU,LSU,Mon Dec 14,30,180,Sam Houston St.,"W, 88-66",79,Home,4-1,,
2021,LSU,LSU,Sat Dec 26,27,196,Nicholls St.,"W, 86-80",74,Home,5-1,,
2021,LSU,LSU,Tue Dec 29,37,137,Texas A&M,"W, 77-54",63,Home,6-1,1-0,
2021,LSU,LSU,Sat Jan 2,26,41,Florida,"L, 83-79",70,Away,6-2,1-1,
2021,LSU,LSU,Wed Jan 6,26,95,Georgia,"W, 94-92",86,Home,7-2,2-1,
2021,LSU,LSU,Sat Jan 9,33,51,Mississippi,"W, 75-61",70,Away,8-2,3-1,
2021,LSU,LSU,Wed Jan 13,24,18,Arkansas,"W, 92-76",82,Home,9-2,4-1,
2021,LSU,LSU,Sat Jan 16,21,124,South Carolina,"W, 85-80",77,Home,10-2,5-1,
2021,LSU,LSU,Tue Jan 19,22,9,Alabama,"L, 105-75",79,Home,10-3,5-2,
2021,LSU,LSU,Sat Jan 23,32,49,Kentucky,"L, 82-69",72,Away,10-4,5-3,
2021,LSU,LSU,Tue Jan 26,39,137,Texas A&M,"W, 78-66",64,Away,11-4,6-3,
2021,LSU,LSU,Sat Jan 30,38,17,Texas Tech,"L, 76-71",69,Home,11-5,,
2021,LSU,LSU,Wed Feb 3,39,9,Alabama,"L, 78-60",79,Away,11-6,6-4,
2021,LSU,LSU,Wed Feb 10,42,67,Mississippi St.,"W, 94-80",67,Away,12-6,7-4,
2021,LSU,LSU,Sat Feb 13,29,28,Tennessee,"W, 78-65",67,Home,13-6,8-4,
2021,LSU,LSU,Sat Feb 20,29,60,Auburn,"W, 104-80",77,Home,14-6,9-4,
2021,LSU,LSU,Tue Feb 23,27,95,Georgia,"L, 91-78",78,Away,14-7,9-5,
2021,LSU,LSU,Sat Feb 27,29,18,Arkansas,"L, 83-75",78,Away,14-8,9-6,
2021,LSU,LSU,Tue Mar 2,29,104,Vanderbilt,"W, 83-68",75,Home,15-8,10-6,
2021,LSU,LSU,Sat Mar 6,29,47,Missouri,"W, 86-80",73,Away,16-8,11-6,
2021,LSU,LSU,Fri Mar 12,30,51,Mississippi,"W, 76-73",66,Neutral,17-8,,Southeastern
2021,LSU,LSU,Sat Mar 13,29,18,Arkansas,"W, 78-71",74,Neutral,18-8,,Southeastern
2021,LSU,LSU,Sun Mar 14,29,9,Alabama,"L, 80-79",69,Neutral,18-9,,Southeastern
2021,LSU,LSU,Sat Mar 20,27,32,St. Bonaventure,"W, 76-61",67,Neutral,19-9,,NCAA
2021,LSU,LSU,Mon Mar 22,23,3,Michigan,"L, 86-78",72,Neutral,19-10,,NCAA
