Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Norfolk St.,Norfolk St.,Fri Nov 27,238,177,James Madison,"W, 83-73",70,Away,1-0,,
2021,Norfolk St.,Norfolk St.,Sat Nov 28,220,243,Radford,"W, 57-54",67,Neutral,2-0,,
2021,Norfolk St.,Norfolk St.,Wed Dec 2,220,152,Old Dominion,"L, 80-66",71,Home,2-1,,
2021,Norfolk St.,Norfolk St.,Mon Dec 7,234,327,Hampton,"W, 76-64",68,Home,3-1,,
2021,Norfolk St.,Norfolk St.,Sun Dec 13,225,108,UNC Greensboro,"L, 64-47",68,Away,3-2,,
2021,Norfolk St.,Norfolk St.,Fri Dec 18,238,248,UNC Wilmington,"L, 80-72",68,Home,3-3,,
2021,Norfolk St.,Norfolk St.,Sat Dec 26,246,142,George Mason,"W, 68-65",71,Away,4-3,,
2021,Norfolk St.,Norfolk St.,Sat Jan 9,234,223,Morgan St.,"L, 78-74",74,Home,4-4,0-1,
2021,Norfolk St.,Norfolk St.,Sun Jan 10,242,223,Morgan St.,"W, 89-85",77,Home,5-4,1-1,
2021,Norfolk St.,Norfolk St.,Wed Jan 13,242,NR,NC Wesleyan,"W, 80-58",72,Home,6-4,,
2021,Norfolk St.,Norfolk St.,Sat Jan 16,238,352,Delaware St.,"W, 87-76",68,Away,7-4,2-1,
2021,Norfolk St.,Norfolk St.,Sun Jan 17,234,352,Delaware St.,"W, 83-79",81,Away,8-4,3-1,
2021,Norfolk St.,Norfolk St.,Sat Jan 23,242,291,Coppin St.,"L, 81-71",88,Away,8-5,3-2,
2021,Norfolk St.,Norfolk St.,Sun Jan 24,253,291,Coppin St.,"L, 81-77",73,Away,8-6,3-3,
2021,Norfolk St.,Norfolk St.,Sat Jan 30,255,352,Delaware St.,"W, 94-66",68,Home,9-6,4-3,
2021,Norfolk St.,Norfolk St.,Sun Feb 7,242,291,Coppin St.,"W, 84-72",77,Home,10-6,5-3,
2021,Norfolk St.,Norfolk St.,Mon Feb 8,239,291,Coppin St.,"L, 74-64",76,Home,10-7,5-4,
2021,Norfolk St.,Norfolk St.,Sat Feb 13,253,223,Morgan St.,"W, 74-69",73,Away,11-7,6-4,
2021,Norfolk St.,Norfolk St.,Sun Feb 14,246,223,Morgan St.,"W, 68-65",68,Away,12-7,7-4,
2021,Norfolk St.,Norfolk St.,Wed Feb 24,245,352,Delaware St.,"W, 86-55",77,Home,13-7,8-4,
2021,Norfolk St.,Norfolk St.,Sun Feb 28,236,NR,St. Mary's MD,"W, 72-51",69,Home,14-7,,
2021,Norfolk St.,Norfolk St.,Thu Mar 11,231,330,North Carolina Central,"W, 87-58",68,Semi-Home,15-7,,Mid-Eastern Athletic
2021,Norfolk St.,Norfolk St.,Sat Mar 13,211,223,Morgan St.,"W, 71-63",72,Semi-Home,16-7,,Mid-Eastern Athletic
2021,Norfolk St.,Norfolk St.,Thu Mar 18,200,212,Appalachian St.,"W, 54-53",66,Neutral,17-7,,NCAA
2021,Norfolk St.,Norfolk St.,Sat Mar 20,203,1,Gonzaga,"L, 98-55",74,Neutral,17-8,,NCAA
