Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,North Texas,North Texas,Thu Nov 26,105,357,Mississippi Valley St.,"W, 116-62",83,Home,1-0,,
2021,North Texas,North Texas,Sat Nov 28,103,18,Arkansas,"L, 69-54",71,Away,1-1,,
2021,North Texas,North Texas,Fri Dec 4,108,67,Mississippi St.,"L, 69-63",62,Away,1-2,,
2021,North Texas,North Texas,Fri Dec 11,108,23,West Virginia,"L, 62-50",64,Away,1-3,,
2021,North Texas,North Texas,Tue Dec 15,106,351,Arkansas Pine Bluff,"W, 81-56",68,Home,2-3,,
2021,North Texas,North Texas,Thu Dec 17,105,341,Houston Baptist,"W, 85-55",70,Home,3-3,,
2021,North Texas,North Texas,Tue Dec 22,102,NR,LSU Alexandria,"W, 110-78",79,Home,4-3,,
2021,North Texas,North Texas,Sat Jan 2,103,10,Loyola Chicago,"L, 57-49",62,Away,4-4,,
2021,North Texas,North Texas,Fri Jan 8,100,160,UTSA,"W, 77-70",66,Away,5-4,1-0,
2021,North Texas,North Texas,Sat Jan 9,98,160,UTSA,"L, 77-69",68,Away,5-5,1-1,
2021,North Texas,North Texas,Fri Jan 15,107,136,UTEP,"W, 63-33",66,Home,6-5,2-1,
2021,North Texas,North Texas,Sat Jan 16,91,136,UTEP,"W, 74-65",61,Home,7-5,3-1,
2021,North Texas,North Texas,Fri Jan 29,91,188,Rice,"W, 79-74",71,Away,8-5,4-1,
2021,North Texas,North Texas,Sun Jan 31,90,188,Rice,"W, 79-53",62,Home,9-5,5-1,
2021,North Texas,North Texas,Fri Feb 5,85,82,Louisiana Tech,"L, 68-63",62,Home,9-6,5-2,
2021,North Texas,North Texas,Sat Feb 6,88,82,Louisiana Tech,"W, 57-55",66,Home,10-6,6-2,
2021,North Texas,North Texas,Fri Feb 12,83,256,Southern Miss,"W, 65-49",63,Away,11-6,7-2,
2021,North Texas,North Texas,Sat Feb 13,79,256,Southern Miss,"W, 68-56",63,Away,12-6,8-2,
2021,North Texas,North Texas,Fri Feb 26,77,92,Marshall,"W, 77-65",70,Away,13-6,9-2,
2021,North Texas,North Texas,Sat Feb 27,69,92,Marshall,"L, 73-72",69,Away,13-7,9-3,
2021,North Texas,North Texas,Fri Mar 5,62,102,UAB,"L, 65-51",64,Home,13-8,9-4,
2021,North Texas,North Texas,Sat Mar 6,74,102,UAB,"L, 65-61",57,Home,13-9,9-5,
2021,North Texas,North Texas,Wed Mar 10,80,306,Middle Tennessee,"W, 76-56",62,Neutral,14-9,,Conference USA
2021,North Texas,North Texas,Thu Mar 11,76,152,Old Dominion,"W, 61-55",58,Neutral,15-9,,Conference USA
2021,North Texas,North Texas,Fri Mar 12,77,82,Louisiana Tech,"W, 54-48",60,Neutral,16-9,,Conference USA
2021,North Texas,North Texas,Sat Mar 13,73,99,Western Kentucky,"W, 61-57",65,Neutral,17-9,,Conference USA
2021,North Texas,North Texas,Fri Mar 19,74,25,Purdue,"W, 78-69",66,Neutral,18-9,,NCAA
2021,North Texas,North Texas,Sun Mar 21,57,12,Villanova,"L, 84-61",59,Neutral,18-10,,NCAA
