Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Ohio,Ohio,Wed Nov 25,131,356,Chicago St.,"W, 84-61",70,Neutral,1-0,,
2021,Ohio,Ohio,Thu Nov 26,127,283,North Carolina A&T,"W, 84-72",81,Neutral,2-0,,
2021,Ohio,Ohio,Fri Nov 27,128,4,Illinois,"L, 77-75",73,Away,2-1,,
2021,Ohio,Ohio,Sun Dec 6,121,169,Cleveland St.,"W, 101-46",77,Home,3-1,,
2021,Ohio,Ohio,Thu Dec 10,103,NR,Purdue Northwest,"W, 92-72",75,Home,4-1,,
2021,Ohio,Ohio,Sun Dec 13,104,92,Marshall,"L, 81-67",70,Away,4-2,,
2021,Ohio,Ohio,Tue Dec 22,110,112,Akron,"L, 90-70",65,Away,4-3,0-1,
2021,Ohio,Ohio,Wed Dec 30,119,130,Bowling Green,"L, 83-75",68,Home,4-4,0-2,
2021,Ohio,Ohio,Sat Jan 2,121,149,Ball St.,"W, 78-68",65,Away,5-4,1-2,
2021,Ohio,Ohio,Tue Jan 5,112,337,Northern Illinois,"W, 76-73",66,Home,6-4,2-2,
2021,Ohio,Ohio,Fri Jan 8,119,74,Toledo,"L, 95-78",75,Away,6-5,2-3,
2021,Ohio,Ohio,Tue Jan 12,127,157,Miami OH,"W, 78-61",67,Home,7-5,3-3,
2021,Ohio,Ohio,Sat Jan 16,120,115,Kent St.,"L, 89-79",71,Home,7-6,3-4,
2021,Ohio,Ohio,Sat Jan 23,129,149,Ball St.,"W, 85-77",76,Home,8-6,4-4,
2021,Ohio,Ohio,Tue Jan 26,128,274,Western Michigan,"W, 81-58",70,Home,9-6,5-4,
2021,Ohio,Ohio,Fri Jan 29,119,77,Buffalo,"W, 76-75",74,Away,10-6,6-4,
2021,Ohio,Ohio,Tue Feb 2,116,281,Central Michigan,"W, 83-69",76,Away,11-6,7-4,
2021,Ohio,Ohio,Tue Feb 23,108,112,Akron,"W, 90-73",73,Home,12-6,8-4,
2021,Ohio,Ohio,Thu Feb 25,96,289,Eastern Michigan,"W, 86-67",69,Home,13-6,9-4,
2021,Ohio,Ohio,Sat Feb 27,92,77,Buffalo,"L, 86-66",77,Home,13-7,9-5,
2021,Ohio,Ohio,Thu Mar 11,106,115,Kent St.,"W, 85-63",70,Neutral,14-7,,Mid American
2021,Ohio,Ohio,Fri Mar 12,87,74,Toledo,"W, 87-80",73,Neutral,15-7,,Mid American
2021,Ohio,Ohio,Sat Mar 13,83,77,Buffalo,"W, 84-69",71,Neutral,16-7,,Mid American
2021,Ohio,Ohio,Sat Mar 20,82,19,Virginia,"W, 62-58",61,Neutral,17-7,,NCAA
2021,Ohio,Ohio,Mon Mar 22,76,22,Creighton,"L, 72-58",71,Neutral,17-8,,NCAA
