Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Oklahoma,Oklahoma,Thu Dec 3,32,160,UTSA,"W, 105-66",81,Home,1-0,,
2021,Oklahoma,Oklahoma,Sun Dec 6,26,140,TCU,"W, 82-78",66,Away,2-0,1-0,
2021,Oklahoma,Oklahoma,Wed Dec 9,25,66,Xavier,"L, 99-77",69,Away,2-1,,
2021,Oklahoma,Oklahoma,Sat Dec 12,40,277,Florida A&M,"W, 85-54",70,Home,3-1,,
2021,Oklahoma,Oklahoma,Wed Dec 16,36,125,Oral Roberts,"W, 79-65",73,Home,4-1,,
2021,Oklahoma,Oklahoma,Sat Dec 19,36,341,Houston Baptist,"W, 84-65",73,Home,5-1,,
2021,Oklahoma,Oklahoma,Tue Dec 22,40,17,Texas Tech,"L, 69-67",68,Home,5-2,1-1,
2021,Oklahoma,Oklahoma,Sat Jan 2,42,23,West Virginia,"W, 75-71",73,Home,6-2,2-1,
2021,Oklahoma,Oklahoma,Wed Jan 6,44,2,Baylor,"L, 76-61",66,Away,6-3,2-2,
2021,Oklahoma,Oklahoma,Sat Jan 9,44,27,Kansas,"L, 63-59",65,Away,6-4,2-3,
2021,Oklahoma,Oklahoma,Tue Jan 12,42,140,TCU,"W, 82-46",66,Home,7-4,3-3,
2021,Oklahoma,Oklahoma,Tue Jan 19,28,147,Kansas St.,"W, 76-50",70,Home,8-4,4-3,
2021,Oklahoma,Oklahoma,Sat Jan 23,26,27,Kansas,"W, 75-68",69,Home,9-4,5-3,
2021,Oklahoma,Oklahoma,Tue Jan 26,22,26,Texas,"W, 80-79",75,Away,10-4,6-3,
2021,Oklahoma,Oklahoma,Sat Jan 30,21,9,Alabama,"W, 66-61",70,Home,11-4,,
2021,Oklahoma,Oklahoma,Mon Feb 1,20,17,Texas Tech,"L, 57-52",59,Away,11-5,6-4,
2021,Oklahoma,Oklahoma,Sat Feb 6,20,171,Iowa St.,"W, 79-72",71,Home,12-5,7-4,
2021,Oklahoma,Oklahoma,Sat Feb 13,23,23,West Virginia,"W, 91-90",85,Away,13-5,8-4,
2021,Oklahoma,Oklahoma,Sat Feb 20,26,171,Iowa St.,"W, 66-56",62,Away,14-5,9-4,
2021,Oklahoma,Oklahoma,Tue Feb 23,26,147,Kansas St.,"L, 62-57",66,Away,14-6,9-5,
2021,Oklahoma,Oklahoma,Sat Feb 27,31,33,Oklahoma St.,"L, 94-90",84,Home,14-7,9-6,
2021,Oklahoma,Oklahoma,Mon Mar 1,33,33,Oklahoma St.,"L, 79-75",73,Away,14-8,9-7,
2021,Oklahoma,Oklahoma,Thu Mar 4,31,26,Texas,"L, 69-65",62,Home,14-9,9-8,
2021,Oklahoma,Oklahoma,Wed Mar 10,38,171,Iowa St.,"W, 79-73",72,Neutral,15-9,,Big 12
2021,Oklahoma,Oklahoma,Thu Mar 11,38,27,Kansas,"L, 69-62",67,Neutral,15-10,,Big 12
2021,Oklahoma,Oklahoma,Sat Mar 20,39,47,Missouri,"W, 72-68",66,Neutral,16-10,,NCAA
2021,Oklahoma,Oklahoma,Mon Mar 22,41,1,Gonzaga,"L, 87-71",69,Neutral,16-11,,NCAA
