Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Oklahoma St.,Oklahoma St.,Wed Nov 25,34,253,UT Arlington,"W, 75-68",77,Away,1-0,,
2021,Oklahoma St.,Oklahoma St.,Sat Nov 28,36,208,Texas Southern,"W, 85-65",73,Home,2-0,,
2021,Oklahoma St.,Oklahoma St.,Tue Dec 1,35,83,Marquette,"W, 70-62",78,Away,3-0,,
2021,Oklahoma St.,Oklahoma St.,Sat Dec 5,30,221,Oakland,"W, 84-71",73,Home,4-0,,
2021,Oklahoma St.,Oklahoma St.,Tue Dec 8,36,125,Oral Roberts,"W, 83-78",76,Home,5-0,,
2021,Oklahoma St.,Oklahoma St.,Sat Dec 12,46,68,Wichita St.,"W, 67-64",71,Away,6-0,,
2021,Oklahoma St.,Oklahoma St.,Wed Dec 16,44,140,TCU,"L, 77-76",76,Home,6-1,0-1,
2021,Oklahoma St.,Oklahoma St.,Sun Dec 20,48,26,Texas,"L, 77-74",72,Away,6-2,0-2,
2021,Oklahoma St.,Oklahoma St.,Sat Jan 2,48,17,Texas Tech,"W, 82-77",76,Away,7-2,1-2,
2021,Oklahoma St.,Oklahoma St.,Mon Jan 4,38,23,West Virginia,"L, 87-84",75,Home,7-3,1-3,
2021,Oklahoma St.,Oklahoma St.,Sat Jan 9,41,147,Kansas St.,"W, 70-54",64,Away,8-3,2-3,
2021,Oklahoma St.,Oklahoma St.,Tue Jan 12,35,27,Kansas,"W, 75-70",70,Home,9-3,3-3,
2021,Oklahoma St.,Oklahoma St.,Sat Jan 23,34,2,Baylor,"L, 81-66",68,Home,9-4,3-4,
2021,Oklahoma St.,Oklahoma St.,Mon Jan 25,38,171,Iowa St.,"W, 81-60",76,Away,10-4,4-4,
2021,Oklahoma St.,Oklahoma St.,Sat Jan 30,32,18,Arkansas,"W, 81-77",76,Home,11-4,,
2021,Oklahoma St.,Oklahoma St.,Wed Feb 3,35,140,TCU,"L, 81-78",72,Away,11-5,4-5,
2021,Oklahoma St.,Oklahoma St.,Sat Feb 6,38,26,Texas,"W, 75-67",90,Home,12-5,5-5,
2021,Oklahoma St.,Oklahoma St.,Mon Feb 8,34,27,Kansas,"L, 78-66",79,Away,12-6,5-6,
2021,Oklahoma St.,Oklahoma St.,Sat Feb 13,40,147,Kansas St.,"W, 67-60",71,Home,13-6,6-6,
2021,Oklahoma St.,Oklahoma St.,Tue Feb 16,44,171,Iowa St.,"W, 76-58",71,Home,14-6,7-6,
2021,Oklahoma St.,Oklahoma St.,Mon Feb 22,43,17,Texas Tech,"W, 74-69",75,Home,15-6,8-6,
2021,Oklahoma St.,Oklahoma St.,Sat Feb 27,40,39,Oklahoma,"W, 94-90",84,Away,16-6,9-6,
2021,Oklahoma St.,Oklahoma St.,Mon Mar 1,36,39,Oklahoma,"W, 79-75",73,Home,17-6,10-6,
2021,Oklahoma St.,Oklahoma St.,Thu Mar 4,35,2,Baylor,"L, 81-70",69,Away,17-7,10-7,
2021,Oklahoma St.,Oklahoma St.,Sat Mar 6,37,23,West Virginia,"W, 85-80",73,Away,18-7,11-7,
2021,Oklahoma St.,Oklahoma St.,Thu Mar 11,37,23,West Virginia,"W, 72-69",75,Neutral,19-7,,Big 12
2021,Oklahoma St.,Oklahoma St.,Fri Mar 12,37,2,Baylor,"W, 83-74",75,Neutral,20-7,,Big 12
2021,Oklahoma St.,Oklahoma St.,Sat Mar 13,30,26,Texas,"L, 91-86",76,Neutral,20-8,,Big 12
2021,Oklahoma St.,Oklahoma St.,Fri Mar 19,30,98,Liberty,"W, 69-60",72,Neutral,21-8,,NCAA
2021,Oklahoma St.,Oklahoma St.,Sun Mar 21,29,43,Oregon St.,"L, 80-70",78,Neutral,21-9,,NCAA
