Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Oral Roberts,Oral Roberts,Wed Nov 25,204,47,Missouri,"L, 91-64",75,Away,0-1,,
2021,Oral Roberts,Oral Roberts,Sat Nov 28,210,NR,Rogers St.,"W, 93-63",77,Home,1-1,,
2021,Oral Roberts,Oral Roberts,Wed Dec 2,206,68,Wichita St.,"L, 85-80",71,Away,1-2,,
2021,Oral Roberts,Oral Roberts,Tue Dec 8,204,33,Oklahoma St.,"L, 83-78",76,Away,1-3,,
2021,Oral Roberts,Oral Roberts,Sat Dec 12,191,NR,Southwestern Christian,"W, 111-58",83,Home,2-3,,
2021,Oral Roberts,Oral Roberts,Tue Dec 15,190,NR,Bacone,"W, 96-65",81,Home,3-3,,
2021,Oral Roberts,Oral Roberts,Wed Dec 16,187,39,Oklahoma,"L, 79-65",73,Away,3-4,,
2021,Oral Roberts,Oral Roberts,Sun Dec 20,187,18,Arkansas,"L, 87-76",81,Away,3-5,,
2021,Oral Roberts,Oral Roberts,Sat Jan 2,183,300,Nebraska Omaha,"W, 95-83",74,Away,4-5,1-0,
2021,Oral Roberts,Oral Roberts,Sun Jan 3,171,300,Nebraska Omaha,"W, 86-75",74,Away,5-5,2-0,
2021,Oral Roberts,Oral Roberts,Fri Jan 8,163,272,North Dakota,"L, 72-71",66,Home,5-6,2-1,
2021,Oral Roberts,Oral Roberts,Sat Jan 9,173,272,North Dakota,"W, 74-57",72,Home,6-6,3-1,
2021,Oral Roberts,Oral Roberts,Fri Jan 15,165,338,Denver,"W, 88-84",75,Away,7-6,4-1,
2021,Oral Roberts,Oral Roberts,Sat Jan 16,166,338,Denver,"W, 91-82",74,Away,8-6,5-1,
2021,Oral Roberts,Oral Roberts,Sat Jan 23,169,203,UMKC,"W, 60-58",64,Home,9-6,6-1,
2021,Oral Roberts,Oral Roberts,Sun Jan 24,169,203,UMKC,"L, 81-76",61,Home,9-7,6-2,
2021,Oral Roberts,Oral Roberts,Fri Feb 5,181,139,North Dakota St.,"L, 61-54",65,Away,9-8,6-3,
2021,Oral Roberts,Oral Roberts,Sat Feb 6,185,139,North Dakota St.,"W, 80-74",69,Away,10-8,7-3,
2021,Oral Roberts,Oral Roberts,Sat Feb 13,183,113,South Dakota St.,"W, 103-86",82,Home,11-8,8-3,
2021,Oral Roberts,Oral Roberts,Sun Feb 14,169,113,South Dakota St.,"L, 95-80",78,Home,11-9,8-4,
2021,Oral Roberts,Oral Roberts,Sat Feb 20,180,159,South Dakota,"L, 86-84",73,Away,11-10,8-5,
2021,Oral Roberts,Oral Roberts,Sat Feb 27,181,290,Western Illinois,"W, 85-81",72,Home,12-10,9-5,
2021,Oral Roberts,Oral Roberts,Sun Feb 28,182,290,Western Illinois,"W, 95-59",83,Home,13-10,10-5,
2021,Oral Roberts,Oral Roberts,Sun Mar 7,165,272,North Dakota,"W, 76-65",71,Neutral,14-10,,Summit League
2021,Oral Roberts,Oral Roberts,Mon Mar 8,160,113,South Dakota St.,"W, 90-88",74,Neutral,15-10,,Summit League
2021,Oral Roberts,Oral Roberts,Tue Mar 9,156,139,North Dakota St.,"W, 75-72",72,Neutral,16-10,,Summit League
2021,Oral Roberts,Oral Roberts,Fri Mar 19,151,11,Ohio St.,"W, 75-72",78,Neutral,17-10,,NCAA
2021,Oral Roberts,Oral Roberts,Sun Mar 21,135,41,Florida,"W, 81-78",72,Neutral,18-10,,NCAA
2021,Oral Roberts,Oral Roberts,Sat Mar 27,128,18,Arkansas,"L, 72-70",75,Neutral,18-11,,NCAA
