Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Oregon St.,Oregon St.,Wed Nov 25,111,114,California,"W, 71-63",69,Home,1-0,,
2021,Oregon St.,Oregon St.,Fri Nov 27,110,NR,Northwest,"W, 114-42",74,Home,2-0,,
2021,Oregon St.,Oregon St.,Wed Dec 2,110,78,Washington St.,"L, 59-55",68,Away,2-1,0-1,
2021,Oregon St.,Oregon St.,Sun Dec 6,114,164,Wyoming,"L, 76-73",68,Home,2-2,,
2021,Oregon St.,Oregon St.,Thu Dec 10,122,321,Portland,"L, 87-86",79,Home,2-3,,
2021,Oregon St.,Oregon St.,Wed Dec 16,130,160,UTSA,"W, 73-61",69,Home,3-3,,
2021,Oregon St.,Oregon St.,Tue Dec 22,127,245,Portland St.,"W, 67-62",66,Home,4-3,,
2021,Oregon St.,Oregon St.,Sat Jan 2,135,114,California,"W, 73-64",63,Home,5-3,1-1,
2021,Oregon St.,Oregon St.,Mon Jan 4,130,57,Stanford,"L, 81-71",68,Home,5-4,1-2,
2021,Oregon St.,Oregon St.,Thu Jan 14,137,29,Arizona,"L, 98-64",71,Home,5-5,1-3,
2021,Oregon St.,Oregon St.,Sat Jan 16,153,86,Arizona St.,"W, 80-79",64,Home,6-5,2-3,
2021,Oregon St.,Oregon St.,Tue Jan 19,153,6,USC,"W, 58-56",60,Home,7-5,3-3,
2021,Oregon St.,Oregon St.,Sat Jan 23,141,16,Oregon,"W, 75-64",67,Away,8-5,4-3,
2021,Oregon St.,Oregon St.,Thu Jan 28,127,6,USC,"L, 75-62",66,Away,8-6,4-4,
2021,Oregon St.,Oregon St.,Sat Jan 30,126,13,UCLA,"L, 57-52",59,Away,8-7,4-5,
2021,Oregon St.,Oregon St.,Thu Feb 4,121,129,Washington,"W, 91-71",70,Home,9-7,5-5,
2021,Oregon St.,Oregon St.,Sat Feb 6,117,78,Washington St.,"W, 68-66",66,Home,10-7,6-5,
2021,Oregon St.,Oregon St.,Mon Feb 8,116,8,Colorado,"L, 78-49",70,Away,10-8,6-6,
2021,Oregon St.,Oregon St.,Thu Feb 11,121,29,Arizona,"L, 70-61",64,Away,10-9,6-7,
2021,Oregon St.,Oregon St.,Sun Feb 14,123,86,Arizona St.,"L, 75-73",70,Away,10-10,6-8,
2021,Oregon St.,Oregon St.,Thu Feb 18,121,44,Utah,"W, 74-56",70,Home,11-10,7-8,
2021,Oregon St.,Oregon St.,Sat Feb 20,107,8,Colorado,"L, 61-57",63,Home,11-11,7-9,
2021,Oregon St.,Oregon St.,Thu Feb 25,107,114,California,"W, 59-57",59,Away,12-11,8-9,
2021,Oregon St.,Oregon St.,Sat Feb 27,111,57,Stanford,"W, 73-62",63,Away,13-11,9-9,
2021,Oregon St.,Oregon St.,Wed Mar 3,100,44,Utah,"W, 75-70",64,Away,14-11,10-9,
2021,Oregon St.,Oregon St.,Sun Mar 7,93,16,Oregon,"L, 80-67",60,Home,14-12,10-10,
2021,Oregon St.,Oregon St.,Thu Mar 11,103,13,UCLA,"W, 83-79",75,Neutral,15-12,,Pac 12
2021,Oregon St.,Oregon St.,Fri Mar 12,96,16,Oregon,"W, 75-64",64,Neutral,16-12,,Pac 12
2021,Oregon St.,Oregon St.,Sat Mar 13,85,8,Colorado,"W, 70-68",59,Neutral,17-12,,Pac 12
2021,Oregon St.,Oregon St.,Fri Mar 19,84,28,Tennessee,"W, 70-56",67,Neutral,18-12,,NCAA
2021,Oregon St.,Oregon St.,Sun Mar 21,63,33,Oklahoma St.,"W, 80-70",78,Neutral,19-12,,NCAA
2021,Oregon St.,Oregon St.,Sat Mar 27,48,10,Loyola Chicago,"W, 65-58",60,Neutral,20-12,,NCAA
2021,Oregon St.,Oregon St.,Mon Mar 29,43,5,Houston,"L, 67-61",61,Neutral,20-13,,NCAA
