Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Rutgers,Rutgers,Wed Nov 25,27,324,Sacred Heart,"W, 86-63",72,Home,1-0,,
2021,Rutgers,Rutgers,Fri Nov 27,27,299,Fairleigh Dickinson,"W, 96-75",78,Home,2-0,,
2021,Rutgers,Rutgers,Sun Nov 29,29,190,Hofstra,"W, 70-56",75,Home,3-0,,
2021,Rutgers,Rutgers,Tue Dec 8,32,42,Syracuse,"W, 79-69",72,Home,4-0,,
2021,Rutgers,Rutgers,Mon Dec 14,28,35,Maryland,"W, 74-60",67,Away,5-0,1-0,
2021,Rutgers,Rutgers,Sun Dec 20,18,4,Illinois,"W, 91-88",73,Home,6-0,2-0,
2021,Rutgers,Rutgers,Wed Dec 23,18,11,Ohio St.,"L, 80-68",71,Away,6-1,2-1,
2021,Rutgers,Rutgers,Tue Dec 29,18,25,Purdue,"W, 81-76",64,Home,7-1,3-1,
2021,Rutgers,Rutgers,Sat Jan 2,19,7,Iowa,"L, 77-75",71,Home,7-2,3-2,
2021,Rutgers,Rutgers,Tue Jan 5,19,64,Michigan St.,"L, 68-45",68,Away,7-3,3-3,
2021,Rutgers,Rutgers,Sat Jan 9,29,11,Ohio St.,"L, 79-68",66,Home,7-4,3-4,
2021,Rutgers,Rutgers,Fri Jan 15,39,14,Wisconsin,"L, 60-54",64,Home,7-5,3-5,
2021,Rutgers,Rutgers,Thu Jan 21,39,40,Penn St.,"L, 75-67",70,Away,7-6,3-6,
2021,Rutgers,Rutgers,Sun Jan 24,44,50,Indiana,"W, 74-70",66,Away,8-6,4-6,
2021,Rutgers,Rutgers,Thu Jan 28,40,64,Michigan St.,"W, 67-37",65,Home,9-6,5-6,
2021,Rutgers,Rutgers,Sun Jan 31,28,79,Northwestern,"W, 64-56",70,Away,10-6,6-6,
2021,Rutgers,Rutgers,Thu Feb 4,25,62,Minnesota,"W, 76-72",65,Home,11-6,7-6,
2021,Rutgers,Rutgers,Wed Feb 10,24,7,Iowa,"L, 79-66",65,Away,11-7,7-7,
2021,Rutgers,Rutgers,Sat Feb 13,26,79,Northwestern,"W, 64-50",65,Home,12-7,8-7,
2021,Rutgers,Rutgers,Thu Feb 18,26,3,Michigan,"L, 71-64",65,Away,12-8,8-8,
2021,Rutgers,Rutgers,Sun Feb 21,26,35,Maryland,"L, 68-59",67,Home,12-9,8-9,
2021,Rutgers,Rutgers,Wed Feb 24,28,50,Indiana,"W, 74-63",70,Home,13-9,9-9,
2021,Rutgers,Rutgers,Mon Mar 1,27,109,Nebraska,"L, 72-51",67,Away,13-10,9-10,
2021,Rutgers,Rutgers,Sat Mar 6,32,62,Minnesota,"W, 77-70",77,Away,14-10,10-10,
2021,Rutgers,Rutgers,Thu Mar 11,33,50,Indiana,"W, 61-50",63,Neutral,15-10,,Big Ten
2021,Rutgers,Rutgers,Fri Mar 12,31,4,Illinois,"L, 90-68",73,Neutral,15-11,,Big Ten
2021,Rutgers,Rutgers,Fri Mar 19,34,45,Clemson,"W, 60-56",64,Neutral,16-11,,NCAA
2021,Rutgers,Rutgers,Sun Mar 21,34,5,Houston,"L, 63-60",62,Neutral,16-12,,NCAA
