Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,UC Santa Barbara,UC Santa Barbara,Sun Nov 29,130,NR,Saint Katherine,"W, 92-55",69,Home,1-0,,
2021,UC Santa Barbara,UC Santa Barbara,Thu Dec 3,130,NR,Bethesda,"W, 123-52",76,Home,2-0,,
2021,UC Santa Barbara,UC Santa Barbara,Mon Dec 7,130,94,Loyola Marymount,"W, 69-58",65,Home,3-0,,
2021,UC Santa Barbara,UC Santa Barbara,Sat Dec 12,123,94,Loyola Marymount,"L, 81-76",70,Away,3-1,,
2021,UC Santa Barbara,UC Santa Barbara,Sat Dec 19,128,90,Pepperdine,"W, 75-63",71,Away,4-1,,
2021,UC Santa Barbara,UC Santa Barbara,Sun Dec 27,115,107,UC Irvine,"L, 75-56",71,Away,4-2,0-1,
2021,UC Santa Barbara,UC Santa Barbara,Mon Dec 28,126,107,UC Irvine,"L, 73-69",65,Away,4-3,0-2,
2021,UC Santa Barbara,UC Santa Barbara,Fri Jan 1,130,255,Cal St. Fullerton,"W, 81-63",71,Home,5-3,1-2,
2021,UC Santa Barbara,UC Santa Barbara,Sat Jan 2,123,255,Cal St. Fullerton,"W, 65-61",70,Home,6-3,2-2,
2021,UC Santa Barbara,UC Santa Barbara,Fri Jan 15,130,231,UC San Diego,"W, 69-52",68,Home,7-3,,
2021,UC Santa Barbara,UC Santa Barbara,Sat Jan 16,125,231,UC San Diego,"W, 84-53",66,Home,8-3,,
2021,UC Santa Barbara,UC Santa Barbara,Fri Jan 22,114,259,Cal St. Northridge,"W, 105-58",72,Away,9-3,3-2,
2021,UC Santa Barbara,UC Santa Barbara,Sat Jan 23,92,259,Cal St. Northridge,"W, 80-66",66,Away,10-3,4-2,
2021,UC Santa Barbara,UC Santa Barbara,Fri Jan 29,89,209,UC Davis,"W, 72-51",67,Away,11-3,5-2,
2021,UC Santa Barbara,UC Santa Barbara,Sat Jan 30,86,209,UC Davis,"W, 89-86",77,Away,12-3,6-2,
2021,UC Santa Barbara,UC Santa Barbara,Fri Feb 12,82,187,Hawaii,"W, 59-50",62,Away,13-3,7-2,
2021,UC Santa Barbara,UC Santa Barbara,Sat Feb 13,82,187,Hawaii,"W, 81-74",78,Away,14-3,8-2,
2021,UC Santa Barbara,UC Santa Barbara,Fri Feb 19,82,132,Cal St. Bakersfield,"W, 71-66",58,Home,15-3,9-2,
2021,UC Santa Barbara,UC Santa Barbara,Sat Feb 20,80,132,Cal St. Bakersfield,"W, 63-44",56,Home,16-3,10-2,
2021,UC Santa Barbara,UC Santa Barbara,Fri Feb 26,74,106,UC Riverside,"W, 72-68",60,Away,17-3,11-2,
2021,UC Santa Barbara,UC Santa Barbara,Sat Feb 27,67,106,UC Riverside,"L, 68-52",65,Away,17-4,11-3,
2021,UC Santa Barbara,UC Santa Barbara,Fri Mar 5,75,329,Cal Poly,"W, 71-57",65,Home,18-4,12-3,
2021,UC Santa Barbara,UC Santa Barbara,Sat Mar 6,75,329,Cal Poly,"W, 70-54",65,Home,19-4,13-3,
2021,UC Santa Barbara,UC Santa Barbara,Thu Mar 11,72,242,Long Beach St.,"W, 95-87",79,Neutral,20-4,,Big West
2021,UC Santa Barbara,UC Santa Barbara,Fri Mar 12,76,209,UC Davis,"W, 71-55",66,Neutral,21-4,,Big West
2021,UC Santa Barbara,UC Santa Barbara,Sat Mar 13,74,107,UC Irvine,"W, 79-63",64,Neutral,22-4,,Big West
2021,UC Santa Barbara,UC Santa Barbara,Sat Mar 20,71,22,Creighton,"L, 63-62",63,Neutral,22-5,,NCAA
