Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2021,Winthrop,Winthrop,Tue Dec 1,133,108,UNC Greensboro,"W, 75-67",80,Neutral,1-0,,
2021,Winthrop,Winthrop,Thu Dec 3,126,239,Little Rock,"W, 80-75",72,Neutral,2-0,,
2021,Winthrop,Winthrop,Sat Dec 12,125,322,USC Upstate,"W, 95-77",77,Away,3-0,1-0,
2021,Winthrop,Winthrop,Sun Dec 13,118,322,USC Upstate,"W, 107-77",76,Away,4-0,2-0,
2021,Winthrop,Winthrop,Sat Dec 19,113,96,Furman,"W, 87-71",84,Home,5-0,,
2021,Winthrop,Winthrop,Wed Dec 30,98,211,Campbell,"W, 84-83",81,Home,6-0,3-0,
2021,Winthrop,Winthrop,Thu Dec 31,107,211,Campbell,"W, 94-76",78,Home,7-0,4-0,
2021,Winthrop,Winthrop,Mon Jan 4,104,339,Charleston Southern,"W, 85-69",75,Away,8-0,5-0,
2021,Winthrop,Winthrop,Tue Jan 5,101,339,Charleston Southern,"W, 78-76",74,Away,9-0,6-0,
2021,Winthrop,Winthrop,Sat Jan 9,103,182,Gardner Webb,"W, 75-65",80,Home,10-0,7-0,
2021,Winthrop,Winthrop,Sun Jan 10,104,182,Gardner Webb,"W, 91-83",79,Home,11-0,8-0,
2021,Winthrop,Winthrop,Thu Jan 14,106,247,Longwood,"W, 72-61",70,Home,12-0,9-0,
2021,Winthrop,Winthrop,Fri Jan 15,113,247,Longwood,"W, 70-50",67,Home,13-0,10-0,
2021,Winthrop,Winthrop,Tue Jan 19,109,326,Presbyterian,"W, 72-58",69,Away,14-0,11-0,
2021,Winthrop,Winthrop,Wed Jan 20,107,326,Presbyterian,"W, 78-66",69,Away,15-0,12-0,
2021,Winthrop,Winthrop,Thu Jan 28,107,244,UNC Asheville,"W, 84-80",73,Home,16-0,13-0,
2021,Winthrop,Winthrop,Fri Jan 29,111,244,UNC Asheville,"L, 57-55",60,Home,16-1,13-1,
2021,Winthrop,Winthrop,Thu Feb 11,125,243,Radford,"W, 80-64",66,Away,17-1,14-1,
2021,Winthrop,Winthrop,Fri Feb 12,112,243,Radford,"W, 55-47",64,Away,18-1,15-1,
2021,Winthrop,Winthrop,Thu Feb 18,102,284,High Point,"W, 76-70",71,Away,19-1,16-1,
2021,Winthrop,Winthrop,Fri Feb 19,104,284,High Point,"W, 71-63",71,Away,20-1,17-1,
2021,Winthrop,Winthrop,Mon Mar 1,110,284,High Point,"W, 83-54",73,Home,21-1,,Big South
2021,Winthrop,Winthrop,Thu Mar 4,104,247,Longwood,"W, 82-61",65,Home,22-1,,Big South
2021,Winthrop,Winthrop,Sun Mar 7,99,211,Campbell,"W, 80-53",70,Home,23-1,,Big South
2021,Winthrop,Winthrop,Fri Mar 19,91,12,Villanova,"L, 73-63",65,Neutral,23-2,,NCAA
