Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Alabama,Alabama,Tue Nov 9,19,100,Louisiana Tech,"W, 93-64",72,Home,1-0,,
2022,Alabama,Alabama,Fri Nov 12,10,81,South Dakota St.,"W, 104-88",81,Home,2-0,,
2022,Alabama,Alabama,Tue Nov 16,12,157,South Alabama,"W, 73-68",81,Home,3-0,,
2022,Alabama,Alabama,Fri Nov 19,20,188,Oakland,"W, 86-59",71,Home,4-0,,
2022,Alabama,Alabama,Thu Nov 25,17,89,Iona,"L, 72-68",75,Neutral,4-1,,
2022,Alabama,Alabama,Fri Nov 26,24,84,Drake,"W, 80-71",74,Neutral,5-1,,
2022,Alabama,Alabama,Sun Nov 28,23,41,Miami FL,"W, 96-64",71,Neutral,6-1,,
2022,Alabama,Alabama,Sat Dec 4,12,1,Gonzaga,"W, 91-82",80,Semi-Away,7-1,,
2022,Alabama,Alabama,Sat Dec 11,10,2,Houston,"W, 83-82",70,Home,8-1,,
2022,Alabama,Alabama,Tue Dec 14,11,24,Memphis,"L, 92-78",76,Away,8-2,,
2022,Alabama,Alabama,Sat Dec 18,13,148,Jacksonville St.,"W, 65-59",64,Home,9-2,,
2022,Alabama,Alabama,Tue Dec 21,16,40,Davidson,"L, 79-78",67,Semi-Home,9-3,,
2022,Alabama,Alabama,Wed Dec 29,19,9,Tennessee,"W, 73-68",74,Home,10-3,1-0,
2022,Alabama,Alabama,Wed Jan 5,17,59,Florida,"W, 83-70",72,Away,11-3,2-0,
2022,Alabama,Alabama,Sat Jan 8,16,137,Missouri,"L, 92-86",70,Away,11-4,2-1,
2022,Alabama,Alabama,Tue Jan 11,17,12,Auburn,"L, 81-77",81,Home,11-5,2-2,
2022,Alabama,Alabama,Sat Jan 15,17,49,Mississippi St.,"L, 78-76",72,Away,11-6,2-3,
2022,Alabama,Alabama,Wed Jan 19,16,21,LSU,"W, 70-67",74,Home,12-6,3-3,
2022,Alabama,Alabama,Sat Jan 22,16,137,Missouri,"W, 86-76",65,Home,13-6,4-3,
2022,Alabama,Alabama,Tue Jan 25,16,219,Georgia,"L, 82-76",75,Away,13-7,4-4,
2022,Alabama,Alabama,Sat Jan 29,19,4,Baylor,"W, 87-78",69,Home,14-7,,
2022,Alabama,Alabama,Tue Feb 1,18,12,Auburn,"L, 100-81",80,Away,14-8,4-5,
2022,Alabama,Alabama,Sat Feb 5,18,6,Kentucky,"L, 66-55",74,Home,14-9,4-6,
2022,Alabama,Alabama,Wed Feb 9,18,108,Mississippi,"W, 97-83",72,Away,15-9,5-6,
2022,Alabama,Alabama,Sat Feb 12,18,18,Arkansas,"W, 68-67",77,Home,16-9,6-6,
2022,Alabama,Alabama,Wed Feb 16,19,49,Mississippi St.,"W, 80-75",74,Home,17-9,7-6,
2022,Alabama,Alabama,Sat Feb 19,19,6,Kentucky,"L, 90-81",64,Away,17-10,7-7,
2022,Alabama,Alabama,Tue Feb 22,20,64,Vanderbilt,"W, 74-72",74,Away,18-10,8-7,
2022,Alabama,Alabama,Sat Feb 26,22,99,South Carolina,"W, 90-71",76,Home,19-10,9-7,
2022,Alabama,Alabama,Wed Mar 2,21,33,Texas A&M,"L, 87-71",74,Home,19-11,9-8,
2022,Alabama,Alabama,Sat Mar 5,22,21,LSU,"L, 80-77",75,Away,19-12,9-9,
2022,Alabama,Alabama,Thu Mar 10,22,64,Vanderbilt,"L, 82-76",82,Neutral,19-13,,Southeastern
2022,Alabama,Alabama,Fri Mar 18,25,38,Notre Dame,"L, 78-64",72,Neutral,19-14,,NCAA
