Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Boise St.,Boise St.,Tue Nov 9,80,119,Utah Valley,"W, 76-56",68,Home,1-0,,
2022,Boise St.,Boise St.,Sat Nov 13,70,133,UC Irvine,"L, 58-50",65,Away,1-1,,
2022,Boise St.,Boise St.,Thu Nov 18,75,78,St. Bonaventure,"L, 67-61",61,Neutral,1-2,,
2022,Boise St.,Boise St.,Fri Nov 19,77,116,Temple,"W, 82-62",63,Neutral,2-2,,
2022,Boise St.,Boise St.,Sun Nov 21,66,108,Mississippi,"W, 60-50",67,Neutral,3-2,,
2022,Boise St.,Boise St.,Fri Nov 26,55,276,Cal St. Bakersfield,"L, 46-39",61,Home,3-3,,
2022,Boise St.,Boise St.,Tue Nov 30,68,68,Saint Louis,"L, 86-82",76,Home,3-4,,
2022,Boise St.,Boise St.,Fri Dec 3,75,171,Tulsa,"W, 63-58",68,Home,4-4,,
2022,Boise St.,Boise St.,Tue Dec 7,80,332,Cal St. Northridge,"W, 74-48",64,Away,5-4,,
2022,Boise St.,Boise St.,Fri Dec 10,65,281,Prairie View A&M,"W, 97-60",81,Home,6-4,,
2022,Boise St.,Boise St.,Tue Dec 14,63,76,Santa Clara,"W, 72-60",70,Home,7-4,,
2022,Boise St.,Boise St.,Sun Dec 19,61,NR,Montana Tech,"W, 88-57",70,Home,8-4,,
2022,Boise St.,Boise St.,Wed Dec 22,61,44,Washington St.,"W, 58-52",65,Semi-Away,9-4,,
2022,Boise St.,Boise St.,Tue Dec 28,57,73,Fresno St.,"W, 65-55",59,Home,10-4,1-0,
2022,Boise St.,Boise St.,Wed Jan 12,50,115,Nevada,"W, 85-70",75,Away,11-4,2-0,
2022,Boise St.,Boise St.,Sat Jan 15,40,161,New Mexico,"W, 71-63",66,Away,12-4,3-0,
2022,Boise St.,Boise St.,Tue Jan 18,41,269,Air Force,"W, 62-56",62,Home,13-4,4-0,
2022,Boise St.,Boise St.,Thu Jan 20,51,60,Utah St.,"W, 62-59",64,Away,14-4,5-0,
2022,Boise St.,Boise St.,Sat Jan 22,46,25,San Diego St.,"W, 42-37",61,Away,15-4,6-0,
2022,Boise St.,Boise St.,Tue Jan 25,41,65,Wyoming,"W, 65-62",63,Home,16-4,7-0,
2022,Boise St.,Boise St.,Fri Jan 28,40,73,Fresno St.,"W, 68-63",67,Away,17-4,8-0,
2022,Boise St.,Boise St.,Thu Feb 3,30,65,Wyoming,"L, 72-65",63,Away,17-5,8-1,
2022,Boise St.,Boise St.,Sat Feb 5,30,288,San Jose St.,"W, 76-60",68,Home,18-5,9-1,
2022,Boise St.,Boise St.,Fri Feb 11,30,90,UNLV,"W, 69-63",63,Home,19-5,10-1,
2022,Boise St.,Boise St.,Sun Feb 13,35,46,Colorado St.,"L, 77-74",66,Home,19-6,10-2,
2022,Boise St.,Boise St.,Wed Feb 16,40,269,Air Force,"W, 85-59",61,Away,20-6,11-2,
2022,Boise St.,Boise St.,Sat Feb 19,33,60,Utah St.,"W, 68-57",65,Home,21-6,12-2,
2022,Boise St.,Boise St.,Tue Feb 22,26,25,San Diego St.,"W, 58-57",60,Home,22-6,13-2,
2022,Boise St.,Boise St.,Sat Feb 26,27,90,UNLV,"W, 86-76",66,Away,23-6,14-2,
2022,Boise St.,Boise St.,Tue Mar 1,26,115,Nevada,"W, 73-67",68,Home,24-6,15-2,
2022,Boise St.,Boise St.,Sat Mar 5,29,46,Colorado St.,"L, 71-68",61,Away,24-7,15-3,
2022,Boise St.,Boise St.,Thu Mar 10,26,115,Nevada,"W, 71-69",68,Neutral,25-7,,Mountain West
2022,Boise St.,Boise St.,Fri Mar 11,29,65,Wyoming,"W, 68-61",68,Neutral,26-7,,Mountain West
2022,Boise St.,Boise St.,Sat Mar 12,28,25,San Diego St.,"W, 53-52",60,Neutral,27-7,,Mountain West
2022,Boise St.,Boise St.,Thu Mar 17,29,24,Memphis,"L, 64-53",61,Neutral,27-8,,NCAA
