Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Cal St. Fullerton,Cal St. Fullerton,Tue Nov 9,206,76,Santa Clara,"L, 84-77",67,Away,0-1,,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Nov 11,199,288,San Jose St.,"L, 78-76",66,Away,0-2,,
2022,Cal St. Fullerton,Cal St. Fullerton,Tue Nov 16,211,226,George Washington,"W, 74-59",67,Home,1-2,,
2022,Cal St. Fullerton,Cal St. Fullerton,Fri Nov 19,194,232,San Diego,"W, 57-55",64,Away,2-2,,
2022,Cal St. Fullerton,Cal St. Fullerton,Tue Nov 23,186,301,UT Rio Grande Valley,"L, 72-67",73,Neutral,2-3,,
2022,Cal St. Fullerton,Cal St. Fullerton,Wed Nov 24,194,334,Northern Arizona,"W, 73-56",62,Away,3-3,,
2022,Cal St. Fullerton,Cal St. Fullerton,Mon Nov 29,184,65,Wyoming,"L, 79-66",64,Home,3-4,,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Dec 4,197,293,Pacific,"W, 66-57",68,Home,4-4,,
2022,Cal St. Fullerton,Cal St. Fullerton,Wed Dec 8,193,25,San Diego St.,"L, 66-56",66,Away,4-5,,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Dec 11,188,NR,Life Pacific,"W, 87-59",72,Home,5-5,,
2022,Cal St. Fullerton,Cal St. Fullerton,Fri Dec 17,192,NR,Redlands,"W, 93-78",84,Home,6-5,,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Dec 30,189,276,Cal St. Bakersfield,"W, 73-67",70,Away,7-5,1-0,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Jan 13,177,332,Cal St. Northridge,"W, 79-64",70,Home,8-5,2-0,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Jan 15,168,135,UC Santa Barbara,"W, 79-73",71,Home,9-5,3-0,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Jan 20,165,133,UC Irvine,"W, 65-63",59,Away,10-5,4-0,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Jan 22,156,261,UC San Diego,"W, 83-80",68,Home,11-5,,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Jan 27,154,221,UC Davis,"W, 74-58",68,Away,12-5,5-0,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Jan 29,142,177,UC Riverside,"L, 67-54",70,Away,12-6,5-1,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Feb 3,144,308,Cal Poly,"W, 61-50",66,Home,13-6,6-1,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Feb 5,141,276,Cal St. Bakersfield,"W, 75-61",69,Home,14-6,7-1,
2022,Cal St. Fullerton,Cal St. Fullerton,Tue Feb 8,141,160,Long Beach St.,"L, 71-61",69,Away,14-7,7-2,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Feb 12,143,169,Hawaii,"L, 72-55",68,Away,14-8,7-3,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Feb 17,157,135,UC Santa Barbara,"W, 67-58",60,Away,15-8,8-3,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Feb 19,148,332,Cal St. Northridge,"W, 81-73",63,Away,16-8,9-3,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Feb 24,147,133,UC Irvine,"W, 66-64",64,Home,17-8,10-3,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Feb 26,146,261,UC San Diego,"L, 81-76",70,Away,17-9,,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Mar 3,152,177,UC Riverside,"L, 75-72",64,Home,17-10,10-4,
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Mar 5,163,221,UC Davis,"W, 62-59",70,Home,18-10,11-4,
2022,Cal St. Fullerton,Cal St. Fullerton,Thu Mar 10,163,221,UC Davis,"W, 73-55",65,Neutral,19-10,,Big West
2022,Cal St. Fullerton,Cal St. Fullerton,Fri Mar 11,154,169,Hawaii,"W, 58-46",65,Neutral,20-10,,Big West
2022,Cal St. Fullerton,Cal St. Fullerton,Sat Mar 12,149,160,Long Beach St.,"W, 72-71",62,Neutral,21-10,,Big West
2022,Cal St. Fullerton,Cal St. Fullerton,Fri Mar 18,149,8,Duke,"L, 78-61",65,Neutral,21-11,,NCAA
