Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Colorado St.,Colorado St.,Tue Nov 9,72,165,Oral Roberts,"W, 109-80",76,Home,1-0,,
2022,Colorado St.,Colorado St.,Fri Nov 12,54,352,Arkansas Pine Bluff,"W, 91-71",74,Home,2-0,,
2022,Colorado St.,Colorado St.,Sun Nov 14,60,NR,Peru St.,"W, 88-62",70,Home,3-0,,
2022,Colorado St.,Colorado St.,Fri Nov 19,55,96,Bradley,"W, 66-60",71,Neutral,4-0,,
2022,Colorado St.,Colorado St.,Sun Nov 21,61,50,Creighton,"W, 95-81",71,Neutral,5-0,,
2022,Colorado St.,Colorado St.,Mon Nov 22,53,255,Northeastern,"W, 71-61",66,Neutral,6-0,,
2022,Colorado St.,Colorado St.,Sat Nov 27,49,216,Northern Colorado,"W, 88-79",65,Home,7-0,,
2022,Colorado St.,Colorado St.,Wed Dec 1,52,328,Little Rock,"W, 86-55",70,Home,8-0,,
2022,Colorado St.,Colorado St.,Sat Dec 4,45,17,Saint Mary's,"W, 74-58",67,Home,9-0,,
2022,Colorado St.,Colorado St.,Sat Dec 11,40,49,Mississippi St.,"W, 66-63",64,Neutral,10-0,,
2022,Colorado St.,Colorado St.,Tue Jan 4,35,269,Air Force,"W, 67-59",59,Home,11-0,1-0,
2022,Colorado St.,Colorado St.,Sat Jan 8,39,25,San Diego St.,"L, 79-49",67,Away,11-1,1-1,
2022,Colorado St.,Colorado St.,Wed Jan 12,51,60,Utah St.,"W, 77-72",67,Home,12-1,2-1,
2022,Colorado St.,Colorado St.,Sat Jan 15,49,288,San Jose St.,"W, 78-42",65,Away,13-1,3-1,
2022,Colorado St.,Colorado St.,Wed Jan 19,39,161,New Mexico,"W, 80-74",65,Home,14-1,4-1,
2022,Colorado St.,Colorado St.,Sat Jan 22,42,269,Air Force,"W, 73-53",68,Away,15-1,5-1,
2022,Colorado St.,Colorado St.,Tue Jan 25,37,115,Nevada,"W, 77-66",68,Home,16-1,6-1,
2022,Colorado St.,Colorado St.,Fri Jan 28,35,90,UNLV,"L, 88-74",68,Home,16-2,6-2,
2022,Colorado St.,Colorado St.,Mon Jan 31,48,65,Wyoming,"L, 84-78",78,Away,16-3,6-3,
2022,Colorado St.,Colorado St.,Fri Feb 4,52,25,San Diego St.,"W, 58-57",68,Home,17-3,7-3,
2022,Colorado St.,Colorado St.,Tue Feb 8,52,115,Nevada,"W, 82-72",67,Away,18-3,8-3,
2022,Colorado St.,Colorado St.,Fri Feb 11,48,73,Fresno St.,"W, 65-50",58,Home,19-3,9-3,
2022,Colorado St.,Colorado St.,Sun Feb 13,37,39,Boise St.,"W, 77-74",66,Away,20-3,10-3,
2022,Colorado St.,Colorado St.,Thu Feb 17,33,161,New Mexico,"W, 83-68",68,Away,21-3,11-3,
2022,Colorado St.,Colorado St.,Sat Feb 19,28,90,UNLV,"L, 72-51",61,Away,21-4,11-4,
2022,Colorado St.,Colorado St.,Wed Feb 23,40,65,Wyoming,"W, 61-55",62,Home,22-4,12-4,
2022,Colorado St.,Colorado St.,Sat Feb 26,36,60,Utah St.,"W, 66-55",63,Away,23-4,13-4,
2022,Colorado St.,Colorado St.,Sat Mar 5,31,39,Boise St.,"W, 71-68",61,Home,24-4,14-4,
2022,Colorado St.,Colorado St.,Thu Mar 10,33,60,Utah St.,"W, 53-51",59,Neutral,25-4,,Mountain West
2022,Colorado St.,Colorado St.,Fri Mar 11,30,25,San Diego St.,"L, 63-58",59,Neutral,25-5,,Mountain West
2022,Colorado St.,Colorado St.,Thu Mar 17,34,27,Michigan,"L, 75-63",69,Neutral,25-6,,NCAA
