Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Davidson,Davidson,Tue Nov 9,91,141,Delaware,"W, 93-71",69,Home,1-0,,
2022,Davidson,Davidson,Sat Nov 13,80,23,San Francisco,"L, 65-60",70,Semi-Away,1-1,,
2022,Davidson,Davidson,Thu Nov 18,77,80,New Mexico St.,"L, 75-64",64,Neutral,1-2,,
2022,Davidson,Davidson,Fri Nov 19,87,211,Penn,"W, 72-60",61,Neutral,2-2,,
2022,Davidson,Davidson,Sun Nov 21,86,179,East Carolina,"W, 76-67",66,Neutral,3-2,,
2022,Davidson,Davidson,Sat Nov 27,81,327,Robert Morris,"W, 88-70",70,Home,4-2,,
2022,Davidson,Davidson,Tue Nov 30,81,201,Charlotte,"W, 75-58",64,Away,5-2,,
2022,Davidson,Davidson,Sat Dec 4,69,338,William & Mary,"W, 70-46",70,Home,6-2,,
2022,Davidson,Davidson,Sun Dec 12,67,255,Northeastern,"W, 79-69",66,Away,7-2,,
2022,Davidson,Davidson,Sat Dec 18,61,283,Radford,"W, 74-54",62,Home,8-2,,
2022,Davidson,Davidson,Tue Dec 21,59,28,Alabama,"W, 79-78",67,Semi-Away,9-2,,
2022,Davidson,Davidson,Wed Dec 22,56,NR,Johnson & Wales NC,"W, 106-64",81,Home,10-2,,
2022,Davidson,Davidson,Wed Jan 5,55,163,Saint Joseph's,"W, 88-73",72,Away,11-2,1-0,
2022,Davidson,Davidson,Sat Jan 8,45,132,Rhode Island,"W, 72-68",63,Home,12-2,2-0,
2022,Davidson,Davidson,Tue Jan 11,47,185,Massachusetts,"W, 77-67",66,Home,13-2,3-0,
2022,Davidson,Davidson,Fri Jan 14,45,85,Richmond,"W, 87-84",68,Away,14-2,4-0,
2022,Davidson,Davidson,Tue Jan 18,47,63,VCU,"W, 63-61",61,Away,15-2,5-0,
2022,Davidson,Davidson,Sat Jan 22,45,173,Fordham,"W, 69-66",63,Away,16-2,6-0,
2022,Davidson,Davidson,Wed Jan 26,49,63,VCU,"L, 70-68",66,Home,16-3,6-1,
2022,Davidson,Davidson,Sat Jan 29,50,229,La Salle,"W, 77-69",67,Home,17-3,7-1,
2022,Davidson,Davidson,Tue Feb 1,53,78,St. Bonaventure,"W, 81-76",68,Away,18-3,8-1,
2022,Davidson,Davidson,Sat Feb 5,55,226,George Washington,"W, 78-73",64,Away,19-3,9-1,
2022,Davidson,Davidson,Wed Feb 9,59,163,Saint Joseph's,"W, 73-67",68,Home,20-3,10-1,
2022,Davidson,Davidson,Sat Feb 12,63,132,Rhode Island,"L, 72-65",64,Away,20-4,10-2,
2022,Davidson,Davidson,Mon Feb 14,65,280,Duquesne,"W, 72-61",67,Home,21-4,11-2,
2022,Davidson,Davidson,Sat Feb 19,67,68,Saint Louis,"W, 79-58",66,Home,22-4,12-2,
2022,Davidson,Davidson,Wed Feb 23,54,280,Duquesne,"W, 74-50",60,Away,23-4,13-2,
2022,Davidson,Davidson,Sat Feb 26,50,173,Fordham,"W, 66-45",73,Home,24-4,14-2,
2022,Davidson,Davidson,Wed Mar 2,46,113,George Mason,"W, 73-62",64,Home,25-4,15-2,
2022,Davidson,Davidson,Sat Mar 5,46,45,Dayton,"L, 82-76",62,Away,25-5,15-3,
2022,Davidson,Davidson,Fri Mar 11,47,173,Fordham,"W, 74-56",67,Neutral,26-5,,Atlantic 10
2022,Davidson,Davidson,Sat Mar 12,42,68,Saint Louis,"W, 84-69",69,Neutral,27-5,,Atlantic 10
2022,Davidson,Davidson,Sun Mar 13,35,85,Richmond,"L, 64-62",65,Neutral,27-6,,Atlantic 10
2022,Davidson,Davidson,Fri Mar 18,37,42,Michigan St.,"L, 74-73",64,Neutral,27-7,,NCAA
