Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Delaware,Delaware,Tue Nov 9,150,40,Davidson,"L, 93-71",69,Away,0-1,,
2022,Delaware,Delaware,Sat Nov 13,163,239,Siena,"W, 83-63",67,Away,1-1,,
2022,Delaware,Delaware,Wed Nov 17,150,229,La Salle,"W, 85-82",78,Home,2-1,,
2022,Delaware,Delaware,Mon Nov 22,159,166,Appalachian St.,"W, 75-68",64,Neutral,3-1,,
2022,Delaware,Delaware,Tue Nov 23,152,173,Fordham,"W, 81-71",71,Neutral,4-1,,
2022,Delaware,Delaware,Wed Nov 24,149,188,Oakland,"L, 81-73",71,Neutral,4-2,,
2022,Delaware,Delaware,Sat Nov 27,151,116,Temple,"L, 75-74",70,Away,4-3,,
2022,Delaware,Delaware,Tue Nov 30,147,235,LIU,"W, 75-67",69,Home,5-3,,
2022,Delaware,Delaware,Thu Dec 2,145,356,Delaware St.,"W, 59-48",66,Away,6-3,,
2022,Delaware,Delaware,Sun Dec 5,146,240,UMBC,"W, 70-60",71,Home,7-3,,
2022,Delaware,Delaware,Wed Dec 8,139,323,Lafayette,"W, 68-58",63,Home,8-3,,
2022,Delaware,Delaware,Fri Dec 10,141,NR,Moravian,"W, 94-55",77,Home,9-3,,
2022,Delaware,Delaware,Tue Dec 21,148,89,Iona,"L, 83-72",73,Neutral,9-4,,
2022,Delaware,Delaware,Wed Dec 29,153,146,UNC Wilmington,"L, 70-68",64,Away,9-5,0-1,
2022,Delaware,Delaware,Fri Dec 31,154,144,Charleston,"W, 67-66",70,Away,10-5,1-1,
2022,Delaware,Delaware,Tue Jan 11,150,153,Drexel,"W, 81-77",63,Away,11-5,2-1,
2022,Delaware,Delaware,Sat Jan 15,143,120,Hofstra,"L, 82-77",71,Away,11-6,2-2,
2022,Delaware,Delaware,Mon Jan 17,139,255,Northeastern,"W, 82-76",74,Away,12-6,3-2,
2022,Delaware,Delaware,Thu Jan 20,133,338,William & Mary,"W, 84-74",72,Home,13-6,4-2,
2022,Delaware,Delaware,Sat Jan 22,143,247,Elon,"W, 80-77",67,Home,14-6,5-2,
2022,Delaware,Delaware,Mon Jan 24,148,75,Towson,"L, 69-62",67,Home,14-7,5-3,
2022,Delaware,Delaware,Sat Jan 29,150,227,James Madison,"W, 85-69",69,Away,15-7,6-3,
2022,Delaware,Delaware,Thu Feb 3,137,153,Drexel,"L, 76-68",67,Home,15-8,6-4,
2022,Delaware,Delaware,Thu Feb 10,149,255,Northeastern,"W, 74-61",60,Home,16-8,7-4,
2022,Delaware,Delaware,Sat Feb 12,146,120,Hofstra,"L, 80-66",68,Home,16-9,7-5,
2022,Delaware,Delaware,Mon Feb 14,158,227,James Madison,"W, 81-60",65,Home,17-9,8-5,
2022,Delaware,Delaware,Thu Feb 17,145,247,Elon,"W, 71-62",67,Away,18-9,9-5,
2022,Delaware,Delaware,Sat Feb 19,144,338,William & Mary,"W, 73-69",70,Away,19-9,10-5,
2022,Delaware,Delaware,Thu Feb 24,146,144,Charleston,"L, 99-96",82,Home,19-10,10-6,
2022,Delaware,Delaware,Sat Feb 26,151,146,UNC Wilmington,"L, 69-62",66,Home,19-11,10-7,
2022,Delaware,Delaware,Mon Feb 28,157,75,Towson,"L, 69-57",64,Away,19-12,10-8,
2022,Delaware,Delaware,Sun Mar 6,165,153,Drexel,"W, 66-56",67,Neutral,20-12,,Colonial Athletic Association
2022,Delaware,Delaware,Mon Mar 7,155,75,Towson,"W, 69-56",64,Neutral,21-12,,Colonial Athletic Association
2022,Delaware,Delaware,Tue Mar 8,143,146,UNC Wilmington,"W, 59-55",62,Neutral,22-12,,Colonial Athletic Association
2022,Delaware,Delaware,Fri Mar 18,145,10,Villanova,"L, 80-60",61,Neutral,22-13,,NCAA
