Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Georgia St.,Georgia St.,Tue Nov 9,102,NR,Brewton Parker,"W, 97-37",76,Home,1-0,,
2022,Georgia St.,Georgia St.,Fri Nov 12,106,255,Northeastern,"W, 83-64",65,Home,2-0,,
2022,Georgia St.,Georgia St.,Tue Nov 16,98,85,Richmond,"L, 94-78",74,Away,2-1,,
2022,Georgia St.,Georgia St.,Sat Nov 20,104,338,William & Mary,"W, 77-59",75,Neutral,3-1,,
2022,Georgia St.,Georgia St.,Sun Nov 21,103,242,High Point,"W, 74-66",77,Away,4-1,,
2022,Georgia St.,Georgia St.,Sat Nov 27,105,132,Rhode Island,"L, 94-59",72,Away,4-2,,
2022,Georgia St.,Georgia St.,Sat Dec 4,120,196,Mercer,"L, 83-77",65,Away,4-3,,
2022,Georgia St.,Georgia St.,Mon Dec 6,126,NR,Voorhees,"W, 80-51",75,Home,5-3,,
2022,Georgia St.,Georgia St.,Tue Dec 14,122,49,Mississippi St.,"L, 79-50",66,Away,5-4,,
2022,Georgia St.,Georgia St.,Sat Dec 18,137,NR,Toccoa Falls,"W, 92-44",69,Home,6-4,,
2022,Georgia St.,Georgia St.,Tue Dec 21,137,156,Georgia Tech,"L, 72-62",79,Away,6-5,,
2022,Georgia St.,Georgia St.,Thu Jan 6,148,222,UT Arlington,"L, 70-63",67,Home,6-6,0-1,
2022,Georgia St.,Georgia St.,Thu Jan 13,161,157,South Alabama,"L, 74-65",73,Away,6-7,0-2,
2022,Georgia St.,Georgia St.,Thu Jan 20,173,166,Appalachian St.,"L, 61-60",65,Home,6-8,0-3,
2022,Georgia St.,Georgia St.,Sat Jan 22,186,155,Coastal Carolina,"L, 72-68",74,Home,6-9,0-4,
2022,Georgia St.,Georgia St.,Thu Jan 27,196,183,Louisiana,"W, 68-64",67,Away,7-9,1-4,
2022,Georgia St.,Georgia St.,Sat Jan 29,195,268,Louisiana Monroe,"W, 73-62",62,Away,8-9,2-4,
2022,Georgia St.,Georgia St.,Thu Feb 3,190,192,Troy,"L, 67-63",70,Home,8-10,2-5,
2022,Georgia St.,Georgia St.,Sat Feb 5,198,157,South Alabama,"W, 69-62",70,Home,9-10,3-5,
2022,Georgia St.,Georgia St.,Thu Feb 10,191,155,Coastal Carolina,"W, 61-50",66,Away,10-10,4-5,
2022,Georgia St.,Georgia St.,Sat Feb 12,176,166,Appalachian St.,"W, 58-49",67,Away,11-10,5-5,
2022,Georgia St.,Georgia St.,Thu Feb 17,164,253,Georgia Southern,"W, 79-63",68,Home,12-10,6-5,
2022,Georgia St.,Georgia St.,Sat Feb 19,164,253,Georgia Southern,"W, 58-49",64,Away,13-10,7-5,
2022,Georgia St.,Georgia St.,Wed Feb 23,156,268,Louisiana Monroe,"W, 82-70",73,Home,14-10,8-5,
2022,Georgia St.,Georgia St.,Fri Feb 25,159,183,Louisiana,"W, 65-58",64,Home,15-10,9-5,
2022,Georgia St.,Georgia St.,Sat Mar 5,157,181,Arkansas St.,"W, 65-62",68,Neutral,16-10,,Sun Belt
2022,Georgia St.,Georgia St.,Sun Mar 6,157,166,Appalachian St.,"W, 71-66",64,Neutral,17-10,,Sun Belt
2022,Georgia St.,Georgia St.,Mon Mar 7,151,183,Louisiana,"W, 80-71",63,Neutral,18-10,,Sun Belt
2022,Georgia St.,Georgia St.,Thu Mar 17,150,1,Gonzaga,"L, 93-72",76,Neutral,18-11,,NCAA
