Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Illinois,Illinois,Tue Nov 9,4,277,Jackson St.,"W, 71-47",67,Home,1-0,,
2022,Illinois,Illinois,Fri Nov 12,5,181,Arkansas St.,"W, 92-53",76,Home,2-0,,
2022,Illinois,Illinois,Mon Nov 15,4,56,Marquette,"L, 67-66",77,Away,2-1,,
2022,Illinois,Illinois,Mon Nov 22,5,101,Cincinnati,"L, 71-51",66,Neutral,2-2,,
2022,Illinois,Illinois,Tue Nov 23,10,61,Kansas St.,"W, 72-64",67,Neutral,3-2,,
2022,Illinois,Illinois,Fri Nov 26,15,301,UT Rio Grande Valley,"W, 94-85",72,Home,4-2,,
2022,Illinois,Illinois,Mon Nov 29,23,38,Notre Dame,"W, 82-72",65,Home,5-2,,
2022,Illinois,Illinois,Fri Dec 3,22,77,Rutgers,"W, 86-51",70,Home,6-2,1-0,
2022,Illinois,Illinois,Mon Dec 6,18,13,Iowa,"W, 87-83",72,Away,7-2,2-0,
2022,Illinois,Illinois,Sat Dec 11,14,5,Arizona,"L, 83-79",75,Home,7-3,,
2022,Illinois,Illinois,Sat Dec 18,17,325,St. Francis PA,"W, 106-48",61,Home,8-3,,
2022,Illinois,Illinois,Wed Dec 22,14,137,Missouri,"W, 88-63",71,Neutral,9-3,,
2022,Illinois,Illinois,Tue Jan 4,14,109,Minnesota,"W, 76-53",69,Away,10-3,3-0,
2022,Illinois,Illinois,Thu Jan 6,13,83,Maryland,"W, 76-64",65,Home,11-3,4-0,
2022,Illinois,Illinois,Tue Jan 11,12,140,Nebraska,"W, 81-71",70,Away,12-3,5-0,
2022,Illinois,Illinois,Fri Jan 14,12,27,Michigan,"W, 68-53",62,Home,13-3,6-0,
2022,Illinois,Illinois,Mon Jan 17,11,14,Purdue,"L, 96-88",85,Home,13-4,6-1,
2022,Illinois,Illinois,Fri Jan 21,12,83,Maryland,"L, 81-65",66,Away,13-5,6-2,
2022,Illinois,Illinois,Tue Jan 25,15,42,Michigan St.,"W, 56-55",60,Home,14-5,7-2,
2022,Illinois,Illinois,Sat Jan 29,16,87,Northwestern,"W, 59-56",65,Away,15-5,8-2,
2022,Illinois,Illinois,Wed Feb 2,16,37,Wisconsin,"W, 80-67",69,Home,16-5,9-2,
2022,Illinois,Illinois,Sat Feb 5,16,48,Indiana,"W, 74-57",65,Away,17-5,10-2,
2022,Illinois,Illinois,Tue Feb 8,15,14,Purdue,"L, 84-68",66,Away,17-6,10-3,
2022,Illinois,Illinois,Sun Feb 13,15,87,Northwestern,"W, 73-66",77,Home,18-6,11-3,
2022,Illinois,Illinois,Wed Feb 16,15,77,Rutgers,"L, 70-59",66,Away,18-7,11-4,
2022,Illinois,Illinois,Sat Feb 19,15,42,Michigan St.,"W, 79-74",66,Away,19-7,12-4,
2022,Illinois,Illinois,Thu Feb 24,16,31,Ohio St.,"L, 86-83",72,Home,19-8,12-5,
2022,Illinois,Illinois,Sun Feb 27,18,27,Michigan,"W, 93-85",74,Away,20-8,13-5,
2022,Illinois,Illinois,Thu Mar 3,16,88,Penn St.,"W, 60-55",57,Home,21-8,14-5,
2022,Illinois,Illinois,Sun Mar 6,18,13,Iowa,"W, 74-72",71,Home,22-8,15-5,
2022,Illinois,Illinois,Fri Mar 11,16,48,Indiana,"L, 65-63",66,Neutral,22-9,,Big Ten
2022,Illinois,Illinois,Fri Mar 18,17,67,Chattanooga,"W, 54-53",65,Neutral,23-9,,NCAA
2022,Illinois,Illinois,Sun Mar 20,17,2,Houston,"L, 68-53",62,Neutral,23-10,,NCAA
