Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Loyola Chicago,Loyola Chicago,Tue Nov 9,32,300,Coppin St.,"W, 103-45",78,Home,1-0,,
2022,Loyola Chicago,Loyola Chicago,Sat Nov 13,31,208,Florida Gulf Coast,"W, 89-77",72,Home,2-0,,
2022,Loyola Chicago,Loyola Chicago,Tue Nov 16,32,340,Chicago St.,"W, 92-56",72,Home,3-0,,
2022,Loyola Chicago,Loyola Chicago,Sat Nov 20,31,287,Illinois Chicago,"W, 80-63",63,Home,4-0,,
2022,Loyola Chicago,Loyola Chicago,Wed Nov 24,34,42,Michigan St.,"L, 63-61",69,Neutral,4-1,,
2022,Loyola Chicago,Loyola Chicago,Thu Nov 25,33,12,Auburn,"L, 62-53",63,Neutral,4-2,,
2022,Loyola Chicago,Loyola Chicago,Fri Nov 26,35,97,Arizona St.,"W, 77-59",62,Neutral,5-2,,
2022,Loyola Chicago,Loyola Chicago,Wed Dec 1,29,230,Indiana St.,"W, 88-76",68,Home,6-2,1-0,
2022,Loyola Chicago,Loyola Chicago,Sat Dec 4,30,103,DePaul,"W, 68-64",69,Away,7-2,,
2022,Loyola Chicago,Loyola Chicago,Tue Dec 7,28,NR,Roosevelt,"W, 88-49",67,Home,8-2,,
2022,Loyola Chicago,Loyola Chicago,Fri Dec 10,29,64,Vanderbilt,"W, 69-58",59,Away,9-2,,
2022,Loyola Chicago,Loyola Chicago,Thu Jan 6,21,23,San Francisco,"W, 79-74",65,Neutral,10-2,,
2022,Loyola Chicago,Loyola Chicago,Sat Jan 8,22,96,Bradley,"W, 78-71",75,Home,11-2,2-0,
2022,Loyola Chicago,Loyola Chicago,Tue Jan 11,23,202,Valparaiso,"W, 81-74",75,Home,12-2,3-0,
2022,Loyola Chicago,Loyola Chicago,Sat Jan 15,27,230,Indiana St.,"W, 64-56",71,Away,13-2,4-0,
2022,Loyola Chicago,Loyola Chicago,Tue Jan 18,29,321,Evansville,"W, 77-48",59,Away,14-2,5-0,
2022,Loyola Chicago,Loyola Chicago,Sat Jan 22,21,70,Missouri St.,"L, 79-69",61,Home,14-3,5-1,
2022,Loyola Chicago,Loyola Chicago,Tue Jan 25,29,125,Southern Illinois,"W, 59-47",60,Home,15-3,6-1,
2022,Loyola Chicago,Loyola Chicago,Thu Jan 27,29,125,Southern Illinois,"W, 44-39",57,Away,16-3,7-1,
2022,Loyola Chicago,Loyola Chicago,Sun Jan 30,27,84,Drake,"L, 77-68",70,Away,16-4,7-2,
2022,Loyola Chicago,Loyola Chicago,Wed Feb 2,31,191,Illinois St.,"W, 78-64",68,Home,17-4,8-2,
2022,Loyola Chicago,Loyola Chicago,Sun Feb 6,34,70,Missouri St.,"W, 71-62",62,Away,18-4,9-2,
2022,Loyola Chicago,Loyola Chicago,Wed Feb 9,28,96,Bradley,"L, 68-61",62,Away,18-5,9-3,
2022,Loyola Chicago,Loyola Chicago,Sun Feb 13,31,91,Northern Iowa,"W, 85-58",64,Home,19-5,10-3,
2022,Loyola Chicago,Loyola Chicago,Wed Feb 16,23,202,Valparaiso,"W, 71-69",63,Away,20-5,11-3,
2022,Loyola Chicago,Loyola Chicago,Sat Feb 19,26,84,Drake,"L, 83-76",71,Home,20-6,11-4,
2022,Loyola Chicago,Loyola Chicago,Mon Feb 21,35,191,Illinois St.,"W, 59-50",68,Away,21-6,12-4,
2022,Loyola Chicago,Loyola Chicago,Wed Feb 23,34,321,Evansville,"W, 82-31",59,Home,22-6,13-4,
2022,Loyola Chicago,Loyola Chicago,Sat Feb 26,28,91,Northern Iowa,"L, 102-96",79,Away,22-7,13-5,
2022,Loyola Chicago,Loyola Chicago,Fri Mar 4,30,96,Bradley,"W, 66-50",64,Neutral,23-7,,Missouri Valley
2022,Loyola Chicago,Loyola Chicago,Sat Mar 5,26,91,Northern Iowa,"W, 66-43",66,Neutral,24-7,,Missouri Valley
2022,Loyola Chicago,Loyola Chicago,Sun Mar 6,24,84,Drake,"W, 64-58",69,Neutral,25-7,,Missouri Valley
2022,Loyola Chicago,Loyola Chicago,Fri Mar 18,23,31,Ohio St.,"L, 54-41",63,Neutral,25-8,,NCAA
