Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Marquette,Marquette,Tue Nov 9,87,298,SIU Edwardsville,"W, 88-77",83,Home,1-0,,
2022,Marquette,Marquette,Fri Nov 12,90,243,New Hampshire,"W, 75-70",70,Home,2-0,,
2022,Marquette,Marquette,Mon Nov 15,95,20,Illinois,"W, 67-66",77,Home,3-0,,
2022,Marquette,Marquette,Thu Nov 18,88,108,Mississippi,"W, 78-72",69,Neutral,4-0,,
2022,Marquette,Marquette,Fri Nov 19,80,66,West Virginia,"W, 82-71",70,Neutral,5-0,,
2022,Marquette,Marquette,Sun Nov 21,71,78,St. Bonaventure,"L, 70-54",74,Neutral,5-1,,
2022,Marquette,Marquette,Sat Nov 27,78,297,Northern Illinois,"W, 80-66",77,Home,6-1,,
2022,Marquette,Marquette,Tue Nov 30,83,277,Jackson St.,"W, 83-54",78,Home,7-1,,
2022,Marquette,Marquette,Sat Dec 4,78,37,Wisconsin,"L, 89-76",76,Away,7-2,,
2022,Marquette,Marquette,Wed Dec 8,77,61,Kansas St.,"W, 64-63",70,Away,8-2,,
2022,Marquette,Marquette,Sat Dec 11,73,11,UCLA,"L, 67-56",67,Home,8-3,,
2022,Marquette,Marquette,Sat Dec 18,79,53,Xavier,"L, 80-71",76,Away,8-4,0-1,
2022,Marquette,Marquette,Tue Dec 21,76,22,Connecticut,"L, 78-70",70,Home,8-5,0-2,
2022,Marquette,Marquette,Sat Jan 1,83,50,Creighton,"L, 75-69",80,Home,8-6,0-3,
2022,Marquette,Marquette,Tue Jan 4,85,32,Providence,"W, 88-56",64,Home,9-6,1-3,
2022,Marquette,Marquette,Fri Jan 7,62,175,Georgetown,"W, 92-64",75,Away,10-6,2-3,
2022,Marquette,Marquette,Tue Jan 11,51,103,DePaul,"W, 87-76",70,Home,11-6,3-3,
2022,Marquette,Marquette,Sat Jan 15,46,52,Seton Hall,"W, 73-72",71,Home,12-6,4-3,
2022,Marquette,Marquette,Wed Jan 19,47,10,Villanova,"W, 57-54",61,Away,13-6,5-3,
2022,Marquette,Marquette,Sun Jan 23,44,53,Xavier,"W, 75-64",72,Home,14-6,6-3,
2022,Marquette,Marquette,Wed Jan 26,37,52,Seton Hall,"W, 73-63",70,Away,15-6,7-3,
2022,Marquette,Marquette,Sun Jan 30,31,32,Providence,"L, 65-63",65,Away,15-7,7-4,
2022,Marquette,Marquette,Wed Feb 2,30,10,Villanova,"W, 83-73",71,Home,16-7,8-4,
2022,Marquette,Marquette,Tue Feb 8,23,22,Connecticut,"L, 80-72",68,Away,16-8,8-5,
2022,Marquette,Marquette,Sat Feb 12,25,121,Butler,"L, 85-79",69,Away,16-9,8-6,
2022,Marquette,Marquette,Wed Feb 16,32,175,Georgetown,"W, 77-66",69,Home,17-9,9-6,
2022,Marquette,Marquette,Sun Feb 20,35,50,Creighton,"L, 83-82",74,Away,17-10,9-7,
2022,Marquette,Marquette,Sat Feb 26,32,121,Butler,"W, 64-56",68,Home,18-10,10-7,
2022,Marquette,Marquette,Wed Mar 2,36,103,DePaul,"L, 91-80",81,Away,18-11,10-8,
2022,Marquette,Marquette,Sat Mar 5,39,55,St. John's,"W, 85-77",80,Home,19-11,11-8,
2022,Marquette,Marquette,Thu Mar 10,41,50,Creighton,"L, 74-63",70,Neutral,19-12,,Big East
2022,Marquette,Marquette,Thu Mar 17,48,16,North Carolina,"L, 95-63",75,Neutral,19-13,,NCAA
