Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Saint Peter's,Saint Peter's,Tue Nov 9,171,63,VCU,"L, 57-54",72,Away,0-1,,
2022,Saint Peter's,Saint Peter's,Sat Nov 13,165,55,St. John's,"L, 91-70",75,Away,0-2,,
2022,Saint Peter's,Saint Peter's,Tue Nov 23,172,235,LIU,"W, 64-62",81,Home,1-2,,
2022,Saint Peter's,Saint Peter's,Sat Nov 27,177,32,Providence,"L, 85-71",64,Away,1-3,,
2022,Saint Peter's,Saint Peter's,Fri Dec 3,183,231,Quinnipiac,"W, 69-59",71,Away,2-3,1-0,
2022,Saint Peter's,Saint Peter's,Sun Dec 5,174,239,Siena,"L, 60-58",69,Home,2-4,1-1,
2022,Saint Peter's,Saint Peter's,Wed Dec 8,189,322,St. Francis NY,"L, 71-60",71,Home,2-5,,
2022,Saint Peter's,Saint Peter's,Sun Dec 12,218,NR,Nyack,"W, 87-48",63,Home,3-5,,
2022,Saint Peter's,Saint Peter's,Sat Dec 18,216,251,Stony Brook,"L, 64-63",69,Away,3-6,,
2022,Saint Peter's,Saint Peter's,Fri Jan 14,220,158,Monmouth,"W, 67-62",66,Home,4-6,2-1,
2022,Saint Peter's,Saint Peter's,Sun Jan 16,206,224,Rider,"W, 58-51",65,Away,5-6,3-1,
2022,Saint Peter's,Saint Peter's,Tue Jan 18,204,258,Canisius,"W, 65-57",66,Home,6-6,4-1,
2022,Saint Peter's,Saint Peter's,Fri Jan 21,205,190,Niagara,"W, 74-68",70,Away,7-6,5-1,
2022,Saint Peter's,Saint Peter's,Sun Jan 23,195,258,Canisius,"L, 63-60",63,Away,7-7,5-2,
2022,Saint Peter's,Saint Peter's,Wed Jan 26,203,207,Marist,"W, 69-62",67,Away,8-7,6-2,
2022,Saint Peter's,Saint Peter's,Fri Jan 28,189,257,Manhattan,"W, 77-51",60,Home,9-7,7-2,
2022,Saint Peter's,Saint Peter's,Sun Jan 30,169,89,Iona,"L, 85-77",71,Away,9-8,7-3,
2022,Saint Peter's,Saint Peter's,Fri Feb 4,166,231,Quinnipiac,"W, 83-74",73,Home,10-8,8-3,
2022,Saint Peter's,Saint Peter's,Sun Feb 6,170,207,Marist,"W, 66-50",62,Home,11-8,9-3,
2022,Saint Peter's,Saint Peter's,Fri Feb 11,150,224,Rider,"L, 58-49",70,Home,11-9,9-4,
2022,Saint Peter's,Saint Peter's,Tue Feb 15,168,89,Iona,"L, 70-61",67,Home,11-10,9-5,
2022,Saint Peter's,Saint Peter's,Fri Feb 18,168,206,Fairfield,"W, 70-59",64,Away,12-10,10-5,
2022,Saint Peter's,Saint Peter's,Sun Feb 20,153,239,Siena,"L, 84-70",68,Away,12-11,10-6,
2022,Saint Peter's,Saint Peter's,Fri Feb 25,171,158,Monmouth,"W, 70-65",63,Away,13-11,11-6,
2022,Saint Peter's,Saint Peter's,Sun Feb 27,162,190,Niagara,"W, 63-36",63,Home,14-11,12-6,
2022,Saint Peter's,Saint Peter's,Tue Mar 1,145,257,Manhattan,"W, 73-51",66,Away,15-11,13-6,
2022,Saint Peter's,Saint Peter's,Sat Mar 5,135,206,Fairfield,"W, 57-41",65,Home,16-11,14-6,
2022,Saint Peter's,Saint Peter's,Wed Mar 9,128,206,Fairfield,"W, 77-63",65,Neutral,17-11,,Metro Atlantic Athletic
2022,Saint Peter's,Saint Peter's,Fri Mar 11,125,231,Quinnipiac,"W, 64-52",66,Neutral,18-11,,Metro Atlantic Athletic
2022,Saint Peter's,Saint Peter's,Sat Mar 12,121,158,Monmouth,"W, 60-54",60,Neutral,19-11,,Metro Atlantic Athletic
2022,Saint Peter's,Saint Peter's,Thu Mar 17,117,6,Kentucky,"W, 85-79",75,Neutral,20-11,,NCAA
2022,Saint Peter's,Saint Peter's,Sat Mar 19,108,36,Murray St.,"W, 70-60",64,Neutral,21-11,,NCAA
2022,Saint Peter's,Saint Peter's,Fri Mar 25,102,14,Purdue,"W, 67-64",65,Neutral,22-11,,NCAA
2022,Saint Peter's,Saint Peter's,Sun Mar 27,98,16,North Carolina,"L, 69-49",65,Neutral,22-12,,NCAA
