Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,San Francisco,San Francisco,Tue Nov 9,34,235,LIU,"W, 98-64",72,Home,1-0,,
2022,San Francisco,San Francisco,Thu Nov 11,29,281,Prairie View A&M,"W, 92-76",76,Home,2-0,,
2022,San Francisco,San Francisco,Sat Nov 13,33,40,Davidson,"W, 65-60",70,Semi-Home,3-0,,
2022,San Francisco,San Francisco,Mon Nov 15,31,182,Samford,"W, 77-55",74,Home,4-0,,
2022,San Francisco,San Francisco,Thu Nov 18,31,115,Nevada,"W, 73-70",68,Home,5-0,,
2022,San Francisco,San Francisco,Mon Nov 22,35,292,Morgan St.,"W, 83-67",76,Home,6-0,,
2022,San Francisco,San Francisco,Thu Nov 25,36,75,Towson,"W, 71-61",62,Neutral,7-0,,
2022,San Francisco,San Francisco,Fri Nov 26,37,51,UAB,"W, 63-61",68,Neutral,8-0,,
2022,San Francisco,San Francisco,Sat Dec 4,36,90,UNLV,"W, 83-62",72,Home,9-0,,
2022,San Francisco,San Francisco,Wed Dec 8,31,73,Fresno St.,"W, 71-63",64,Home,10-0,,
2022,San Francisco,San Francisco,Sat Dec 18,32,93,Grand Canyon,"L, 49-48",62,Semi-Away,10-1,,
2022,San Francisco,San Francisco,Sun Dec 19,33,97,Arizona St.,"W, 66-65",72,Away,11-1,,
2022,San Francisco,San Francisco,Wed Dec 22,34,125,Southern Illinois,"W, 64-52",66,Home,12-1,,
2022,San Francisco,San Francisco,Tue Dec 28,32,NR,Academy of Art,"W, 111-78",76,Home,13-1,,
2022,San Francisco,San Francisco,Thu Jan 6,34,29,Loyola Chicago,"L, 79-74",65,Neutral,13-2,,
2022,San Francisco,San Francisco,Sat Jan 8,35,232,San Diego,"W, 88-73",71,Home,14-2,1-0,
2022,San Francisco,San Francisco,Thu Jan 13,36,203,Loyola Marymount,"W, 97-73",80,Home,15-2,2-0,
2022,San Francisco,San Francisco,Sat Jan 15,33,58,BYU,"L, 71-69",73,Home,15-3,2-1,
2022,San Francisco,San Francisco,Thu Jan 20,34,1,Gonzaga,"L, 78-62",71,Away,15-4,2-2,
2022,San Francisco,San Francisco,Sat Jan 22,36,279,Pepperdine,"W, 71-45",67,Away,16-4,3-2,
2022,San Francisco,San Francisco,Thu Jan 27,34,17,Saint Mary's,"L, 72-70",65,Home,16-5,3-3,
2022,San Francisco,San Francisco,Sat Jan 29,34,76,Santa Clara,"W, 88-85",76,Home,17-5,4-3,
2022,San Francisco,San Francisco,Thu Feb 3,36,58,BYU,"W, 73-59",71,Away,18-5,5-3,
2022,San Francisco,San Francisco,Sat Feb 5,27,180,Portland,"W, 74-71",69,Away,19-5,6-3,
2022,San Francisco,San Francisco,Tue Feb 8,30,180,Portland,"L, 69-68",74,Home,19-6,6-4,
2022,San Francisco,San Francisco,Thu Feb 10,41,279,Pepperdine,"W, 105-61",78,Home,20-6,7-4,
2022,San Francisco,San Francisco,Sat Feb 12,36,76,Santa Clara,"W, 74-58",70,Away,21-6,8-4,
2022,San Francisco,San Francisco,Thu Feb 17,25,17,Saint Mary's,"L, 69-64",69,Away,21-7,8-5,
2022,San Francisco,San Francisco,Mon Feb 21,24,293,Pacific,"W, 104-71",77,Away,22-7,9-5,
2022,San Francisco,San Francisco,Thu Feb 24,24,1,Gonzaga,"L, 89-73",74,Home,22-8,9-6,
2022,San Francisco,San Francisco,Sat Feb 26,25,232,San Diego,"W, 78-62",67,Away,23-8,10-6,
2022,San Francisco,San Francisco,Sat Mar 5,23,58,BYU,"W, 75-63",71,Neutral,24-8,,West Coast
2022,San Francisco,San Francisco,Mon Mar 7,21,1,Gonzaga,"L, 81-71",73,Neutral,24-9,,West Coast
2022,San Francisco,San Francisco,Thu Mar 17,21,36,Murray St.,"L, 92-87",80,Neutral,24-10,,NCAA
