Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Texas,Texas,Tue Nov 9,14,337,Houston Baptist,"W, 92-48",62,Home,1-0,,
2022,Texas,Texas,Sat Nov 13,12,1,Gonzaga,"L, 86-74",65,Away,1-1,,
2022,Texas,Texas,Wed Nov 17,13,216,Northern Colorado,"W, 62-49",62,Home,2-1,,
2022,Texas,Texas,Sat Nov 20,14,288,San Jose St.,"W, 79-45",71,Home,3-1,,
2022,Texas,Texas,Wed Nov 24,15,225,Cal Baptist,"W, 68-44",62,Home,4-1,,
2022,Texas,Texas,Mon Nov 29,13,143,Sam Houston St.,"W, 73-57",58,Home,5-1,,
2022,Texas,Texas,Fri Dec 3,13,301,UT Rio Grande Valley,"W, 88-58",70,Home,6-1,,
2022,Texas,Texas,Thu Dec 9,15,52,Seton Hall,"L, 64-60",62,Away,6-2,,
2022,Texas,Texas,Tue Dec 14,16,352,Arkansas Pine Bluff,"W, 63-31",59,Home,7-2,,
2022,Texas,Texas,Sun Dec 19,15,106,Stanford,"W, 60-53",66,Neutral,8-2,,
2022,Texas,Texas,Wed Dec 22,16,311,Alabama St.,"W, 68-48",65,Home,9-2,,
2022,Texas,Texas,Tue Dec 28,21,353,Incarnate Word,"W, 78-33",63,Home,10-2,,
2022,Texas,Texas,Sat Jan 1,17,66,West Virginia,"W, 74-59",68,Home,11-2,1-0,
2022,Texas,Texas,Tue Jan 4,15,61,Kansas St.,"W, 70-57",60,Away,12-2,2-0,
2022,Texas,Texas,Sat Jan 8,14,34,Oklahoma St.,"L, 64-51",61,Away,12-3,2-1,
2022,Texas,Texas,Tue Jan 11,16,30,Oklahoma,"W, 66-52",62,Home,13-3,3-1,
2022,Texas,Texas,Sat Jan 15,16,43,Iowa St.,"L, 79-70",69,Away,13-4,3-2,
2022,Texas,Texas,Tue Jan 18,16,61,Kansas St.,"L, 66-65",60,Home,13-5,3-3,
2022,Texas,Texas,Sat Jan 22,17,34,Oklahoma St.,"W, 56-51",66,Home,14-5,4-3,
2022,Texas,Texas,Tue Jan 25,17,26,TCU,"W, 73-50",65,Away,15-5,5-3,
2022,Texas,Texas,Sat Jan 29,15,9,Tennessee,"W, 52-51",57,Home,16-5,,
2022,Texas,Texas,Tue Feb 1,15,7,Texas Tech,"L, 77-64",70,Away,16-6,5-4,
2022,Texas,Texas,Sat Feb 5,14,43,Iowa St.,"W, 63-41",63,Home,17-6,6-4,
2022,Texas,Texas,Mon Feb 7,14,3,Kansas,"W, 79-76",69,Home,18-6,7-4,
2022,Texas,Texas,Sat Feb 12,14,4,Baylor,"L, 80-63",65,Away,18-7,7-5,
2022,Texas,Texas,Tue Feb 15,14,30,Oklahoma,"W, 80-78",72,Away,19-7,8-5,
2022,Texas,Texas,Sat Feb 19,14,7,Texas Tech,"L, 61-55",65,Home,19-8,8-6,
2022,Texas,Texas,Wed Feb 23,14,26,TCU,"W, 75-66",64,Home,20-8,9-6,
2022,Texas,Texas,Sat Feb 26,14,66,West Virginia,"W, 82-81",69,Away,21-8,10-6,
2022,Texas,Texas,Mon Feb 28,14,4,Baylor,"L, 68-61",64,Home,21-9,10-7,
2022,Texas,Texas,Sat Mar 5,15,3,Kansas,"L, 70-63",73,Away,21-10,10-8,
2022,Texas,Texas,Thu Mar 10,15,26,TCU,"L, 65-60",62,Neutral,21-11,,Big 12
2022,Texas,Texas,Fri Mar 18,16,19,Virginia Tech,"W, 81-73",68,Neutral,22-11,,NCAA
2022,Texas,Texas,Sun Mar 20,15,14,Purdue,"L, 81-71",69,Neutral,22-12,,NCAA
