Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2022,Texas Southern,Texas Southern,Tue Nov 9,239,82,Oregon,"L, 83-66",65,Away,0-1,,
2022,Texas Southern,Texas Southern,Fri Nov 12,240,17,Saint Mary's,"L, 67-58",67,Away,0-2,,
2022,Texas Southern,Texas Southern,Mon Nov 15,229,110,Washington,"L, 72-65",72,Away,0-3,,
2022,Texas Southern,Texas Southern,Wed Nov 17,229,269,Air Force,"L, 61-57",63,Away,0-4,,
2022,Texas Southern,Texas Southern,Sun Nov 21,235,128,N.C. State,"L, 65-57",68,Away,0-5,,
2022,Texas Southern,Texas Southern,Wed Nov 24,224,58,BYU,"L, 81-64",72,Away,0-6,,
2022,Texas Southern,Texas Southern,Wed Dec 1,224,100,Louisiana Tech,"L, 87-60",71,Away,0-7,,
2022,Texas Southern,Texas Southern,Mon Dec 6,240,59,Florida,"W, 69-54",66,Away,1-7,,
2022,Texas Southern,Texas Southern,Tue Dec 14,198,301,UT Rio Grande Valley,"W, 70-60",68,Away,2-7,,
2022,Texas Southern,Texas Southern,Mon Jan 3,191,215,Southern,"L, 63-50",67,Away,2-8,0-1,
2022,Texas Southern,Texas Southern,Wed Jan 5,205,303,Grambling St.,"W, 67-61",70,Away,3-8,1-1,
2022,Texas Southern,Texas Southern,Sat Jan 8,206,352,Arkansas Pine Bluff,"W, 90-71",71,Home,4-8,2-1,
2022,Texas Southern,Texas Southern,Mon Jan 10,201,355,Mississippi Valley St.,"W, 95-58",74,Home,5-8,3-1,
2022,Texas Southern,Texas Southern,Sat Jan 15,189,265,Alcorn St.,"L, 73-72",65,Away,5-9,3-2,
2022,Texas Southern,Texas Southern,Mon Jan 17,185,277,Jackson St.,"L, 61-58",64,Away,5-10,3-3,
2022,Texas Southern,Texas Southern,Sat Jan 22,187,314,Alabama A&M,"W, 78-44",73,Home,6-10,4-3,
2022,Texas Southern,Texas Southern,Mon Jan 24,164,311,Alabama St.,"W, 73-66",74,Home,7-10,5-3,
2022,Texas Southern,Texas Southern,Sat Jan 29,176,281,Prairie View A&M,"W, 75-74",74,Away,8-10,6-3,
2022,Texas Southern,Texas Southern,Sat Feb 5,173,309,Florida A&M,"W, 67-55",68,Away,9-10,7-3,
2022,Texas Southern,Texas Southern,Mon Feb 7,163,333,Bethune Cookman,"W, 66-63",77,Away,10-10,8-3,
2022,Texas Southern,Texas Southern,Sat Feb 12,167,303,Grambling St.,"W, 68-65",69,Home,11-10,9-3,
2022,Texas Southern,Texas Southern,Mon Feb 14,174,215,Southern,"L, 70-58",66,Home,11-11,9-4,
2022,Texas Southern,Texas Southern,Sat Feb 19,191,355,Mississippi Valley St.,"W, 79-59",71,Away,12-11,10-4,
2022,Texas Southern,Texas Southern,Mon Feb 21,187,352,Arkansas Pine Bluff,"W, 70-68",68,Away,13-11,11-4,
2022,Texas Southern,Texas Southern,Sat Feb 26,195,277,Jackson St.,"W, 81-66",69,Home,14-11,12-4,
2022,Texas Southern,Texas Southern,Mon Feb 28,189,265,Alcorn St.,"L, 75-72",73,Home,14-12,12-5,
2022,Texas Southern,Texas Southern,Sat Mar 5,198,281,Prairie View A&M,"W, 78-77",75,Home,15-12,13-5,
2022,Texas Southern,Texas Southern,Wed Mar 9,206,277,Jackson St.,"W, 54-50",61,Neutral,16-12,,Southwestern Athletic
2022,Texas Southern,Texas Southern,Fri Mar 11,205,303,Grambling St.,"W, 73-54",71,Neutral,17-12,,Southwestern Athletic
2022,Texas Southern,Texas Southern,Sat Mar 12,195,265,Alcorn St.,"W, 87-62",74,Neutral,18-12,,Southwestern Athletic
2022,Texas Southern,Texas Southern,Tue Mar 15,188,245,Texas A&M Corpus Chris,"W, 76-67",78,Neutral,19-12,,NCAA
2022,Texas Southern,Texas Southern,Thu Mar 17,183,3,Kansas,"L, 83-56",75,Neutral,19-13,,NCAA
